sn,datetime,k1,d1,c1,k2,d2,c2
005,2026-06-10_125420,400701.3726474917,0.0048205226419293,882.2936293203384,414755.3371693164,0.0469718114713248,464.95427689049393
004,2026-02-26_195246,327901.7793019196,0.0055431319529345,1092.3920580442064,331651.3310431668,0.0445085069339955,837.0076372631593
001,2026-06-10_120245,351744.8279932664,0.0047992474300278,574.4369624970714,347604.75378667994,0.0452453444842415,26.023574759543408
002,2026-02-28_191825,285806.85492483515,0.0038186954053924,1779.0295562932731,278780.10405734595,0.0456960408628126,910.3072104970925
003,2026-06-10_123441,404490.3474918268,0.0058500260575673,-424.13011759193614,405133.76531753375,0.0464478645606266,-666.3897116323351
015,2027-06-01_114440,400760.0480001549,0.0051895819381482,1628.088568478357,414429.2917922791,0.0473708582349138,901.1825807712156
014,2027-02-26_195246,327901.7793019196,0.0055431319529345,1092.3920580442064,331651.3310431668,0.0445085069339955,837.0076372631593
011,2027-02-28_181436,349273.60227475094,0.0045245532907721,1102.3374494942836,346675.0994387471,0.0451524381538289,681.8182371353614
012,2027-02-28_191825,285806.85492483515,0.0038186954053924,1779.0295562932731,278780.10405734595,0.0456960408628126,910.3072104970925
013,2027-02-28_203355,400137.07123195945,0.0045411310920291,1788.4192282378208,401512.5673837119,0.0455171988670882,942.1566234510974
101,2026-06-16_200149,243751.83991445374,0.005772674208307509,411.7689793854952,241958.92725444224,0.04766880603977166,988.4088682709262
