Time_A,Strain_A1_raw,Strain_A2_raw,Time_B,Strain_B1_raw,Strain_B2_raw,Current_Time
0.000000,-0712578,-0574250,0.000000,-1159762,+0377210,16:34:42.934452
0.043892,-0712141,-0574212,0.044237,-1159781,+0377182,16:34:42.934452
0.087834,-0712469,-0574365,0.088422,-1159938,+0377287,16:34:42.934452
0.131709,-0712406,-0574233,0.132602,-1159759,+0377213,16:34:42.934452
0.175624,-0712150,-0574218,0.176779,-1159837,+0377226,16:34:42.934452
0.219580,-0712626,-0574259,0.220996,-1159937,+0377313,16:34:42.934452
0.263459,-0712373,-0574209,0.265205,-1159730,+0377186,16:34:42.934452
0.307359,-0712299,-0574252,0.309423,-1159949,+0377136,16:34:42.937644
0.351258,-0713141,-0574311,0.353640,-1159949,+0377296,16:34:42.937644
0.395153,-0712104,-0574243,0.397859,-1159972,+0377200,16:34:43.345691
0.439068,-0712394,-0574299,0.442094,-1159739,+0377229,16:34:43.345691
0.482986,-0712544,-0574282,0.486269,-1159982,+0377258,16:34:43.345691
0.526860,-0712062,-0574299,0.530515,-1159898,+0377209,16:34:43.345691
0.570740,-0712727,-0574305,0.574735,-1159704,+0377163,16:34:43.345691
0.614615,-0712346,-0574320,0.618951,-1160026,+0377223,16:34:43.345691
0.658529,-0712239,-0574301,0.663128,-1159836,+0377104,16:34:43.345691
0.702443,-0712590,-0574302,0.707306,-1159801,+0377219,16:34:43.345691
0.746359,-0712146,-0574210,0.751481,-1159999,+0377269,16:34:43.345691
0.790273,-0712340,-0574207,0.795681,-1159823,+0377195,16:34:43.345691
0.834188,-0712626,-0574323,0.839873,-1159833,+0377275,16:34:43.706567
0.878060,-0712160,-0574227,0.884075,-1160048,+0377200,16:34:43.706567
0.921931,-0712392,-0574226,0.928322,-1159896,+0377082,16:34:43.706567
0.965843,-0712459,-0574226,0.972493,-1159844,+0377177,16:34:43.706567
1.009761,-0712062,-0574226,1.016706,-1159996,+0377124,16:34:43.706567
1.053675,-0712490,-0574191,1.060879,-1159828,+0377114,16:34:43.706567
1.097548,-0712233,-0574205,1.105083,-1159897,+0377255,16:34:43.706567
1.141422,-0712151,-0574244,1.149298,-1160115,+0377148,16:34:43.706567
1.185376,-0712646,-0574336,1.193506,-1159820,+0377078,16:34:43.706567
1.229288,-0712199,-0574325,1.237720,-1159935,+0377209,16:34:43.706567
1.273202,-0712337,-0574215,1.281919,-1159956,+0377085,16:34:44.176541
1.317118,-0712584,-0574221,1.326103,-1159792,+0377077,16:34:44.176541
1.361078,-0712071,-0574239,1.370277,-1160035,+0377270,16:34:44.176541
1.404951,-0712438,-0574153,1.414484,-1159960,+0377073,16:34:44.176541
1.448854,-0712532,-0574179,1.458731,-1159833,+0377151,16:34:44.176541
1.492803,-0712233,-0574238,1.502942,-1160040,+0377271,16:34:44.176541
1.536677,-0712588,-0574309,1.547158,-1159977,+0377061,16:34:44.176541
1.580557,-0712291,-0574182,1.591332,-1159833,+0377100,16:34:44.176541
1.624429,-0712199,-0574272,1.635549,-1160045,+0377196,16:34:44.176541
1.668375,-0712657,-0574202,1.679743,-1159945,+0377083,16:34:44.611951
1.712315,-0712052,-0574199,1.723939,-1159832,+0377170,16:34:44.612950
1.756188,-0712341,-0574269,1.768153,-1160035,+0377200,16:34:44.612950
1.800061,-0712596,-0574178,1.812368,-1159808,+0377064,16:34:44.612950
1.843933,-0711990,-0574185,1.856540,-1159886,+0377252,16:34:44.612950
1.887808,-0712522,-0574166,1.900801,-1160063,+0377204,16:34:44.612950
1.931681,-0712321,-0574228,1.945023,-1159862,+0377108,16:34:44.612950
1.975554,-0712092,-0574231,1.989239,-1159798,+0377147,16:34:44.612950
2.019427,-0712602,-0574252,2.033495,-1160028,+0377212,16:34:44.612950
