===BEGIN_METADATA===
Test Type: Force Cycle,Force: 20N,Cycles: 100,Dwell Time: 1sec,Tool Accuracy: +/-0.05N
Test Number in Session: 01,Time since Last Test: ~30min
Number of ICB-Sensors: 1,Sensor Label(s): A
ICB-Sensor A's Serial#: 001,Length: 100mm,Spacing: 40mm,Saturation Load: 70N,Factor of Safety at Saturation: 1.5
ICB-Sensor A's Latest Calibration: N/A, kA1: 1.0, dA1: 1.0, cA1: 1.0, kA2: 1.0, dA2: 1.0, cA2: 1.0
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_90SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
===END_METADATA===
===BEGIN_DATA===
Time_A,Strain_A1_raw,Strain_A2_raw,Time_B,Strain_B1_raw,Strain_B2_raw,Current_Time
0.000000,-0448533,-0551710,0.000000,-0448533,-0551710,11:57:35.205226
0.010025,-0448019,-0551710,0.010025,-0448019,-0551710,11:57:35.205226
0.020057,-0448019,-0552066,0.020057,-0448019,-0552066,11:57:35.205226
0.030054,-0448017,-0551270,0.030054,-0448017,-0551270,11:57:35.206222
0.040052,-0448491,-0552219,0.040052,-0448491,-0552219,11:57:35.206222
0.050047,-0447579,-0551568,0.050047,-0447579,-0551568,11:57:35.207222
0.060084,-0448521,-0551626,0.060084,-0448521,-0551626,11:57:35.249348
0.070112,-0448030,-0552150,0.070112,-0448030,-0552150,11:57:35.251347
0.080116,-0447984,-0551253,0.080116,-0447984,-0551253,11:57:35.251347
0.090114,-0448441,-0552253,0.090114,-0448441,-0552253,11:57:35.251347
0.100109,-0447670,-0551600,0.100109,-0447670,-0551600,11:57:35.252348
0.110106,-0448528,-0551783,0.110106,-0448528,-0551783,11:57:35.295927
0.120140,-0448113,-0552179,0.120140,-0448113,-0552179,11:57:35.295927
0.130138,-0447922,-0551356,0.130138,-0447922,-0551356,11:57:35.295927
0.140132,-0448480,-0552233,0.140132,-0448480,-0552233,11:57:35.295927
0.150127,-0447708,-0551610,0.150127,-0447708,-0551610,11:57:35.342378
0.160203,-0448440,-0551672,0.160203,-0448440,-0551672,11:57:35.342378
0.170225,-0448116,-0552193,0.170225,-0448116,-0552193,11:57:35.342378
0.180219,-0447934,-0551323,0.180219,-0447934,-0551323,11:57:35.343378
0.190213,-0448482,-0552182,0.190213,-0448482,-0552182,11:57:35.343378
0.200210,-0447635,-0551619,0.200210,-0447635,-0551619,11:57:35.387929
0.210261,-0448503,-0551699,0.210261,-0448503,-0551699,11:57:35.388928
0.220258,-0448068,-0552172,0.220258,-0448068,-0552172,11:57:35.388928
0.230289,-0447999,-0551462,0.230289,-0447999,-0551462,11:57:35.388928
0.240286,-0448565,-0552188,0.240286,-0448565,-0552188,11:57:35.388928
0.250284,-0447636,-0551670,0.250284,-0447636,-0551670,11:57:35.434938
0.260341,-0448406,-0551793,0.260341,-0448406,-0551793,11:57:35.434938
0.270391,-0448071,-0552128,0.270391,-0448071,-0552128,11:57:35.434938
0.280388,-0447933,-0551296,0.280388,-0447933,-0551296,11:57:35.434938
0.290386,-0448571,-0552209,0.290386,-0448571,-0552209,11:57:35.482304
0.300418,-0447565,-0551644,0.300418,-0447565,-0551644,11:57:35.482304
0.310413,-0448510,-0551666,0.310413,-0448510,-0551666,11:57:35.482304
0.320409,-0448025,-0552196,0.320409,-0448025,-0552196,11:57:35.482304
0.330405,-0447881,-0551324,0.330405,-0447881,-0551324,11:57:35.483312
0.340402,-0448422,-0552256,0.340402,-0448422,-0552256,11:57:35.528623
0.350460,-0447648,-0551567,0.350460,-0447648,-0551567,11:57:35.528623
0.360470,-0448564,-0551602,0.360470,-0448564,-0551602,11:57:35.528623
0.370480,-0448071,-0552155,0.370480,-0448071,-0552155,11:57:35.528623
0.380481,-0447965,-0551280,0.380481,-0447965,-0551280,11:57:35.575331
0.390502,-0448470,-0552132,0.390502,-0448470,-0552132,11:57:35.575331
0.400546,-0447661,-0551667,0.400546,-0447661,-0551667,11:57:35.575331
0.410543,-0448444,-0551744,0.410543,-0448444,-0551744,11:57:35.575331
0.420539,-0447948,-0552230,0.420539,-0447948,-0552230,11:57:35.575331
0.430535,-0447977,-0551400,0.430535,-0447977,-0551400,11:57:35.623011
0.440567,-0448535,-0552122,0.440567,-0448535,-0552122,11:57:35.623011
0.450571,-0447652,-0551664,0.450571,-0447652,-0551664,11:57:35.623011
0.460568,-0448369,-0551722,0.460568,-0448369,-0551722,11:57:35.623011
0.470601,-0448060,-0552283,0.470601,-0448060,-0552283,11:57:35.623011
0.480601,-0448544,-0551293,0.480601,-0448544,-0551293,11:57:35.669212
0.490631,-0448544,-0552106,0.490631,-0448544,-0552106,11:57:35.670219
0.500632,-0447632,-0551559,0.500632,-0447632,-0551559,11:57:35.670219
0.510627,-0448342,-0551718,0.510627,-0448342,-0551718,11:57:35.670219
0.520624,-0448105,-0552194,0.520624,-0448105,-0552194,11:57:35.670219
0.530654,-0447842,-0551271,0.530654,-0447842,-0551271,11:57:35.717077
0.540691,-0448569,-0552110,0.540691,-0448569,-0552110,11:57:35.717077
0.550692,-0447616,-0551570,0.550692,-0447616,-0551570,11:57:35.717077
0.560691,-0448383,-0551609,0.560691,-0448383,-0551609,11:57:35.717077
0.570725,-0448034,-0552050,0.570725,-0448034,-0552050,11:57:35.764079
0.580804,-0447842,-0551314,0.580804,-0447842,-0551314,11:57:35.764079
0.590831,-0448529,-0552040,0.590831,-0448529,-0552040,11:57:35.764079
0.600825,-0447654,-0551611,0.600825,-0447654,-0551611,11:57:35.764079
0.610821,-0448283,-0551565,0.610821,-0448283,-0551565,11:57:35.764079
0.620817,-0448098,-0552139,0.620817,-0448098,-0552139,11:57:35.809903
0.630850,-0447889,-0551355,0.630850,-0447889,-0551355,11:57:35.809903
0.640853,-0448411,-0552042,0.640853,-0448411,-0552042,11:57:35.810908
0.650851,-0447502,-0551563,0.650851,-0447502,-0551563,11:57:35.810908
0.660849,-0448302,-0551537,0.660849,-0448302,-0551537,11:57:35.810908
0.670870,-0448057,-0552053,0.670870,-0448057,-0552053,11:57:35.856097
