===BEGIN_METADATA===
Test Type: Force Cycle,Force: 20N,Cycles: 100,Dwell Time: 1sec,Tool Accuracy: +/-0.05N
Test Number in Session: 01,Time since Last Test: >1hr
Number of ICB-Sensors: 1,Sensor Label(s): A
ICB-Sensor A's Serial#: 001,Length: 100mm,Spacing: 40mm,Saturation Load: 70N,Factor of Safety at Saturation: 1.5
ICB-Sensor A's Latest Calibration: N/A, kA1: 1.0, dA1: 1.1, cA1: 1.2, kA2: 2.0, dA2: 2.1, cA2: 2.2
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_90SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Processed_Time
0.004795,-0452467,-0556403,13:58:39.370386
0.014818,-0451543,-0556403,13:58:39.370386
0.024849,-0451543,-0556184,13:58:39.370386
0.034854,-0452075,-0555901,13:58:39.370386
0.044851,-0451996,-0556611,13:58:39.370386
0.054879,-0451557,-0555683,13:58:39.370386
0.064876,-0452482,-0556389,13:58:39.416372
0.074916,-0451621,-0556122,13:58:39.416372
0.084913,-0452129,-0555752,13:58:39.417137
0.094926,-0452148,-0556707,13:58:39.417137
0.104923,-0451584,-0555738,13:58:39.464304
0.114918,-0452464,-0556372,13:58:39.464304
0.124956,-0451522,-0556203,13:58:39.464304
0.134951,-0452130,-0555838,13:58:39.464304
0.144947,-0452072,-0556555,13:58:39.464304
0.154968,-0451702,-0555782,13:58:39.509056
0.165001,-0452405,-0556385,13:58:39.509056
0.175001,-0451574,-0556198,13:58:39.509056
0.184996,-0452144,-0555888,13:58:39.509056
0.194990,-0452144,-0556681,13:58:39.509056
0.205001,-0451583,-0555647,13:58:39.555205
0.215034,-0452512,-0556278,13:58:39.555205
0.225031,-0451636,-0556233,13:58:39.555205
0.235027,-0452162,-0555834,13:58:39.555205
0.245021,-0452168,-0556621,13:58:39.602656
0.255076,-0451610,-0555738,13:58:39.602656
0.265079,-0452592,-0556280,13:58:39.602656
0.275078,-0451636,-0556155,13:58:39.602656
0.285080,-0452063,-0555886,13:58:39.602656
0.295077,-0452157,-0556670,13:58:39.648153
0.305126,-0451742,-0555726,13:58:39.648153
0.315123,-0452437,-0556194,13:58:39.648153
0.325121,-0451638,-0556191,13:58:39.648153
0.335116,-0452021,-0555781,13:58:39.648153
0.345112,-0452229,-0556640,13:58:39.710430
0.355169,-0451637,-0555557,13:58:39.710430
0.365178,-0452450,-0556300,13:58:39.710430
0.375172,-0451719,-0556208,13:58:39.710430
0.385168,-0452025,-0555927,13:58:39.756787
0.395245,-0452025,-0556385,13:58:39.756787
0.405271,-0451621,-0555618,13:58:39.757789
0.415307,-0452386,-0556328,13:58:39.757789
0.425352,-0451689,-0556209,13:58:39.757789
0.435353,-0452039,-0555761,13:58:39.757789
0.445352,-0452122,-0556534,13:58:39.803617
0.455429,-0451585,-0555601,13:58:39.803617
0.465461,-0452447,-0556283,13:58:39.803617
0.475461,-0451664,-0556240,13:58:39.803617
0.485462,-0452056,-0555632,13:58:39.803617
0.495462,-0452197,-0556563,13:58:39.848611
0.505497,-0451608,-0555778,13:58:39.848611
0.515496,-0452409,-0556297,13:58:39.848611
0.525510,-0451746,-0556152,13:58:39.848611
0.535511,-0452123,-0555732,13:58:39.848611
0.545507,-0452197,-0556560,13:58:39.895637
0.555540,-0451638,-0555610,13:58:39.895637
0.565561,-0452485,-0556248,13:58:39.895637
0.575558,-0451614,-0556163,13:58:39.895637
0.585554,-0451956,-0555784,13:58:39.941612
0.595606,-0452217,-0556490,13:58:39.941612
0.605602,-0451531,-0555795,13:58:39.941612
0.615599,-0452403,-0556288,13:58:39.941612
0.625612,-0451777,-0556180,13:58:39.941612
0.635612,-0452043,-0555795,13:58:39.988254
0.645702,-0452179,-0556671,13:58:39.988254
0.655704,-0451559,-0555567,13:58:39.988254
0.665743,-0452269,-0556177,13:58:39.988254
0.675737,-0451693,-0556334,13:58:40.034189
0.685732,-0451967,-0555815,13:58:40.034189
0.695760,-0452205,-0556523,13:58:40.034189
