===BEGIN_METADATA===
Test Type: Force Cycle,Force: 50N,Cycles: 100,Dwell Time: 1sec,Tool Accuracy: +/-0.05N
Test Number in Session: 09,Time since Last Test: ~5min
Number of ICB-Sensors: 1,Sensor Label(s): A
ICB-Sensor A's Serial#: 001,Length: 100mm,Spacing: 40mm,Saturation Load: 70N,Factor of Safety at Saturation: 1.5
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_90SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: N/A,kA1: 1.0,dA1: 1.0,cA1: 1.0,kA2: 1.0,dA2: 1.0,cA2: 1.0
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Processed_Time
0.004782,-0458279,-0564548,17:00:10.238701
0.014806,-0458726,-0564548,17:00:10.238701
0.024844,-0458726,-0565569,17:00:10.238701
0.034840,-0457975,-0564890,17:00:10.239697
0.044875,-0458895,-0565097,17:00:10.239697
0.054868,-0458200,-0565330,17:00:10.284873
0.064898,-0458260,-0564704,17:00:10.284873
0.074904,-0458712,-0565629,17:00:10.284873
0.084904,-0458143,-0565017,17:00:10.284873
0.094900,-0458806,-0565258,17:00:10.284873
0.104898,-0458345,-0565317,17:00:10.330013
0.114993,-0458311,-0564819,17:00:10.331013
0.124992,-0458663,-0565585,17:00:10.331013
0.134989,-0457954,-0564909,17:00:10.331013
0.145014,-0458926,-0565088,17:00:10.377229
0.155010,-0458265,-0565404,17:00:10.377229
0.165056,-0458355,-0564739,17:00:10.377229
0.175052,-0458794,-0565591,17:00:10.378575
0.185052,-0457967,-0564851,17:00:10.378575
0.195053,-0458819,-0565114,17:00:10.424088
0.205086,-0458266,-0565369,17:00:10.424088
0.215089,-0458243,-0564730,17:00:10.424088
0.225086,-0458792,-0565635,17:00:10.424088
0.235086,-0457987,-0564708,17:00:10.424088
0.245085,-0458814,-0564887,17:00:10.470611
0.255122,-0458275,-0565464,17:00:10.470611
0.265117,-0458442,-0564701,17:00:10.470611
0.275116,-0458650,-0565587,17:00:10.470611
0.285112,-0457958,-0565034,17:00:10.517144
0.295184,-0458969,-0565208,17:00:10.518144
0.305219,-0458325,-0565534,17:00:10.518144
0.315215,-0458329,-0564742,17:00:10.518144
0.325209,-0458910,-0565596,17:00:10.518144
0.335206,-0457930,-0564826,17:00:10.563915
0.345236,-0458892,-0564935,17:00:10.564914
0.355257,-0458383,-0565441,17:00:10.564914
0.365253,-0458452,-0564727,17:00:10.564914
0.375267,-0458905,-0565588,17:00:10.564914
0.385265,-0458054,-0564983,17:00:10.610298
0.395324,-0458791,-0565240,17:00:10.611298
0.405318,-0458350,-0565423,17:00:10.611298
0.415312,-0458431,-0564645,17:00:10.611298
0.425306,-0458893,-0565578,17:00:10.658045
0.435307,-0458152,-0564883,17:00:10.658045
0.445343,-0458831,-0565064,17:00:10.658045
0.455371,-0458345,-0565503,17:00:10.658045
0.465365,-0458465,-0564728,17:00:10.658045
0.475360,-0458883,-0565602,17:00:10.703848
0.485393,-0458087,-0565081,17:00:10.704847
0.495390,-0458913,-0565096,17:00:10.704847
0.505395,-0458396,-0565506,17:00:10.704847
0.515392,-0458442,-0564749,17:00:10.704847
0.525396,-0458802,-0565714,17:00:10.750648
0.535431,-0458028,-0565009,17:00:10.751654
0.545430,-0458842,-0565080,17:00:10.751654
0.555451,-0458630,-0565652,17:00:10.751654
0.565459,-0458361,-0564885,17:00:10.798628
0.575477,-0458982,-0565674,17:00:10.799628
0.585506,-0458146,-0565069,17:00:10.799628
0.595501,-0458764,-0565214,17:00:10.799628
0.605497,-0458306,-0565574,17:00:10.799628
0.615496,-0458345,-0564841,17:00:10.847304
0.625532,-0458962,-0565712,17:00:10.847304
0.635528,-0458024,-0565000,17:00:10.847304
0.645527,-0458759,-0565068,17:00:10.847304
0.655547,-0458417,-0565598,17:00:10.847304
0.665555,-0458281,-0564871,17:00:10.892938
0.675586,-0459037,-0565653,17:00:10.893936
0.685584,-0458144,-0565090,17:00:10.893936
0.695580,-0458754,-0565272,17:00:10.893936
0.705575,-0458501,-0565636,17:00:10.940157
0.715628,-0458381,-0564852,17:00:10.940157
0.725660,-0458932,-0565699,17:00:10.940157
0.735656,-0458063,-0565238,17:00:10.940157
0.745655,-0458806,-0565243,17:00:10.940157
0.755652,-0458496,-0565327,17:00:10.984163
0.765692,-0458404,-0564785,17:00:10.984163
0.775690,-0458913,-0565536,17:00:10.984163
0.785687,-0458162,-0565076,17:00:10.984163
0.795682,-0458935,-0565124,17:00:10.984163
0.805678,-0458645,-0565610,17:00:11.031152
0.815709,-0458380,-0564660,17:00:11.031152
0.825719,-0459029,-0565630,17:00:11.031152
0.835719,-0458097,-0565100,17:00:11.031152
0.845713,-0458800,-0565141,17:00:11.078968
0.855777,-0458507,-0565475,17:00:11.078968
0.865808,-0458291,-0564875,17:00:11.078968
0.875806,-0458818,-0565612,17:00:11.078968
0.885803,-0458043,-0565176,17:00:11.079961
0.895799,-0458704,-0565123,17:00:11.125133
0.905830,-0458500,-0565687,17:00:11.125133
0.915825,-0458214,-0564600,17:00:11.126128
0.925825,-0459014,-0565607,17:00:11.126128
0.935824,-0458168,-0565085,17:00:11.126128
0.945825,-0458801,-0565128,17:00:11.172795
0.955856,-0458630,-0565629,17:00:11.172795
0.965879,-0458302,-0564826,17:00:11.172795
0.975879,-0459022,-0565424,17:00:11.172795
0.985877,-0458106,-0565172,17:00:11.217804
0.995931,-0458828,-0564948,17:00:11.217804
1.005960,-0458598,-0565536,17:00:11.217804
1.015956,-0458364,-0564799,17:00:11.217804
1.025971,-0458916,-0565580,17:00:11.217804
1.035977,-0458107,-0565138,17:00:11.264812
1.046040,-0458829,-0565062,17:00:11.265820
1.056037,-0458497,-0565527,17:00:11.265820
1.066062,-0458376,-0564675,17:00:11.265820
1.076062,-0458988,-0565489,17:00:11.265820
1.086059,-0458219,-0565076,17:00:11.311094
1.096091,-0458701,-0565093,17:00:11.312085
1.106085,-0458534,-0565630,17:00:11.312085
1.116081,-0458288,-0564735,17:00:11.312085
1.126076,-0458885,-0565517,17:00:11.357203
1.136138,-0458081,-0565103,17:00:11.357203
1.146146,-0458561,-0564960,17:00:11.357203
1.156142,-0458553,-0565537,17:00:11.357203
1.166138,-0458310,-0564475,17:00:11.357203
1.176160,-0459023,-0565355,17:00:11.403184
1.186192,-0458006,-0565068,17:00:11.404184
1.196187,-0458654,-0564926,17:00:11.404184
1.206183,-0458464,-0565707,17:00:11.405179
1.216180,-0458115,-0564685,17:00:11.405179
1.226176,-0458842,-0565363,17:00:11.451134
1.236209,-0458049,-0565157,17:00:11.451134
1.246209,-0458708,-0564882,17:00:11.451134
1.256203,-0458574,-0565701,17:00:11.451134
1.266200,-0458144,-0564462,17:00:11.497124
1.276264,-0458912,-0565422,17:00:11.497124
1.286275,-0458019,-0565114,17:00:11.498124
1.296271,-0458626,-0564960,17:00:11.498124
1.306268,-0458548,-0565599,17:00:11.498124
1.316265,-0458211,-0564711,17:00:11.540540
1.326314,-0458859,-0565371,17:00:11.542534
1.336309,-0458142,-0565058,17:00:11.542534
1.346305,-0458778,-0564961,17:00:11.542534
