===BEGIN_METADATA===
Test Name: 2026-01-03_test_215113,yyyy-mm-dd_test_hhmmss
Test Type: Force Cycle,Force: 50N,Cycles: 66,Dwell Time: 1sec,Tool Accuracy: +/-0.05N
Test Number in Session: 09,Time since Last Test: 7min
Number of ICB-Sensors: 1,Sensor Label(s): B
ICB-Sensor B's Serial#: 002,Length: 120mm,Spacing: 40mm,Saturation Load: 80N,Factor of Safety at Saturation: 1.5
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_90SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor B's Latest Calibration: N/A,kB1: 1.0,dB1: 1.0,cB1: 1.0,kB2: 1.0,dB2: 1.0,cB2: 1.0
===END_METADATA===
===BEGIN_DATA===
Time_B_sec,Strain_B1_raw,Strain_B2_raw,Processed_Time
0.004797,-0726126,-0618415,21:51:15.012790
0.014822,-0725878,-0618415,21:51:15.012790
0.024877,-0725878,-0619902,21:51:15.012790
0.034895,-0725156,-0618590,21:51:15.012790
0.044891,-0726665,-0619381,21:51:15.013784
0.054885,-0725134,-0619427,21:51:15.013784
0.064880,-0726037,-0618451,21:51:15.057893
0.074876,-0726046,-0619900,21:51:15.057893
0.084910,-0725093,-0618558,21:51:15.057893
0.094905,-0726710,-0619370,21:51:15.057893
0.104900,-0725053,-0619466,21:51:15.057893
0.114934,-0725918,-0618420,21:51:15.105239
0.124981,-0725993,-0619841,21:51:15.105239
0.135003,-0725126,-0618597,21:51:15.105239
0.145001,-0726722,-0619294,21:51:15.105239
0.154996,-0724996,-0619403,21:51:15.105239
0.164991,-0726010,-0618534,21:51:15.150430
0.175023,-0726043,-0619979,21:51:15.150430
0.185021,-0725158,-0618554,21:51:15.150430
0.195018,-0726647,-0619301,21:51:15.150430
0.205014,-0725012,-0619387,21:51:15.197153
0.215045,-0726009,-0618449,21:51:15.200151
0.225042,-0725877,-0619781,21:51:15.200151
0.235072,-0725082,-0618755,21:51:15.200151
0.245068,-0726642,-0619225,21:51:15.200151
0.255071,-0725101,-0619367,21:51:15.246327
0.265171,-0726015,-0618423,21:51:15.246327
0.275168,-0725971,-0620077,21:51:15.246327
0.285162,-0725048,-0618567,21:51:15.247327
0.295158,-0726533,-0619182,21:51:15.247327
0.305154,-0725135,-0619462,21:51:15.290949
0.315185,-0725944,-0618538,21:51:15.292949
0.325183,-0726078,-0619864,21:51:15.292949
0.335205,-0725025,-0618679,21:51:15.292949
0.345205,-0726739,-0619174,21:51:15.340225
0.355236,-0725150,-0619459,21:51:15.341218
0.365235,-0725847,-0618394,21:51:15.341218
0.375229,-0725993,-0619970,21:51:15.341218
0.385225,-0725084,-0618593,21:51:15.341218
0.395221,-0726662,-0619248,21:51:15.388325
0.405256,-0725027,-0619548,21:51:15.388325
0.415251,-0725972,-0618451,21:51:15.388325
0.425251,-0726012,-0619830,21:51:15.388325
0.435272,-0724987,-0618667,21:51:15.388325
0.445287,-0726661,-0619185,21:51:15.445399
0.455385,-0725044,-0619517,21:51:15.445399
0.465382,-0725887,-0618426,21:51:15.445399
0.475376,-0726039,-0619784,21:51:15.445399
0.485375,-0724962,-0618613,21:51:15.445399
0.495370,-0726582,-0619304,21:51:15.445399
0.505370,-0725125,-0619535,21:51:15.492333
0.515407,-0725897,-0618453,21:51:15.492333
0.525403,-0726088,-0619826,21:51:15.492333
0.535424,-0724904,-0618572,21:51:15.492333
0.545430,-0726700,-0619110,21:51:15.539036
0.555489,-0725262,-0619578,21:51:15.539036
0.565493,-0725992,-0618398,21:51:15.539036
0.575494,-0726155,-0619917,21:51:15.539036
0.585492,-0725087,-0618717,21:51:15.539036
0.595496,-0726732,-0619102,21:51:15.585475
0.605533,-0725163,-0619626,21:51:15.585475
0.615536,-0725847,-0618498,21:51:15.585475
0.625565,-0724971,-0619839,21:51:15.585475
0.635597,-0724971,-0618562,21:51:15.585475
0.645634,-0726605,-0619028,21:51:15.631180
0.655667,-0725120,-0619592,21:51:15.631180
0.665664,-0725776,-0618312,21:51:15.631180
0.675660,-0726238,-0619813,21:51:15.631180
0.685657,-0724998,-0618656,21:51:15.678710
0.695689,-0726708,-0619045,21:51:15.678710
0.705692,-0725329,-0619507,21:51:15.678710
0.715687,-0725852,-0618241,21:51:15.678710
0.725681,-0726222,-0619824,21:51:15.678710
0.735685,-0724940,-0618699,21:51:15.725454
0.745724,-0726679,-0618955,21:51:15.725454
0.755739,-0725245,-0619545,21:51:15.725454
0.765736,-0725790,-0618259,21:51:15.725454
0.775733,-0726123,-0619712,21:51:15.725454
0.785730,-0724959,-0618830,21:51:15.771174
0.795761,-0726546,-0619127,21:51:15.771174
0.805760,-0725090,-0619615,21:51:15.771174
0.815755,-0725754,-0618368,21:51:15.771174
0.825751,-0726135,-0619777,21:51:15.817053
0.835783,-0724914,-0618743,21:51:15.817053
0.845806,-0726614,-0619079,21:51:15.817053
0.855822,-0725326,-0619737,21:51:15.817053
0.865820,-0725647,-0618354,21:51:15.817053
0.875818,-0726324,-0619737,21:51:15.864146
0.885850,-0724914,-0618663,21:51:15.864146
0.895848,-0726617,-0619063,21:51:15.864146
0.905844,-0725190,-0619696,21:51:15.864146
0.915842,-0725741,-0618319,21:51:15.910035
0.925837,-0726247,-0619677,21:51:15.910035
0.935868,-0724968,-0618720,21:51:15.910035
0.945886,-0726550,-0618915,21:51:15.910035
0.955899,-0725238,-0619630,21:51:15.910035
0.965893,-0725737,-0618173,21:51:15.956817
0.975925,-0726262,-0619662,21:51:15.956817
0.985929,-0724874,-0618756,21:51:15.957817
0.995926,-0726485,-0618961,21:51:15.957817
1.005925,-0725309,-0619614,21:51:15.957817
1.015922,-0725614,-0618263,21:51:16.004515
1.025958,-0726236,-0619765,21:51:16.004515
1.035962,-0724887,-0618736,21:51:16.005520
1.045961,-0726581,-0618892,21:51:16.005520
1.056001,-0725300,-0619609,21:51:16.005520
1.065997,-0725652,-0618378,21:51:16.052710
1.076029,-0726296,-0619789,21:51:16.052710
1.086030,-0724873,-0618731,21:51:16.052710
1.096027,-0726435,-0618932,21:51:16.052710
1.106021,-0725304,-0619597,21:51:16.096240
1.116085,-0725781,-0618373,21:51:16.096240
1.126085,-0726257,-0619612,21:51:16.096240
1.136117,-0726497,-0618788,21:51:16.096240
1.146151,-0726497,-0618789,21:51:16.096240
1.156176,-0725414,-0619691,21:51:16.145676
1.166209,-0725771,-0618239,21:51:16.146681
1.176207,-0726407,-0619614,21:51:16.146681
1.186204,-0724878,-0618734,21:51:16.146681
1.196198,-0726556,-0618755,21:51:16.194891
1.206207,-0725434,-0619533,21:51:16.194891
1.216236,-0725619,-0618283,21:51:16.194891
1.226231,-0726268,-0619545,21:51:16.194891
1.236225,-0724785,-0618873,21:51:16.194891
1.246223,-0726559,-0618844,21:51:16.237684
1.256275,-0725336,-0619629,21:51:16.237684
1.266296,-0725628,-0618226,21:51:16.237684
1.276290,-0726314,-0619562,21:51:16.237684
1.286286,-0724869,-0618742,21:51:16.238684
1.296283,-0726396,-0618738,21:51:16.285365
1.306343,-0725386,-0619696,21:51:16.285365
1.316340,-0725614,-0618302,21:51:16.286360
1.326336,-0726290,-0619642,21:51:16.286360
1.336333,-0724809,-0618796,21:51:16.331155
1.346364,-0726393,-0618801,21:51:16.331155
1.356415,-0725577,-0619756,21:51:16.331155
1.366409,-0725590,-0618257,21:51:16.331155
1.376403,-0726404,-0619538,21:51:16.331155
1.386397,-0724758,-0618929,21:51:16.378091
1.396432,-0726443,-0618734,21:51:16.378091
1.406433,-0725349,-0619830,21:51:16.378091
1.416427,-0725598,-0618264,21:51:16.378091
1.426423,-0726276,-0619566,21:51:16.378091
1.436420,-0724907,-0618852,21:51:16.425734
1.446480,-0726383,-0618604,21:51:16.425734
1.456477,-0725527,-0619716,21:51:16.426730
1.466522,-0725418,-0618274,21:51:16.426730
1.476522,-0726252,-0619484,21:51:16.426730
1.486517,-0724830,-0618839,21:51:16.472571
1.496551,-0726404,-0618711,21:51:16.472571
1.506550,-0725408,-0619693,21:51:16.473571
1.516546,-0725569,-0618278,21:51:16.473571
1.526576,-0726464,-0619466,21:51:16.519556
1.536622,-0724850,-0618903,21:51:16.519556
1.546622,-0726428,-0618744,21:51:16.519556
