===BEGIN_METADATA===
Test Name: 2026-01-03_test_221535,yyyy-mm-dd_test_hhmmss
Test Type: Force Cycle,Force: 20N,Cycles: 66,Dwell Time: 1sec,Tool Accuracy: +/-0.05N
Test Number in Session: 10,Time since Last Test: ~10min
Number of ICB-Sensors: 1,Sensor Label(s): B
ICB-Sensor B's Serial#: 002,Length: 120mm,Spacing: 40mm,Saturation Load: 80N,Factor of Safety at Saturation: 1.5
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_90SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor B's Latest Calibration: N/A,kB1: 1.0,dB1: 1.0,cB1: 1.0,kB2: 1.0,dB2: 1.0,cB2: 1.0
===END_METADATA===
===BEGIN_DATA===
Time_B_sec,Strain_B1_raw,Strain_B2_raw,Processed_Time
0.004800,-0725589,-0620135,22:15:36.439232
0.014832,-0725396,-0620135,22:15:36.439232
0.024867,-0725396,-0618661,22:15:36.439232
0.034861,-0726563,-0619821,22:15:36.439232
0.044857,-0724784,-0619322,22:15:36.439232
0.054852,-0726230,-0618979,22:15:36.485237
0.064882,-0725555,-0620083,22:15:36.485237
0.074880,-0725353,-0618662,22:15:36.486234
0.084874,-0726515,-0619855,22:15:36.486234
0.094868,-0724808,-0619323,22:15:36.486234
0.104866,-0726363,-0619125,22:15:36.532404
0.114948,-0725544,-0620063,22:15:36.532404
0.124976,-0725251,-0618622,22:15:36.532404
0.134976,-0726503,-0619858,22:15:36.532404
0.144971,-0724794,-0619332,22:15:36.532404
0.154968,-0726287,-0618803,22:15:36.578982
0.164999,-0725524,-0620215,22:15:36.578982
0.174999,-0725253,-0618674,22:15:36.578982
0.184994,-0726464,-0619784,22:15:36.578982
0.194989,-0724797,-0619430,22:15:36.625670
0.205021,-0726214,-0618994,22:15:36.625670
0.215018,-0725486,-0620037,22:15:36.625670
0.225041,-0725234,-0618640,22:15:36.625670
0.235039,-0726520,-0619789,22:15:36.627678
0.245037,-0724862,-0619294,22:15:36.671693
0.255134,-0726222,-0618723,22:15:36.671693
0.265132,-0725562,-0620282,22:15:36.671693
0.275126,-0725141,-0618749,22:15:36.671693
0.285120,-0726507,-0619663,22:15:36.717556
0.295129,-0724802,-0619386,22:15:36.717556
0.305166,-0726173,-0618864,22:15:36.717556
0.315160,-0725534,-0620188,22:15:36.717556
0.325191,-0725202,-0618737,22:15:36.717556
0.335208,-0726463,-0619787,22:15:36.769444
0.345239,-0724824,-0619352,22:15:36.769444
0.355235,-0726088,-0618724,22:15:36.769444
0.365229,-0725677,-0620144,22:15:36.769444
0.375223,-0724996,-0618685,22:15:36.770443
0.385219,-0726407,-0619763,22:15:36.829581
0.395269,-0724687,-0619548,22:15:36.829581
0.405269,-0726006,-0618879,22:15:36.829581
0.415264,-0725485,-0620150,22:15:36.829581
0.425291,-0725085,-0618640,22:15:36.829581
0.435286,-0726429,-0619650,22:15:36.829581
0.445282,-0724569,-0619459,22:15:36.874247
0.455333,-0726067,-0618770,22:15:36.875232
0.465332,-0725460,-0620139,22:15:36.875232
0.475329,-0725049,-0618731,22:15:36.875232
0.485323,-0726462,-0619797,22:15:36.875232
0.495321,-0724719,-0619476,22:15:36.919238
0.505357,-0725914,-0618778,22:15:36.919238
0.515356,-0725537,-0620184,22:15:36.919238
0.525378,-0725070,-0618636,22:15:36.919238
0.535404,-0726539,-0619768,22:15:36.964684
0.545438,-0724608,-0619499,22:15:36.964684
0.555435,-0725935,-0618858,22:15:36.964684
0.565429,-0725581,-0620213,22:15:36.964684
0.575425,-0725105,-0618663,22:15:36.964684
0.585419,-0726339,-0619790,22:15:37.011308
0.595456,-0724633,-0619398,22:15:37.011308
0.605458,-0725915,-0618761,22:15:37.011308
0.615459,-0725387,-0620200,22:15:37.011308
0.625460,-0725059,-0618587,22:15:37.061303
0.635561,-0726388,-0619699,22:15:37.061303
0.645578,-0724628,-0619584,22:15:37.061303
0.655573,-0725857,-0618709,22:15:37.061303
0.665571,-0725575,-0620203,22:15:37.061303
0.675565,-0725095,-0618747,22:15:37.108435
0.685596,-0726461,-0619616,22:15:37.108435
0.695597,-0724630,-0619530,22:15:37.108435
0.705593,-0725921,-0618771,22:15:37.108435
0.715587,-0725545,-0620292,22:15:37.108435
0.725584,-0724977,-0618726,22:15:37.151972
0.735683,-0726320,-0619623,22:15:37.151972
0.745680,-0724729,-0619699,22:15:37.151972
0.755682,-0725846,-0618785,22:15:37.155968
0.765678,-0725481,-0620297,22:15:37.199619
0.775729,-0724930,-0618787,22:15:37.200619
0.785765,-0726405,-0619582,22:15:37.200619
0.795761,-0724743,-0619759,22:15:37.200619
0.805758,-0725780,-0618703,22:15:37.200619
0.815754,-0725594,-0620254,22:15:37.247312
0.825784,-0724938,-0618728,22:15:37.247312
0.835803,-0726326,-0619672,22:15:37.247312
0.845799,-0724847,-0619617,22:15:37.247312
0.855795,-0725865,-0618799,22:15:37.247312
0.865793,-0725452,-0620230,22:15:37.295710
0.875827,-0724862,-0618813,22:15:37.295710
0.885821,-0726456,-0619655,22:15:37.295710
0.895817,-0724831,-0619682,22:15:37.295710
0.905813,-0725846,-0618758,22:15:37.339404
0.915813,-0725752,-0620192,22:15:37.340614
0.925864,-0724912,-0618685,22:15:37.340614
0.935878,-0726463,-0619621,22:15:37.340614
0.945899,-0724797,-0619644,22:15:37.340614
0.955899,-0725776,-0618836,22:15:37.387596
0.965929,-0725526,-0620186,22:15:37.387596
0.975926,-0724817,-0618789,22:15:37.387596
0.985925,-0726434,-0619752,22:15:37.387596
0.995921,-0724656,-0619644,22:15:37.387596
1.005932,-0725777,-0618832,22:15:37.433523
1.016020,-0725643,-0620181,22:15:37.435525
1.026017,-0724748,-0618845,22:15:37.435525
1.036018,-0726444,-0619518,22:15:37.435525
1.046040,-0724704,-0619589,22:15:37.435525
1.056036,-0725794,-0618791,22:15:37.480898
1.066070,-0725677,-0620251,22:15:37.480898
1.076068,-0724901,-0618944,22:15:37.480898
1.086063,-0726418,-0619612,22:15:37.480898
1.096061,-0724833,-0619808,22:15:37.527124
1.106092,-0725710,-0618644,22:15:37.527124
1.116100,-0725623,-0620237,22:15:37.528123
1.126094,-0724807,-0618808,22:15:37.528123
1.136090,-0726350,-0619477,22:15:37.528123
1.146126,-0724698,-0619827,22:15:37.575017
1.156158,-0725802,-0618673,22:15:37.575017
1.166155,-0725725,-0620170,22:15:37.575017
1.176180,-0724850,-0618986,22:15:37.575017
1.186177,-0726302,-0619513,22:15:37.575017
1.196171,-0724773,-0619679,22:15:37.620928
1.206206,-0725732,-0618646,22:15:37.620928
1.216203,-0725793,-0620208,22:15:37.620928
1.226199,-0724845,-0618879,22:15:37.621930
1.236195,-0726436,-0619641,22:15:37.666684
1.246226,-0724787,-0619728,22:15:37.666684
1.256236,-0725745,-0618591,22:15:37.666684
1.266242,-0725583,-0620279,22:15:37.666684
1.276239,-0724876,-0618790,22:15:37.666684
1.286236,-0726309,-0619430,22:15:37.712890
1.296274,-0724819,-0619811,22:15:37.712890
1.306273,-0725673,-0618684,22:15:37.712890
1.316270,-0725690,-0620154,22:15:37.712890
1.326264,-0724799,-0618980,22:15:37.759893
1.336259,-0726435,-0619592,22:15:37.759893
1.346315,-0724773,-0619730,22:15:37.759893
1.356328,-0725764,-0618623,22:15:37.759893
1.366322,-0725760,-0620142,22:15:37.760894
1.376318,-0724764,-0618921,22:15:37.806705
1.386350,-0726286,-0619534,22:15:37.806705
1.396345,-0724812,-0619909,22:15:37.806705
1.406343,-0725714,-0618732,22:15:37.806705
1.416338,-0725681,-0620288,22:15:37.806705
1.426337,-0724832,-0619057,22:15:37.853893
1.436409,-0726423,-0619551,22:15:37.853893
1.446430,-0724783,-0619747,22:15:37.853893
1.456443,-0725752,-0618624,22:15:37.853893
1.466505,-0725853,-0620128,22:15:37.853893
1.476502,-0724648,-0619016,22:15:37.900929
1.486534,-0726438,-0619390,22:15:37.900929
1.496530,-0724841,-0619830,22:15:37.900929
1.506534,-0725660,-0618687,22:15:37.901935
1.516532,-0725810,-0620254,22:15:37.945938
1.526594,-0724739,-0618946,22:15:37.947941
1.536597,-0726328,-0619397,22:15:37.947941
1.546593,-0724900,-0619794,22:15:37.948942
