===BEGIN_METADATA===
Test Name: 2026-02-06_test_181832,yyyy-mm-dd_test_hhmmss
Note:
Test Type: Demo
Number of ICB-Sensors: 5,"Sensor Label(s): A,B,C,D,E"
ICB-Sensor A's Serial#: 001,Length (mm): 100,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
ICB-Sensor A's Latest Calibration: N/A,kA1: 1.0,dA1: 1.0,cA1: 1.0,kA2: 1.0,dA2: 1.0,cA2: 1.0
ICB-Sensor B's Serial#: 002,Length (mm): 120,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
ICB-Sensor B's Latest Calibration: N/A,kB1: 1.0,dB1: 1.0,cB1: 1.0,kB2: 1.0,dB2: 1.0,cB2: 1.0
ICB-Sensor C's Serial#: 003,Length (mm): 100,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
ICB-Sensor C's Latest Calibration: N/A,kC1: 1.0,dC1: 1.0,cC1: 1.0,kC2: 1.0,dC2: 1.0,cC2: 1.0
ICB-Sensor D's Serial#: 004,Length (mm): 120,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
ICB-Sensor D's Latest Calibration: N/A,kD1: 1.0,dD1: 1.0,cD1: 1.0,kD2: 1.0,dD2: 1.0,cD2: 1.0
ICB-Sensor E's Serial#: 005,Length (mm): 100,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
ICB-Sensor E's Latest Calibration: N/A,kE1: 1.0,dE1: 1.0,cE1: 1.0,kE2: 1.0,dE2: 1.0,cE2: 1.0
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_90SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano_01,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.005765,-1133271,-0381894,0.006659,-1993113,-0274444,0.007711,-0192203,-1467503,0.008879,-1025502,+0788408,0.009274,-0466976,-2290933,18:18:47.412327
0.064232,-1133288,-0381906,0.065032,-1993112,-0274392,0.066024,-0194491,-1467031,0.069352,-1025566,+0788506,0.069495,-0467184,-2290817,18:18:47.459855
0.111086,-1133292,-0381748,0.111723,-1993207,-0274395,0.112676,-0193362,-1466826,0.109829,-1025600,+0788598,0.109892,-0467030,-2290727,18:18:47.513524
0.158068,-1133234,-0381899,0.158329,-1993113,-0274387,0.159336,-0193877,-1466475,0.160257,-1025602,+0788560,0.160324,-0467148,-2290854,18:18:47.562687
0.216725,-1133289,-0381805,0.216786,-1993060,-0274278,0.217675,-0193582,-1466646,0.220827,-1025859,+0788497,0.220959,-0467397,-2290958,18:18:47.613845
0.263612,-1133257,-0381850,0.263715,-1993162,-0274274,0.264361,-0193487,-1466570,0.271393,-1025767,+0788559,0.271534,-0467594,-2290891,18:18:47.664355
0.322136,-1133309,-0381850,0.322205,-1993139,-0274369,0.322725,-0194603,-1466680,0.321817,-1025846,+0788454,0.321950,-0467397,-2290865,18:18:47.717030
0.369029,-1133332,-0381853,0.369093,-1993249,-0274254,0.369317,-0193321,-1466329,0.372353,-1026024,+0788450,0.372420,-0467919,-2290853,18:18:47.764461
0.415971,-1133255,-0381884,0.416143,-1993104,-0274319,0.416074,-0194791,-1466727,0.422896,-1025800,+0788535,0.422650,-0467509,-2290908,18:18:47.820175
0.474614,-1133313,-0381862,0.474753,-1993121,-0274330,0.474695,-0193818,-1466981,0.473259,-1025994,+0788417,0.472997,-0467811,-2291010,18:18:47.872276
0.521578,-1133329,-0381858,0.521752,-1993141,-0274270,0.521668,-0194818,-1466387,0.523543,-1025884,+0788606,0.523272,-0467849,-2290703,18:18:47.924891
0.568637,-1133303,-0381905,0.568558,-1993086,-0274359,0.568432,-0193819,-1466985,0.573862,-1025599,+0788559,0.573490,-0467294,-2290832,18:18:47.971932
0.615305,-1133320,-0381948,0.615201,-1993093,-0274327,0.615132,-0194505,-1466317,0.624115,-1025866,+0788584,0.623669,-0467836,-2290828,18:18:48.018995
