===BEGIN_METADATA===
Test Name: 2026-02-07_224144_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: Thow-away trial run. Not real data
Test Type: Demo
Number of ICB-Sensors: 5,"Sensor Label(s): A,B,C,D,E"
ICB-Sensor A's Serial#: 001,Length: 120mm,Spacing: 40mm,Saturation Load: 80N,Factor of Safety at Saturation: 1.5
ICB-Sensor A's Latest Calibration: N/A,kA1: 1.0,dA1: 1.0,cA1: 1.0,kA2: 1.0,dA2: 1.0,cA2: 1.0
ICB-Sensor B's Serial#: 002,Length: 120mm,Spacing: 40mm,Saturation Load: 80N,Factor of Safety at Saturation: 1.5
ICB-Sensor B's Latest Calibration: N/A,kB1: 1.0,dB1: 1.0,cB1: 1.0,kB2: 1.0,dB2: 1.0,cB2: 1.0
ICB-Sensor C's Serial#: 003,Length: 120mm,Spacing: 40mm,Saturation Load: 80N,Factor of Safety at Saturation: 1.5
ICB-Sensor C's Latest Calibration: N/A,kC1: 1.0,dC1: 1.0,cC1: 1.0,kC2: 1.0,dC2: 1.0,cC2: 1.0
ICB-Sensor D's Serial#: 004,Length: 120mm,Spacing: 40mm,Saturation Load: 80N,Factor of Safety at Saturation: 1.5
ICB-Sensor D's Latest Calibration: N/A,kD1: 1.0,dD1: 1.0,cD1: 1.0,kD2: 1.0,dD2: 1.0,cD2: 1.0
ICB-Sensor E's Serial#: 005,Length: 120mm,Spacing: 40mm,Saturation Load: 80N,Factor of Safety at Saturation: 1.5
ICB-Sensor E's Latest Calibration: N/A,kE1: 1.0,dE1: 1.0,cE1: 1.0,kE2: 1.0,dE2: 1.0,cE2: 1.0
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_90SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.010707,-1119393,-0375964,0.010916,-8388608,-8388608,0.008109,-0193169,-1483074,0.008966,-1009306,+0781780,0.009024,-0470824,-2320799,22:41:49.407919
0.013975,-1120835,-0376229,0.014170,-8388608,-8388608,0.011346,-0193585,-1483630,0.011775,-1011196,+0782795,0.011836,-0470377,-2322752,22:41:49.474675
0.017226,-1120980,-0375787,0.017528,-8388608,-8388608,0.014718,-0192944,-1485667,0.017407,-1010262,+0784276,0.017469,-0467266,-2320967,22:41:49.474675
0.020550,-1119936,-0375766,0.020767,-8388608,-8388608,0.017953,-0192811,-1483659,0.020215,-1009741,+0783438,0.020275,-0466823,-2321224,22:41:49.474675
0.023799,-1120050,-0376004,0.024006,-8388608,-8388608,0.021189,-0193021,-1483718,0.023044,-1009609,+0783626,0.023102,-0468504,-2322501,22:41:49.474675
0.027045,-1119855,-0375915,0.027242,-8388608,-8388608,0.024426,-0193409,-1483381,0.025891,-1009717,+0782608,0.025950,-0470572,-2320934,22:41:49.474675
0.030290,-1120052,-0376018,0.030479,-8388608,-8388608,0.027663,-0193264,-1483404,0.028726,-1009652,+0782970,0.028784,-0469264,-2321492,22:41:49.474675
0.033534,-1120053,-0376089,0.033719,-8388608,-8388608,0.030898,-0192994,-1483896,0.031533,-1009947,+0783203,0.031597,-0467474,-2321945,22:41:49.474675
0.036779,-1119401,-0375730,0.036956,-8388608,-8388608,0.034138,-0192759,-1483639,0.034348,-1008894,+0783421,0.034407,-0466538,-2321327,22:41:49.474675
0.040076,-1119766,-0375836,0.040292,-8388608,-8388608,0.037485,-0192921,-1483385,0.039960,-1009118,+0782653,0.040018,-0468740,-2321237,22:41:49.474675
0.043326,-1120084,-0376182,0.043531,-8388608,-8388608,0.040721,-0193399,-1483744,0.042766,-1009796,+0783302,0.042827,-0470475,-2322395,22:41:49.474675
0.046571,-1120171,-0376070,0.046768,-8388608,-8388608,0.043960,-0193374,-1483757,0.045575,-1010002,+0782617,0.045634,-0470670,-2320806,22:41:49.474675
0.049899,-1119850,-0375874,0.050118,-8388608,-8388608,0.047308,-0193094,-1483718,0.048380,-1009007,+0783166,0.048439,-0467081,-2321212,22:41:49.474675
