===BEGIN_METADATA===
Test Name: 2026-02-09_181706_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: Mediums with 6in spacing at 25ft/min. Tops removed. no video
Test Type: Demo
Number of ICB-Sensors: 5,"Sensor Label(s): A,B,C,D,E"
ICB-Sensor A's Serial#: 001,Length: 120mm,Spacing: 40mm,Saturation Load: 80N,Factor of Safety at Saturation: 1.5
ICB-Sensor A's Latest Calibration: N/A,kA1: 1.0,dA1: 1.0,cA1: 1.0,kA2: 1.0,dA2: 1.0,cA2: 1.0
ICB-Sensor B's Serial#: 002,Length: 120mm,Spacing: 40mm,Saturation Load: 80N,Factor of Safety at Saturation: 1.5
ICB-Sensor B's Latest Calibration: N/A,kB1: 1.0,dB1: 1.0,cB1: 1.0,kB2: 1.0,dB2: 1.0,cB2: 1.0
ICB-Sensor C's Serial#: 003,Length: 120mm,Spacing: 40mm,Saturation Load: 80N,Factor of Safety at Saturation: 1.5
ICB-Sensor C's Latest Calibration: N/A,kC1: 1.0,dC1: 1.0,cC1: 1.0,kC2: 1.0,dC2: 1.0,cC2: 1.0
ICB-Sensor D's Serial#: 004,Length: 120mm,Spacing: 40mm,Saturation Load: 80N,Factor of Safety at Saturation: 1.5
ICB-Sensor D's Latest Calibration: N/A,kD1: 1.0,dD1: 1.0,cD1: 1.0,kD2: 1.0,dD2: 1.0,cD2: 1.0
ICB-Sensor E's Serial#: 005,Length: 120mm,Spacing: 40mm,Saturation Load: 80N,Factor of Safety at Saturation: 1.5
ICB-Sensor E's Latest Calibration: N/A,kE1: 1.0,dE1: 1.0,cE1: 1.0,kE2: 1.0,dE2: 1.0,cE2: 1.0
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_90SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.010950,-1090365,-0383317,0.011163,-1949013,-0275798,0.008351,-0000704,-1502736,0.008991,-0965724,+0812764,0.009049,-0477340,-2304964,18:17:10.817569
0.014274,-1090568,-0383328,0.014415,-1948812,-0275823,0.011589,-0000950,-1502728,0.011799,-0965759,+0812952,0.011858,-0477775,-2305409,18:17:10.850899
0.017542,-1090426,-0383528,0.017659,-1949043,-0275704,0.014982,-0000897,-1502649,0.017600,-0965473,+0812911,0.017484,-0477242,-2305403,18:17:10.850899
0.020785,-1090479,-0383376,0.020896,-1949027,-0275857,0.018218,-0000685,-1502750,0.020407,-0965624,+0812789,0.020270,-0477340,-2305202,18:17:10.850899
0.024039,-1090485,-0383326,0.024132,-1948897,-0275835,0.021456,-0000772,-1502659,0.023224,-0965584,+0812781,0.023057,-0477380,-2305112,18:17:10.850899
0.027296,-1090317,-0383292,0.027369,-1949004,-0275836,0.024736,-0000736,-1502740,0.026030,-0965552,+0812985,0.025845,-0477242,-2305296,18:17:10.850899
0.030541,-1090539,-0383447,0.030606,-1948863,-0275776,0.027970,-0000719,-1502704,0.028839,-0965696,+0812715,0.028631,-0477263,-2305285,18:17:10.850899
0.033796,-1090372,-0383448,0.033854,-1948839,-0275861,0.031206,-0000781,-1502647,0.031645,-0965639,+0812601,0.031416,-0477542,-2305067,18:17:10.850899
0.037050,-1090433,-0383269,0.037108,-1948977,-0275975,0.034510,-0000810,-1502634,0.034452,-0965695,+0812779,0.036992,-0477422,-2305494,18:17:10.850899
0.040339,-1090434,-0383316,0.040397,-1948926,-0275848,0.037744,-0000758,-1502953,0.040062,-0965520,+0812914,0.039779,-0477595,-2305328,18:17:10.850899
0.043587,-1090361,-0383261,0.043646,-1949050,-0275836,0.040981,-0000674,-1502739,0.042873,-0965534,+0812633,0.042568,-0477356,-2305273,18:17:10.850899
0.046834,-1090371,-0383231,0.046892,-1948881,-0275898,0.044248,-0000695,-1502908,0.045711,-0965656,+0812686,0.045358,-0477289,-2305257,18:17:10.850899
0.050078,-1090520,-0383291,0.050137,-1948918,-0275872,0.047484,-0000764,-1502687,0.048575,-0965698,+0812856,0.048143,-0477519,-2305347,18:17:10.850899
0.053327,-1090262,-0383336,0.053385,-1948723,-0275869,0.050722,-0000806,-1502694,0.051383,-0965501,+0812854,0.050931,-0477542,-2305399,18:17:10.917938
0.056687,-1090425,-0383137,0.056630,-1948997,-0275824,0.054007,-0000886,-1502723,0.054192,-0965449,+0812765,0.056513,-0477591,-2305611,18:17:10.917938
0.059967,-1090439,-0383287,0.059908,-1948857,-0275825,0.057308,-0000776,-1502448,0.059848,-0965420,+0812738,0.059357,-0477362,-2305172,18:17:10.917938
0.063215,-1090390,-0383351,0.063149,-1948994,-0275802,0.060543,-0000699,-1502754,0.062656,-0965720,+0812839,0.062143,-0477343,-2305368,18:17:10.917938
0.066461,-1090370,-0383109,0.066391,-1948920,-0275938,0.063827,-0000781,-1502725,0.065505,-0965395,+0812792,0.064939,-0477326,-2305377,18:17:10.917938
0.069706,-1090355,-0383326,0.069628,-1949039,-0275595,0.067064,-0000442,-1502655,0.068309,-0965571,+0812804,0.067727,-0477476,-2305187,18:17:10.917938
0.072950,-1090257,-0383251,0.072865,-1949075,-0275766,0.070299,-0000715,-1502647,0.071166,-0965571,+0812658,0.070514,-0477428,-2305155,18:17:10.917938
0.076207,-1090283,-0383188,0.076149,-1948980,-0275904,0.073587,-0000599,-1502601,0.073973,-0965862,+0812924,0.076091,-0477349,-2305041,18:17:10.917938
0.079451,-1090439,-0383206,0.079386,-1949056,-0275938,0.076836,-0000643,-1502633,0.076777,-0965434,+0812759,0.078877,-0477553,-2305398,18:17:10.917938
0.082726,-1090460,-0383483,0.082663,-1949011,-0275862,0.080073,-0000683,-1502828,0.082390,-0965527,+0812715,0.081667,-0477471,-2305357,18:17:10.917938
0.085970,-1090384,-0383379,0.085908,-1949112,-0275683,0.083345,-0000726,-1502717,0.085201,-0965496,+0812808,0.084457,-0477501,-2305223,18:17:10.917938
0.089215,-1090234,-0383228,0.089146,-1949029,-0275992,0.086580,-0000707,-1502721,0.088040,-0965436,+0812793,0.087243,-0477497,-2305011,18:17:10.917938
0.092461,-1090432,-0383371,0.092383,-1948834,-0275846,0.089814,-0000842,-1502743,0.090896,-0965477,+0812684,0.090029,-0477514,-2305197,18:17:10.917938
0.095720,-1090457,-0383347,0.095662,-1948891,-0275736,0.093097,-0000800,-1502592,0.093705,-0965690,+0812894,0.095604,-0477395,-2305417,18:17:10.917938
0.098965,-1090554,-0383210,0.098898,-1948943,-0276041,0.096332,-0000653,-1502547,0.096509,-0965648,+0812668,0.098390,-0477388,-2305433,18:17:10.917938
0.102251,-1090293,-0383450,0.102193,-1948733,-0275760,0.099588,-0000736,-1502687,0.102124,-0965523,+0812584,0.101179,-0477093,-2305260,18:17:10.950850
0.105514,-1090327,-0383071,0.105445,-1948964,-0275479,0.102855,-0001473,-1502711,0.105003,-0965630,+0812835,0.103965,-0478786,-2305094,18:17:10.950850
0.108758,-1090322,-0383273,0.108683,-1948837,-0275875,0.106141,-0000917,-1502055,0.107830,-0965596,+0812612,0.106754,-0477389,-2305252,18:17:10.950850
0.112006,-1090258,-0383219,0.111923,-1949095,-0275764,0.112623,-0000627,-1502764,0.110639,-0965507,+0812787,0.112327,-0477394,-2305306,18:17:10.950850
0.115253,-1090239,-0383276,0.115182,-1948899,-0275705,0.115860,-0000678,-1502643,0.113469,-0965603,+0812927,0.115115,-0477554,-2305202,18:17:10.950850
