===BEGIN_METADATA===
Test Name: 2026-02-09_181818_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: Mediums with 6in spacing at 25ft/min. Tops removed. Video from  broad view
Test Type: Demo
Number of ICB-Sensors: 5,"Sensor Label(s): A,B,C,D,E"
ICB-Sensor A's Serial#: 001,Length: 120mm,Spacing: 40mm,Saturation Load: 80N,Factor of Safety at Saturation: 1.5
ICB-Sensor A's Latest Calibration: N/A,kA1: 1.0,dA1: 1.0,cA1: 1.0,kA2: 1.0,dA2: 1.0,cA2: 1.0
ICB-Sensor B's Serial#: 002,Length: 120mm,Spacing: 40mm,Saturation Load: 80N,Factor of Safety at Saturation: 1.5
ICB-Sensor B's Latest Calibration: N/A,kB1: 1.0,dB1: 1.0,cB1: 1.0,kB2: 1.0,dB2: 1.0,cB2: 1.0
ICB-Sensor C's Serial#: 003,Length: 120mm,Spacing: 40mm,Saturation Load: 80N,Factor of Safety at Saturation: 1.5
ICB-Sensor C's Latest Calibration: N/A,kC1: 1.0,dC1: 1.0,cC1: 1.0,kC2: 1.0,dC2: 1.0,cC2: 1.0
ICB-Sensor D's Serial#: 004,Length: 120mm,Spacing: 40mm,Saturation Load: 80N,Factor of Safety at Saturation: 1.5
ICB-Sensor D's Latest Calibration: N/A,kD1: 1.0,dD1: 1.0,cD1: 1.0,kD2: 1.0,dD2: 1.0,cD2: 1.0
ICB-Sensor E's Serial#: 005,Length: 120mm,Spacing: 40mm,Saturation Load: 80N,Factor of Safety at Saturation: 1.5
ICB-Sensor E's Latest Calibration: N/A,kE1: 1.0,dE1: 1.0,cE1: 1.0,kE2: 1.0,dE2: 1.0,cE2: 1.0
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_90SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.010978,-1090484,-0383202,0.011185,-1949266,-0276461,0.008378,-0001610,-1502016,0.009017,-0946971,+0824084,0.009077,-0477819,-2306316,18:18:21.127755
0.014290,-1090476,-0383128,0.014438,-1949105,-0276279,0.011613,-0002000,-1501927,0.011825,-0947122,+0824078,0.011883,-0477940,-2306109,18:18:21.160059
0.017636,-1090366,-0383105,0.017696,-1949249,-0276380,0.015021,-0001714,-1501952,0.017517,-0947046,+0824094,0.017577,-0477731,-2306005,18:18:21.160059
0.020882,-1090353,-0383041,0.020942,-1949213,-0276300,0.018258,-0001829,-1502124,0.020326,-0946944,+0823919,0.020386,-0477788,-2306159,18:18:21.160059
0.024137,-1090240,-0383119,0.024196,-1949089,-0276388,0.021493,-0001510,-1501764,0.023178,-0946875,+0824208,0.023237,-0477798,-2305896,18:18:21.160059
0.027383,-1090519,-0383135,0.027563,-1949276,-0276293,0.024737,-0001466,-1501812,0.025984,-0946945,+0824164,0.026044,-0477706,-2305954,18:18:21.160059
0.030631,-1090389,-0383302,0.030799,-1949240,-0276231,0.027972,-0001841,-1501915,0.028907,-0946740,+0824081,0.028836,-0477765,-2305960,18:18:21.160059
0.033878,-1090487,-0382962,0.034036,-1949190,-0276258,0.031207,-0001641,-1502006,0.031716,-0946854,+0824048,0.031629,-0477830,-2306102,18:18:21.160059
0.037122,-1090397,-0383142,0.037272,-1949531,-0276266,0.034482,-0001665,-1501986,0.037347,-0947061,+0823956,0.037211,-0477938,-2305907,18:18:21.160059
0.040367,-1090297,-0383051,0.040509,-1949283,-0276312,0.037718,-0001888,-1502034,0.040206,-0947052,+0824183,0.039996,-0477896,-2305895,18:18:21.160059
0.043617,-1090493,-0383138,0.043748,-1949279,-0276300,0.040953,-0001730,-1501983,0.043014,-0946882,+0824200,0.042784,-0477918,-2306198,18:18:21.160059
0.046861,-1090392,-0383154,0.047024,-1949224,-0276441,0.044237,-0001659,-1501960,0.045820,-0946846,+0823923,0.045572,-0477930,-2305831,18:18:21.160059
0.050106,-1090309,-0383165,0.050303,-1949134,-0276322,0.047496,-0001745,-1501906,0.048625,-0946894,+0823933,0.048360,-0477995,-2306145,18:18:21.160059
0.053355,-1090414,-0383223,0.053541,-1949129,-0276415,0.050737,-0001927,-1501812,0.051432,-0946925,+0824052,0.051149,-0477736,-2306039,18:18:21.227084
0.056599,-1090436,-0383310,0.056785,-1949277,-0276290,0.053999,-0001672,-1502056,0.054240,-0946875,+0824257,0.056727,-0477869,-2306111,18:18:21.227084
0.059847,-1090444,-0383201,0.060022,-1949235,-0276179,0.057244,-0001849,-1501769,0.059938,-0946722,+0823958,0.059513,-0477781,-2305837,18:18:21.227084
0.063149,-1090222,-0383234,0.063261,-1949489,-0276264,0.060501,-0003386,-1501784,0.062750,-0947019,+0824125,0.062368,-0479093,-2306131,18:18:21.227084
0.066397,-1090400,-0383098,0.066498,-1949369,-0276418,0.063824,-0001846,-1501950,0.065560,-0946929,+0824007,0.065158,-0477820,-2306015,18:18:21.227084
