===BEGIN_METADATA===
Test Name: 2026-02-13_163645_01,yyyy-mm-dd_hhmmss_{probe_num}
Test Type: Calibration
Number of ICB-Sensors: 1,Sensor Label(s): A
Sensor Serial#: 001,Sensor Label on Hi-STIFFS DAQ: A
Load Type: Force (N),Force Control: Uniaxial Test Machine,Position Control: Visual Tick Marks (mm)
Loads: [10 50],Positions: [60 100],This Load: 10 N,This Position: 60 mm
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.010729,-0918848,-0349660,0.010943,-1942256,-0266888,0.008137,-0047368,-1519068,0.008990,-0994602,+0797162,0.009048,-0481972,-2314337,16:36:47.973364
0.014001,-0918784,-0349640,0.014204,-1942316,-0266719,0.011376,-0047979,-1519133,0.011794,-0994421,+0797560,0.011861,-0482113,-2314381,16:36:48.006033
0.017250,-0919437,-0349710,0.017537,-1942248,-0266589,0.014734,-0061706,-1513933,0.017418,-0994642,+0797571,0.017478,-0483229,-2314147,16:36:48.006033
0.020560,-0918990,-0349651,0.020775,-1942264,-0266698,0.017969,-0054729,-1517081,0.020225,-0994433,+0797437,0.020284,-0482277,-2314143,16:36:48.006033
0.023821,-0919330,-0349576,0.024017,-1942231,-0266564,0.021206,-0054574,-1519053,0.023048,-0994435,+0797494,0.023107,-0482254,-2314397,16:36:48.006033
0.027069,-0919115,-0349687,0.027254,-1942427,-0266621,0.024516,-0047255,-1514748,0.025861,-0994591,+0797458,0.025968,-0482615,-2314234,16:36:48.006033
0.030314,-0919150,-0349668,0.030491,-1942162,-0266549,0.027751,-0047367,-1516589,0.028751,-0994662,+0797643,0.028809,-0482715,-2314231,16:36:48.006033
0.033566,-0919037,-0349773,0.033727,-1942497,-0266567,0.030986,-0053985,-1516609,0.031559,-0994508,+0797553,0.031624,-0482739,-2314347,16:36:48.006033
0.036811,-0919025,-0349638,0.036964,-1942262,-0266698,0.034239,-0047250,-1519093,0.034372,-0994624,+0797413,0.034430,-0482067,-2314213,16:36:48.006033
0.040069,-0919126,-0349833,0.040264,-1942159,-0266557,0.037511,-0047089,-1516488,0.039989,-0994624,+0797657,0.040127,-0482122,-2314560,16:36:48.006033
0.043321,-0919058,-0349462,0.043503,-1942002,-0266519,0.040746,-0059612,-1519219,0.042816,-0994628,+0797500,0.042915,-0482619,-2314088,16:36:48.006033
0.046571,-0919173,-0349654,0.046739,-1942145,-0266598,0.043989,-0047291,-1518945,0.045666,-0994437,+0797490,0.045724,-0482098,-2314391,16:36:48.006033
0.049824,-0919140,-0349774,0.050002,-1942413,-0266582,0.047225,-0047150,-1518900,0.048474,-0994623,+0797504,0.048533,-0481979,-2314418,16:36:48.006033
