===BEGIN_METADATA===
Test Name: 2026-02-16_182651_01,yyyy-mm-dd_hhmmss_{probe_num}
Note:
Test Type: Demo
Number of ICB-Sensors: 5,Sensor Label(s): A B C D E,Sensor Serial#(s): 001 002 003 004 005
ICB-Sensor A's Serial#: 001,Length (mm): 100,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
ICB-Sensor B's Serial#: 002,Length (mm): 120,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
ICB-Sensor C's Serial#: 003,Length (mm): 100,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
ICB-Sensor D's Serial#: 004,Length (mm): 120,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
ICB-Sensor E's Serial#: 005,Length (mm): 100,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_90SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano_01,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: N/A,kA1: 1.0,dA1: 1.0,cA1: 1.0,kA2: 1.0,dA2: 1.0,cA2: 1.0
ICB-Sensor B's Latest Calibration: N/A,kB1: 1.0,dB1: 1.0,cB1: 1.0,kB2: 1.0,dB2: 1.0,cB2: 1.0
ICB-Sensor C's Latest Calibration: N/A,kC1: 1.0,dC1: 1.0,cC1: 1.0,kC2: 1.0,dC2: 1.0,cC2: 1.0
ICB-Sensor D's Latest Calibration: N/A,kD1: 1.0,dD1: 1.0,cD1: 1.0,kD2: 1.0,dD2: 1.0,cD2: 1.0
ICB-Sensor E's Latest Calibration: N/A,kE1: 1.0,dE1: 1.0,cE1: 1.0,kE2: 1.0,dE2: 1.0,cE2: 1.0
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.010767,-1103022,-0385399,0.010980,-1945717,-0269734,0.011212,-0054462,-1390302,0.009026,-1004669,+0822479,0.009084,-0484833,-2317990,18:26:57.761327
0.014039,-1102946,-0385163,0.014237,-1945706,-0269703,0.014463,-0054527,-1389060,0.011833,-1004906,+0822628,0.011906,-0484937,-2317735,18:26:57.826958
0.017286,-1104079,-0384811,0.017475,-1945882,-0269530,0.017702,-0066922,-1387104,0.017547,-1005355,+0822624,0.017606,-0487908,-2317436,18:26:57.826958
0.020534,-1104296,-0384880,0.020716,-1945765,-0269470,0.020938,-0067039,-1386198,0.020374,-1005206,+0822683,0.020435,-0488246,-2317465,18:26:57.826958
0.023785,-1104283,-0384894,0.023952,-1945742,-0269496,0.024181,-0066735,-1386457,0.023210,-1005397,+0822672,0.023282,-0488072,-2317249,18:26:57.826958
0.027035,-1104506,-0384908,0.027191,-1945959,-0269447,0.027415,-0066017,-1386452,0.026033,-1005166,+0822892,0.026099,-0487835,-2317248,18:26:57.826958
0.030285,-1104247,-0385325,0.030462,-1945796,-0269415,0.030658,-0064960,-1390271,0.028877,-1004734,+0822663,0.028942,-0484699,-2317352,18:26:57.826958
0.033530,-1103210,-0385058,0.033700,-1945783,-0269500,0.033895,-0057431,-1386761,0.031829,-1004899,+0822757,0.031743,-0486780,-2317940,18:26:57.826958
0.036774,-1104211,-0384897,0.036936,-1945749,-0269461,0.037130,-0067644,-1386333,0.034635,-1005118,+0822750,0.034568,-0488015,-2317466,18:26:57.826958
0.040026,-1104553,-0385533,0.040173,-1945746,-0269552,0.040366,-0066408,-1390344,0.040289,-1005161,+0822520,0.040231,-0487690,-2317966,18:26:57.826958
0.043381,-1103022,-0385529,0.043439,-1945534,-0269483,0.043601,-0054489,-1390517,0.043102,-1004567,+0822655,0.043034,-0484652,-2317929,18:26:57.826958
0.046626,-1102934,-0385461,0.046686,-1945660,-0269607,0.046836,-0054391,-1390484,0.045909,-1004864,+0822727,0.045825,-0484894,-2317804,18:26:57.826958
0.049874,-1103090,-0385377,0.049932,-1945571,-0269751,0.050070,-0054513,-1390505,0.048715,-1004630,+0822624,0.048611,-0484768,-2317816,18:26:57.826958
0.053122,-1103018,-0385385,0.053235,-1945528,-0269803,0.053307,-0054370,-1390362,0.051559,-1004683,+0822532,0.051399,-0484781,-2318059,18:26:57.826958
0.056369,-1103298,-0385177,0.056471,-1945590,-0269755,0.056541,-0054567,-1390595,0.054364,-1004918,+0822721,0.054193,-0484785,-2317971,18:26:57.826958
0.059615,-1102912,-0385293,0.059710,-1945723,-0269740,0.059827,-0054508,-1390410,0.057170,-1004629,+0822523,0.059768,-0484850,-2318100,18:26:57.826958
0.062860,-1103011,-0385311,0.062949,-1945567,-0269648,0.063065,-0054519,-1390499,0.062792,-1004727,+0822261,0.062554,-0484587,-2317725,18:26:57.826958
0.066104,-1103192,-0385336,0.066187,-1945604,-0269547,0.066300,-0054476,-1390476,0.065598,-1004807,+0822603,0.065348,-0484912,-2318014,18:26:57.826958
0.069349,-1103227,-0385345,0.069423,-1945626,-0269580,0.069587,-0054575,-1390447,0.068406,-1004718,+0822636,0.068134,-0484812,-2317922,18:26:57.826958
0.072603,-1103062,-0385413,0.072664,-1945675,-0269576,0.072823,-0054479,-1390398,0.071264,-1004765,+0822713,0.070923,-0484771,-2317776,18:26:57.826958
0.075850,-1103062,-0385340,0.075910,-1945566,-0269585,0.076058,-0054611,-1390486,0.074126,-1004695,+0822573,0.073714,-0484816,-2318084,18:26:57.826958
0.079098,-1102968,-0385360,0.079157,-1945722,-0269739,0.079345,-0054350,-1390681,0.076932,-1004677,+0822597,0.079287,-0484986,-2317714,18:26:57.826958
0.082360,-1103036,-0385364,0.082420,-1945733,-0269683,0.082602,-0054445,-1390230,0.082542,-1004811,+0822759,0.082075,-0484622,-2318008,18:26:57.860251
0.085627,-1102963,-0385289,0.085687,-1945624,-0269567,0.085837,-0054595,-1390521,0.085348,-1004792,+0822832,0.084869,-0484798,-2317955,18:26:57.860251
0.088873,-1103056,-0385481,0.088931,-1945618,-0269699,0.089107,-0054430,-1390453,0.088155,-1004863,+0822675,0.087654,-0484726,-2317815,18:26:57.860251
