===BEGIN_METADATA===
Test Name: 2026-02-20_185403_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: 20N
Test Type: Force Cycle
Test Number in Session: 0,Time since Last Test: 
Number of ICB-Sensors: 5,Sensor Label(s): A B C D E,Sensor Serial#(s): 005 002 003 004 001
ICB-Sensor A's Serial#: 005,Length (mm): 100,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
ICB-Sensor B's Serial#: 002,Length (mm): 120,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
ICB-Sensor C's Serial#: 003,Length (mm): 100,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
ICB-Sensor D's Serial#: 004,Length (mm): 120,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
ICB-Sensor E's Serial#: 001,Length (mm): 100,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_90SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano_01,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: N/A,kA1: 1.0,dA1: 1.0,cA1: 1.0,kA2: 1.0,dA2: 1.0,cA2: 1.0
ICB-Sensor B's Latest Calibration: N/A,kB1: 1.0,dB1: 1.0,cB1: 1.0,kB2: 1.0,dB2: 1.0,cB2: 1.0
ICB-Sensor C's Latest Calibration: N/A,kC1: 1.0,dC1: 1.0,cC1: 1.0,kC2: 1.0,dC2: 1.0,cC2: 1.0
ICB-Sensor D's Latest Calibration: N/A,kD1: 1.0,dD1: 1.0,cD1: 1.0,kD2: 1.0,dD2: 1.0,cD2: 1.0
ICB-Sensor E's Latest Calibration: 2026-02-16T16:42:22.947658,kE1: 365360.95078391687,dE1: 0.0128828073827476,cE1: -1090307.8216757427,kE2: 358441.4333257384,dE2: 0.0531505602691383,cE2: -373949.500513379
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.010936,+0501411,+0583817,0.011145,-8388608,-8388608,0.008338,-8388608,-8388608,0.008978,-8388608,-8388608,0.009038,-8388608,-8388608,18:54:05.228195
0.014254,+0501402,+0583980,0.014397,-8388608,-8388608,0.011574,-8388608,-8388608,0.011785,-8388608,-8388608,0.011843,-8388608,-8388608,18:54:05.261664
0.017535,+0501040,+0583910,0.017745,-8388608,-8388608,0.014939,-8388608,-8388608,0.017413,-8388608,-8388608,0.017477,-8388608,-8388608,18:54:05.261664
0.020779,+0501423,+0583768,0.020985,-8388608,-8388608,0.021416,-8388608,-8388608,0.020224,-8388608,-8388608,0.020284,-8388608,-8388608,18:54:05.261664
0.024030,+0501282,+0583579,0.024220,-8388608,-8388608,0.024659,-8388608,-8388608,0.023100,-8388608,-8388608,0.023159,-8388608,-8388608,18:54:05.261664
0.027274,+0501490,+0583647,0.027457,-8388608,-8388608,0.027895,-8388608,-8388608,0.025905,-8388608,-8388608,0.025965,-8388608,-8388608,18:54:05.261664
0.030522,+0501156,+0583859,0.030694,-8388608,-8388608,0.031132,-8388608,-8388608,0.031554,-8388608,-8388608,0.031620,-8388608,-8388608,18:54:05.261664
0.033770,+0501156,+0583902,0.033934,-8388608,-8388608,0.034485,-8388608,-8388608,0.034367,-8388608,-8388608,0.034427,-8388608,-8388608,18:54:05.261664
0.037024,+0500604,+0583653,0.037171,-8388608,-8388608,0.037723,-8388608,-8388608,0.037287,-8388608,-8388608,0.037229,-8388608,-8388608,18:54:05.261664
0.040302,+0500920,+0584116,0.040421,-8388608,-8388608,0.040960,-8388608,-8388608,0.040144,-8388608,-8388608,0.040016,-8388608,-8388608,18:54:05.261664
0.043549,+0500920,+0583629,0.043658,-8388608,-8388608,0.044201,-8388608,-8388608,0.042956,-8388608,-8388608,0.042812,-8388608,-8388608,18:54:05.261664
0.046813,+0500976,+0583772,0.046894,-8388608,-8388608,0.047439,-8388608,-8388608,0.045764,-8388608,-8388608,0.045654,-8388608,-8388608,18:54:05.261664
0.050082,+0501456,+0583595,0.050183,-8388608,-8388608,0.050676,-8388608,-8388608,0.048622,-8388608,-8388608,0.048505,-8388608,-8388608,18:54:05.261664
0.053337,+0501418,+0583556,0.053419,-8388608,-8388608,0.053912,-8388608,-8388608,0.051426,-8388608,-8388608,0.051291,-8388608,-8388608,18:54:05.261664
0.056583,+0501532,+0583803,0.056658,-8388608,-8388608,0.057153,-8388608,-8388608,0.057040,-8388608,-8388608,0.056871,-8388608,-8388608,18:54:05.261664
0.059827,+0501587,+0583787,0.059946,-8388608,-8388608,0.060388,-8388608,-8388608,0.059887,-8388608,-8388608,0.059656,-8388608,-8388608,18:54:05.261664
0.063074,+0501173,+0583827,0.063191,-8388608,-8388608,0.063623,-8388608,-8388608,0.062692,-8388608,-8388608,0.062446,-8388608,-8388608,18:54:05.261664
0.066319,+0501382,+0583702,0.066427,-8388608,-8388608,0.066959,-8388608,-8388608,0.065497,-8388608,-8388608,0.065235,-8388608,-8388608,18:54:05.261664
0.069567,+0501411,+0583714,0.069698,-8388608,-8388608,0.070194,-8388608,-8388608,0.068303,-8388608,-8388608,0.068021,-8388608,-8388608,18:54:05.261664
0.072841,+0501309,+0583561,0.072934,-8388608,-8388608,0.073434,-8388608,-8388608,0.071158,-8388608,-8388608,0.070808,-8388608,-8388608,18:54:05.261664
0.076090,+0501339,+0583626,0.076173,-8388608,-8388608,0.076669,-8388608,-8388608,0.073968,-8388608,-8388608,0.076385,-8388608,-8388608,18:54:05.261664
0.079335,+0501416,+0583818,0.079453,-8388608,-8388608,0.079908,-8388608,-8388608,0.079579,-8388608,-8388608,0.079171,-8388608,-8388608,18:54:05.261664
0.082582,+0501501,+0583750,0.082694,-8388608,-8388608,0.083156,-8388608,-8388608,0.082419,-8388608,-8388608,0.081958,-8388608,-8388608,18:54:05.328214
0.085828,+0501513,+0583683,0.085931,-8388608,-8388608,0.086421,-8388608,-8388608,0.085225,-8388608,-8388608,0.084746,-8388608,-8388608,18:54:05.328214
0.089074,+0501351,+0583699,0.089213,-8388608,-8388608,0.089706,-8388608,-8388608,0.088030,-8388608,-8388608,0.087534,-8388608,-8388608,18:54:05.328214
0.092380,+0501370,+0583543,0.092450,-8388608,-8388608,0.092946,-8388608,-8388608,0.090890,-8388608,-8388608,0.093127,-8388608,-8388608,18:54:05.328214
0.095628,+0500834,+0583696,0.095709,-8388608,-8388608,0.096204,-8388608,-8388608,0.093724,-8388608,-8388608,0.095924,-8388608,-8388608,18:54:05.328214
0.098902,+0500982,+0583946,0.099032,-8388608,-8388608,0.099446,-8388608,-8388608,0.099352,-8388608,-8388608,0.098737,-8388608,-8388608,18:54:05.328214
0.102151,+0501300,+0583822,0.102275,-8388608,-8388608,0.102687,-8388608,-8388608,0.102216,-8388608,-8388608,0.101530,-8388608,-8388608,18:54:05.328214
0.105405,+0501411,+0583489,0.105513,-8388608,-8388608,0.105923,-8388608,-8388608,0.105020,-8388608,-8388608,0.104364,-8388608,-8388608,18:54:05.328214
0.108651,+0501516,+0583732,0.108750,-8388608,-8388608,0.109158,-8388608,-8388608,0.107825,-8388608,-8388608,0.107191,-8388608,-8388608,18:54:05.328214
0.111897,+0501466,+0583620,0.111987,-8388608,-8388608,0.112394,-8388608,-8388608,0.110632,-8388608,-8388608,0.109979,-8388608,-8388608,18:54:05.328214
0.115144,+0501499,+0583798,0.115225,-8388608,-8388608,0.115629,-8388608,-8388608,0.113447,-8388608,-8388608,0.115561,-8388608,-8388608,18:54:05.328214
0.118405,+0501275,+0583690,0.118463,-8388608,-8388608,0.118864,-8388608,-8388608,0.116252,-8388608,-8388608,0.118347,-8388608,-8388608,18:54:05.328214
0.121649,+0501525,+0583641,0.121713,-8388608,-8388608,0.122134,-8388608,-8388608,0.121863,-8388608,-8388608,0.121135,-8388608,-8388608,18:54:05.328214
0.124948,+0501318,+0583691,0.125006,-8388608,-8388608,0.125373,-8388608,-8388608,0.124670,-8388608,-8388608,0.123922,-8388608,-8388608,18:54:05.328214
0.128192,+0501499,+0583587,0.128252,-8388608,-8388608,0.128608,-8388608,-8388608,0.127478,-8388608,-8388608,0.126708,-8388608,-8388608,18:54:05.328214
