===BEGIN_METADATA===
Test Name: 2026-02-23_110750_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: 50N
Test Type: Demo
Number of ICB-Sensors: 5,Sensor Label(s): A B C D E,Sensor Serial#(s): 004 002 003 005 001
ICB-Sensor A's Serial#: 004,Length (mm): 120,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
ICB-Sensor B's Serial#: 002,Length (mm): 120,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
ICB-Sensor C's Serial#: 003,Length (mm): 100,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
ICB-Sensor D's Serial#: 005,Length (mm): 100,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
ICB-Sensor E's Serial#: 001,Length (mm): 100,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano_01,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: N/A,kA1: 1.0,dA1: 1.0,cA1: 1.0,kA2: 1.0,dA2: 1.0,cA2: 1.0
ICB-Sensor B's Latest Calibration: N/A,kB1: 1.0,dB1: 1.0,cB1: 1.0,kB2: 1.0,dB2: 1.0,cB2: 1.0
ICB-Sensor C's Latest Calibration: N/A,kC1: 1.0,dC1: 1.0,cC1: 1.0,kC2: 1.0,dC2: 1.0,cC2: 1.0
ICB-Sensor D's Latest Calibration: N/A,kD1: 1.0,dD1: 1.0,cD1: 1.0,kD2: 1.0,dD2: 1.0,cD2: 1.0
ICB-Sensor E's Latest Calibration: 2026-02-16T16:42:22.947658,kE1: 365360.95078391687,dE1: 0.0128828073827476,cE1: -1090307.8216757427,kE2: 358441.4333257384,dE2: 0.0531505602691383,cE2: -373949.500513379
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.010699,-0043249,-0122191,0.010908,-8388608,-8388608,0.008098,-8388608,-8388608,0.008957,-8388608,-8388608,0.009017,-8388608,-8388608,11:07:51.842066
0.013982,-0043259,-0122196,0.014164,-8388608,-8388608,0.011334,-8388608,-8388608,0.011764,-8388608,-8388608,0.011826,-8388608,-8388608,11:07:51.875301
0.017230,-0043497,-0121980,0.017521,-8388608,-8388608,0.014715,-8388608,-8388608,0.017402,-8388608,-8388608,0.017464,-8388608,-8388608,11:07:51.875301
0.020551,-0043219,-0122107,0.020757,-8388608,-8388608,0.017952,-8388608,-8388608,0.020213,-8388608,-8388608,0.020272,-8388608,-8388608,11:07:51.875301
0.023813,-0043332,-0122260,0.024002,-8388608,-8388608,0.021190,-8388608,-8388608,0.023047,-8388608,-8388608,0.023111,-8388608,-8388608,11:07:51.875301
0.027063,-0043393,-0122080,0.027239,-8388608,-8388608,0.024449,-8388608,-8388608,0.025978,-8388608,-8388608,0.025909,-8388608,-8388608,11:07:51.875301
0.030310,-0043354,-0122107,0.030497,-8388608,-8388608,0.027691,-8388608,-8388608,0.028808,-8388608,-8388608,0.028746,-8388608,-8388608,11:07:51.875301
0.033560,-0043172,-0121905,0.033744,-8388608,-8388608,0.030942,-8388608,-8388608,0.031633,-8388608,-8388608,0.031539,-8388608,-8388608,11:07:51.875301
0.036811,-0043504,-0122117,0.036986,-8388608,-8388608,0.034189,-8388608,-8388608,0.034444,-8388608,-8388608,0.034360,-8388608,-8388608,11:07:51.875301
0.040059,-0043451,-0122112,0.040223,-8388608,-8388608,0.037434,-8388608,-8388608,0.040118,-8388608,-8388608,0.039941,-8388608,-8388608,11:07:51.875301
0.043306,-0043368,-0122168,0.043465,-8388608,-8388608,0.040676,-8388608,-8388608,0.042925,-8388608,-8388608,0.042760,-8388608,-8388608,11:07:51.875301
0.046552,-0043517,-0122065,0.046702,-8388608,-8388608,0.043925,-8388608,-8388608,0.045729,-8388608,-8388608,0.045563,-8388608,-8388608,11:07:51.875301
0.049832,-0043246,-0122079,0.049995,-8388608,-8388608,0.047238,-8388608,-8388608,0.048534,-8388608,-8388608,0.048379,-8388608,-8388608,11:07:51.875301
0.053081,-0043239,-0122209,0.053243,-8388608,-8388608,0.050474,-8388608,-8388608,0.051339,-8388608,-8388608,0.051169,-8388608,-8388608,11:07:51.875301
0.056326,-0043384,-0122080,0.056479,-8388608,-8388608,0.053713,-8388608,-8388608,0.054147,-8388608,-8388608,0.053966,-8388608,-8388608,11:07:51.875301
0.059572,-0043352,-0122071,0.059716,-8388608,-8388608,0.056952,-8388608,-8388608,0.057010,-8388608,-8388608,0.059630,-8388608,-8388608,11:07:51.875301
0.062817,-0043391,-0122106,0.062954,-8388608,-8388608,0.060186,-8388608,-8388608,0.062657,-8388608,-8388608,0.062420,-8388608,-8388608,11:07:51.875301
0.066063,-0043503,-0122031,0.066193,-8388608,-8388608,0.063427,-8388608,-8388608,0.065465,-8388608,-8388608,0.065210,-8388608,-8388608,11:07:51.875301
0.069310,-0043306,-0122152,0.069449,-8388608,-8388608,0.066661,-8388608,-8388608,0.068270,-8388608,-8388608,0.067996,-8388608,-8388608,11:07:51.875301
0.072589,-0043244,-0122237,0.072688,-8388608,-8388608,0.069947,-8388608,-8388608,0.071127,-8388608,-8388608,0.070783,-8388608,-8388608,11:07:51.875301
0.075835,-0043104,-0122017,0.075925,-8388608,-8388608,0.073189,-8388608,-8388608,0.073933,-8388608,-8388608,0.073571,-8388608,-8388608,11:07:51.875301
0.079081,-0043230,-0122194,0.079202,-8388608,-8388608,0.076424,-8388608,-8388608,0.076739,-8388608,-8388608,0.079144,-8388608,-8388608,11:07:51.875301
0.082329,-0043284,-0122109,0.082450,-8388608,-8388608,0.079659,-8388608,-8388608,0.082390,-8388608,-8388608,0.081929,-8388608,-8388608,11:07:51.942363
0.085576,-0043172,-0122152,0.085690,-8388608,-8388608,0.082897,-8388608,-8388608,0.085196,-8388608,-8388608,0.084722,-8388608,-8388608,11:07:51.942363
0.088820,-0043264,-0122213,0.088959,-8388608,-8388608,0.086173,-8388608,-8388608,0.088001,-8388608,-8388608,0.087508,-8388608,-8388608,11:07:51.942363
0.092074,-0043393,-0122140,0.092196,-8388608,-8388608,0.092709,-8388608,-8388608,0.090809,-8388608,-8388608,0.093108,-8388608,-8388608,11:07:51.942363
0.095353,-0043293,-0122070,0.095437,-8388608,-8388608,0.095980,-8388608,-8388608,0.093660,-8388608,-8388608,0.095916,-8388608,-8388608,11:07:51.942363
0.098602,-0043289,-0122158,0.098676,-8388608,-8388608,0.099221,-8388608,-8388608,0.096507,-8388608,-8388608,0.098734,-8388608,-8388608,11:07:51.942363
0.101847,-0043292,-0122238,0.101913,-8388608,-8388608,0.102458,-8388608,-8388608,0.102133,-8388608,-8388608,0.101531,-8388608,-8388608,11:07:51.942363
0.105093,-0043195,-0122153,0.105151,-8388608,-8388608,0.105694,-8388608,-8388608,0.104993,-8388608,-8388608,0.104347,-8388608,-8388608,11:07:51.942363
0.108337,-0043411,-0122146,0.108395,-8388608,-8388608,0.108929,-8388608,-8388608,0.107798,-8388608,-8388608,0.107145,-8388608,-8388608,11:07:51.942363
0.111615,-0043462,-0121945,0.111673,-8388608,-8388608,0.112163,-8388608,-8388608,0.110606,-8388608,-8388608,0.109932,-8388608,-8388608,11:07:51.942363
0.114874,-0043241,-0122047,0.114933,-8388608,-8388608,0.115398,-8388608,-8388608,0.113414,-8388608,-8388608,0.112727,-8388608,-8388608,11:07:51.942363
0.118119,-0043252,-0122177,0.118179,-8388608,-8388608,0.118633,-8388608,-8388608,0.116219,-8388608,-8388608,0.118303,-8388608,-8388608,11:07:51.942363
0.121377,-0043420,-0122113,0.121445,-8388608,-8388608,0.121892,-8388608,-8388608,0.121832,-8388608,-8388608,0.121089,-8388608,-8388608,11:07:51.942363
0.124632,-0043568,-0122074,0.124748,-8388608,-8388608,0.125132,-8388608,-8388608,0.124690,-8388608,-8388608,0.123878,-8388608,-8388608,11:07:51.942363
0.127876,-0043327,-0122106,0.127984,-8388608,-8388608,0.128367,-8388608,-8388608,0.127494,-8388608,-8388608,0.126669,-8388608,-8388608,11:07:51.942363
0.131137,-0043345,-0121982,0.131222,-8388608,-8388608,0.131604,-8388608,-8388608,0.130300,-8388608,-8388608,0.132243,-8388608,-8388608,11:07:51.942363
0.134381,-0043353,-0122057,0.134460,-8388608,-8388608,0.134844,-8388608,-8388608,0.133105,-8388608,-8388608,0.135031,-8388608,-8388608,11:07:51.942363
0.137626,-0043190,-0122149,0.137698,-8388608,-8388608,0.138101,-8388608,-8388608,0.135922,-8388608,-8388608,0.137818,-8388608,-8388608,11:07:51.942363
0.140894,-0043220,-0122203,0.140952,-8388608,-8388608,0.141336,-8388608,-8388608,0.141534,-8388608,-8388608,0.140606,-8388608,-8388608,11:07:51.975669
0.144143,-0043220,-0122082,0.144201,-8388608,-8388608,0.144619,-8388608,-8388608,0.144345,-8388608,-8388608,0.143397,-8388608,-8388608,11:07:51.975669
0.147443,-0043283,-0122113,0.147503,-8388608,-8388608,0.147899,-8388608,-8388608,0.147160,-8388608,-8388608,0.146191,-8388608,-8388608,11:07:51.975669
0.150688,-0043163,-0122132,0.150747,-8388608,-8388608,0.151133,-8388608,-8388608,0.152812,-8388608,-8388608,0.151797,-8388608,-8388608,11:07:51.975669
0.153942,-0043297,-0121969,0.154000,-8388608,-8388608,0.154370,-8388608,-8388608,0.155623,-8388608,-8388608,0.154613,-8388608,-8388608,11:07:51.975669
0.157187,-0043297,-0122200,0.157301,-8388608,-8388608,0.157605,-8388608,-8388608,0.158428,-8388608,-8388608,0.157440,-8388608,-8388608,11:07:51.975669
0.160433,-0043303,-0122175,0.160545,-8388608,-8388608,0.160842,-8388608,-8388608,0.161237,-8388608,-8388608,0.160262,-8388608,-8388608,11:07:51.975669
0.163682,-0043303,-0122176,0.163782,-8388608,-8388608,0.164104,-8388608,-8388608,0.164046,-8388608,-8388608,0.163056,-8388608,-8388608,11:07:51.975669
0.166928,-0043341,-0122062,0.167018,-8388608,-8388608,0.167339,-8388608,-8388608,0.166863,-8388608,-8388608,0.165843,-8388608,-8388608,11:07:51.975669
0.170172,-0043331,-0121939,0.170305,-8388608,-8388608,0.170574,-8388608,-8388608,0.169670,-8388608,-8388608,0.168629,-8388608,-8388608,11:07:51.975669
0.173419,-0043340,-0122222,0.173545,-8388608,-8388608,0.173811,-8388608,-8388608,0.172479,-8388608,-8388608,0.171418,-8388608,-8388608,11:07:51.975669
0.176667,-0043233,-0122146,0.176786,-8388608,-8388608,0.177053,-8388608,-8388608,0.175284,-8388608,-8388608,0.176995,-8388608,-8388608,11:07:51.975669
0.179914,-0043512,-0122163,0.180066,-8388608,-8388608,0.180288,-8388608,-8388608,0.178130,-8388608,-8388608,0.179782,-8388608,-8388608,11:07:51.975669
0.183164,-0043234,-0122234,0.183303,-8388608,-8388608,0.183525,-8388608,-8388608,0.180934,-8388608,-8388608,0.182573,-8388608,-8388608,11:07:51.975669
0.186413,-0043219,-0122390,0.186539,-8388608,-8388608,0.186820,-8388608,-8388608,0.186598,-8388608,-8388608,0.185364,-8388608,-8388608,11:07:51.975669
