===BEGIN_METADATA===
Test Name: 2026-02-24_152251_01,yyyy-mm-dd_hhmmss_{probe_num}
Note:
Test Type: Calibration
Loads (N): 10 30 60,Positions (mm): 60 75 95
Number of ICB-Sensors: 1,Sensor Label(s): A,Sensor Serial#(s): 005
ICB-Sensor A's Serial#: 005,Length (mm): 100,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano_01,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: N/A,kA1: 1.0,dA1: 1.0,cA1: 1.0,kA2: 1.0,dA2: 1.0,cA2: 1.0
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.001057,94,164,0.001264,-8388608,-8388608,0.001695,-8388608,-8388608,0.000561,-8388608,-8388608,0.00066,-8388608,-8388608,15:22:54.947681
0.004302,-48,20,0.004501,-8388608,-8388608,0.004931,-8388608,-8388608,0.003374,-8388608,-8388608,0.003446,-8388608,-8388608,15:22:55.020350
0.007548,98,-59,0.00774,-8388608,-8388608,0.008168,-8388608,-8388608,0.00618,-8388608,-8388608,0.006239,-8388608,-8388608,15:22:55.020350
0.010793,-23,-46,0.010985,-8388608,-8388608,0.011405,-8388608,-8388608,0.011834,-8388608,-8388608,0.011902,-8388608,-8388608,15:22:55.020350
0.014098,-23,26,0.014249,-8388608,-8388608,0.014724,-8388608,-8388608,0.014663,-8388608,-8388608,0.014782,-8388608,-8388608,15:22:55.020350
0.017348,-621,219,0.017534,-8388608,-8388608,0.01796,-8388608,-8388608,0.017474,-8388608,-8388608,0.017593,-8388608,-8388608,15:22:55.020350
0.020596,-550,191,0.020773,-8388608,-8388608,0.021194,-8388608,-8388608,0.020282,-8388608,-8388608,0.020421,-8388608,-8388608,15:22:55.021426
0.023854,18,272,0.024019,-8388608,-8388608,0.024447,-8388608,-8388608,0.023115,-8388608,-8388608,0.02321,-8388608,-8388608,15:22:55.021426
0.027103,-626,273,0.027256,-8388608,-8388608,0.027686,-8388608,-8388608,0.025924,-8388608,-8388608,0.025997,-8388608,-8388608,15:22:55.021426
0.030373,-377,-108,0.030547,-8388608,-8388608,0.030924,-8388608,-8388608,0.031675,-8388608,-8388608,0.031599,-8388608,-8388608,15:22:55.021426
0.033631,-377,128,0.033803,-8388608,-8388608,0.034175,-8388608,-8388608,0.034489,-8388608,-8388608,0.034403,-8388608,-8388608,15:22:55.021426
