===BEGIN_METADATA===
Test Name: 2026-02-27_131333_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: [60 75 100 115]mm,[10 35 70]N,DAQ: D,SN: 004
Test Type: Demo
Number of ICB-Sensors: 5,"Sensor Label(s): A,B,C,D,E"
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_90SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-23T16:59:05.038064,kA1: 365360.95078391687,dA1: 0.0128828073827476,cA1: -1090307.8216757427,kA2: 358441.4333257384,dA2: 0.0531505602691383,cA2: -373949.500513379
ICB-Sensor B's Latest Calibration: N/A,kB1: 1.0,dB1: 1.0,cB1: 1.0,kB2: 1.0,dB2: 1.0,cB2: 1.0
ICB-Sensor C's Latest Calibration: N/A,kC1: 1.0,dC1: 1.0,cC1: 1.0,kC2: 1.0,dC2: 1.0,cC2: 1.0
ICB-Sensor D's Latest Calibration: 2026-02-26T19:52:46.820957,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-02-25T11:40:41.082814,kE1: 397740.6539569001,dE1: 0.0046169981576173,cE1: 2191.9408407040173,kE2: 411006.8683390209,dE2: 0.0470975004988669,cE2: 1155.1361645444997
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.001122,-8388608,-8388608,0.001327,-8388608,-8388608,0.001757,-8388608,-8388608,0.000565,-0386860,+0630848,0.000623,+0861895,+0297170,13:13:37.548917
0.004369,-8388608,-8388608,0.004564,-8388608,-8388608,0.005051,-8388608,-8388608,0.003375,-0387038,+0630755,0.003493,+0861562,+0296948,13:13:37.582561
0.007643,-8388608,-8388608,0.007858,-8388608,-8388608,0.008288,-8388608,-8388608,0.006181,-0386951,+0630652,0.006298,+0861280,+0297115,13:13:37.582561
0.010888,-8388608,-8388608,0.011101,-8388608,-8388608,0.011525,-8388608,-8388608,0.011798,-0386793,+0630705,0.011893,+0861707,+0297086,13:13:37.582561
0.014217,-8388608,-8388608,0.014347,-8388608,-8388608,0.014793,-8388608,-8388608,0.014636,-0386793,+0630778,0.014694,+0861707,+0297068,13:13:37.582561
0.017560,-8388608,-8388608,0.017619,-8388608,-8388608,0.018030,-8388608,-8388608,0.017443,-0386938,+0630816,0.017501,+0862077,+0297043,13:13:37.582561
0.020808,-8388608,-8388608,0.020892,-8388608,-8388608,0.021277,-8388608,-8388608,0.020253,-0387081,+0630757,0.020318,+0861651,+0297138,13:13:37.582561
0.024092,-8388608,-8388608,0.024150,-8388608,-8388608,0.024590,-8388608,-8388608,0.023067,-0386843,+0630741,0.023125,+0861746,+0297114,13:13:37.582561
0.027424,-8388608,-8388608,0.027482,-8388608,-8388608,0.027824,-8388608,-8388608,0.025876,-0386879,+0630430,0.025941,+0861531,+0297317,13:13:37.582561
0.030669,-8388608,-8388608,0.030758,-8388608,-8388608,0.031064,-8388608,-8388608,0.031516,-0386826,+0630790,0.031585,+0861807,+0297133,13:13:37.582561
0.033958,-8388608,-8388608,0.034026,-8388608,-8388608,0.034302,-8388608,-8388608,0.034362,-0386782,+0630872,0.034420,+0861913,+0297068,13:13:37.582561
0.037286,-8388608,-8388608,0.037345,-8388608,-8388608,0.037538,-8388608,-8388608,0.037167,-0386891,+0630761,0.037227,+0861587,+0297038,13:13:37.582561
0.040531,-8388608,-8388608,0.040612,-8388608,-8388608,0.040773,-8388608,-8388608,0.039976,-0386879,+0630632,0.040035,+0861323,+0296988,13:13:37.582561
0.043801,-8388608,-8388608,0.043860,-8388608,-8388608,0.044010,-8388608,-8388608,0.042785,-0386879,+0630659,0.042844,+0861323,+0297158,13:13:37.582561
0.047116,-8388608,-8388608,0.047175,-8388608,-8388608,0.047325,-8388608,-8388608,0.045592,-0386974,+0630801,0.045651,+0861960,+0297017,13:13:37.582561
0.050361,-8388608,-8388608,0.050430,-8388608,-8388608,0.050562,-8388608,-8388608,0.051210,-0386746,+0630916,0.051270,+0861963,+0296951,13:13:37.582561
0.053617,-8388608,-8388608,0.053675,-8388608,-8388608,0.053798,-8388608,-8388608,0.054018,-0386648,+0630715,0.054077,+0861653,+0297156,13:13:37.582561
