===BEGIN_METADATA===
Test Name: 2026-02-28_180222_01,yyyy-mm-dd_hhmmss_{probe_num}
Note:
Test Type: Calibration
Loads (N): 10 35 65,Positions (mm): 60 75 95
Number of ICB-Sensors: 1,Sensor Label(s): A,Sensor Serial#(s): 001
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-23T16:59:05.038064,kA1: 365360.95078391687,dA1: 0.0128828073827476,cA1: -1090307.8216757427,kA2: 358441.4333257384,dA2: 0.0531505602691383,cA2: -373949.500513379
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.010809,50348,639549,0.011027,-8388608,-8388608,0.01124,-8388608,-8388608,0.00907,-385210,631099,0.009128,856998,297923,18:02:25.629204
0.014083,50494,639783,0.014282,-8388608,-8388608,0.014485,-8388608,-8388608,0.011878,-385352,631044,0.011953,856739,297810,18:02:25.661997
0.017332,50228,639630,0.01752,-8388608,-8388608,0.017722,-8388608,-8388608,0.017579,-385158,631039,0.017638,856952,298033,18:02:25.661997
0.020576,50278,639458,0.020757,-8388608,-8388608,0.020957,-8388608,-8388608,0.020415,-385280,631164,0.020473,856845,297924,18:02:25.661997
0.023827,50290,639581,0.023994,-8388608,-8388608,0.024196,-8388608,-8388608,0.023236,-385280,630965,0.023295,856845,297965,18:02:25.661997
0.027071,50174,639726,0.02723,-8388608,-8388608,0.027431,-8388608,-8388608,0.026044,-385462,630938,0.026102,857059,298020,18:02:25.661997
0.030427,50295,639652,0.030486,-8388608,-8388608,0.030666,-8388608,-8388608,0.028907,-385297,631124,0.028965,856877,297647,18:02:25.661997
0.033673,50134,639585,0.033732,-8388608,-8388608,0.033902,-8388608,-8388608,0.031714,-385257,631092,0.03178,857085,298171,18:02:25.661997
0.036919,50316,639516,0.036977,-8388608,-8388608,0.037137,-8388608,-8388608,0.03453,-385438,631144,0.034588,857179,297999,18:02:25.661997
0.04026,50341,639558,0.040319,-8388608,-8388608,0.040476,-8388608,-8388608,0.040144,-385271,631048,0.040202,856952,297741,18:02:25.661997
0.043508,50243,639776,0.043566,-8388608,-8388608,0.04371,-8388608,-8388608,0.042954,-385123,631023,0.043015,857030,297867,18:02:25.661997
0.046752,50549,639672,0.046812,-8388608,-8388608,0.046946,-8388608,-8388608,0.045763,-385362,631296,0.045821,856702,297752,18:02:25.661997
0.049996,50315,639490,0.050115,-8388608,-8388608,0.050233,-8388608,-8388608,0.04868,-385363,631138,0.048623,857043,297766,18:02:25.661997
0.05326,50298,639684,0.053354,-8388608,-8388608,0.053471,-8388608,-8388608,0.051579,-385495,631050,0.051452,857110,297894,18:02:25.695361
