===BEGIN_METADATA===
Test Name: 2026-02-28_183040_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: [60 75 95]mm,[10 35 65]N,DAQ: B,SN: 002
Test Type: Demo
Number of ICB-Sensors: 5,"Sensor Label(s): A,B,C,D,E"
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-28T18:14:36.895065,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
ICB-Sensor B's Latest Calibration: N/A,kB1: 1.0,dB1: 1.0,cB1: 1.0,kB2: 1.0,dB2: 1.0,cB2: 1.0
ICB-Sensor C's Latest Calibration: N/A,kC1: 1.0,dC1: 1.0,cC1: 1.0,kC2: 1.0,dC2: 1.0,cC2: 1.0
ICB-Sensor D's Latest Calibration: 2026-02-26T19:52:46.820957,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-02-25T11:40:41.082814,kE1: 397740.6539569001,dE1: 0.0046169981576173,cE1: 2191.9408407040173,kE2: 411006.8683390209,dE2: 0.0470975004988669,cE2: 1155.1361645444997
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.007381,+0046708,+0638496,0.007691,+0245953,+0629133,0.008126,-8388608,-8388608,0.008979,-0389079,+0630855,0.009038,+0863488,+0300111,18:30:43.750406
0.010720,+0046708,+0638539,0.010930,+0245953,+0629391,0.011367,-8388608,-8388608,0.011810,-0389000,+0631039,0.011902,+0863597,+0300259,18:30:43.817155
0.013981,+0046847,+0638662,0.014171,+0245662,+0629254,0.014617,-8388608,-8388608,0.014677,-0389176,+0631276,0.014736,+0863369,+0300508,18:30:43.817155
0.017249,+0046558,+0638457,0.017408,+0245899,+0629222,0.017854,-8388608,-8388608,0.017484,-0388795,+0631343,0.017542,+0863619,+0300115,18:30:43.817155
0.020495,+0046743,+0638555,0.020668,+0245845,+0629293,0.021092,-8388608,-8388608,0.020335,-0388942,+0631254,0.020418,+0863565,+0300086,18:30:43.817155
0.023742,+0047036,+0638451,0.023907,+0245888,+0629079,0.024330,-8388608,-8388608,0.023168,-0388985,+0630923,0.023227,+0863486,+0300208,18:30:43.817155
0.026986,+0046656,+0638495,0.027144,+0245706,+0629155,0.027565,-8388608,-8388608,0.026006,-0388869,+0631164,0.026065,+0863486,+0300392,18:30:43.817155
0.030358,+0046733,+0638395,0.030417,+0245671,+0629095,0.030802,-8388608,-8388608,0.028822,-0388956,+0631150,0.028880,+0863431,+0300248,18:30:43.817155
0.033603,+0046622,+0638639,0.033662,+0245798,+0629129,0.034036,-8388608,-8388608,0.031644,-0389055,+0631113,0.031704,+0863672,+0300191,18:30:43.817155
0.036848,+0046795,+0638313,0.036906,+0245841,+0629112,0.037374,-8388608,-8388608,0.037256,-0389078,+0631099,0.037315,+0863474,+0300314,18:30:43.817155
0.040182,+0046840,+0638338,0.040241,+0245846,+0629223,0.040611,-8388608,-8388608,0.040063,-0388899,+0631108,0.040123,+0863425,+0300548,18:30:43.817155
0.043427,+0046627,+0638606,0.043486,+0245870,+0629143,0.043850,-8388608,-8388608,0.042874,-0389063,+0630950,0.042932,+0863707,+0300481,18:30:43.817155
0.046671,+0046824,+0638660,0.046730,+0245879,+0629170,0.047201,-8388608,-8388608,0.045679,-0388969,+0630902,0.045737,+0863618,+0300007,18:30:43.817155
0.050005,+0046792,+0638563,0.050064,+0245971,+0629290,0.050437,-8388608,-8388608,0.051295,-0388826,+0631181,0.051363,+0863391,+0300112,18:30:43.817155
0.053251,+0046840,+0638569,0.053311,+0245886,+0629167,0.053680,-8388608,-8388608,0.054112,-0388737,+0631095,0.054170,+0863370,+0300281,18:30:43.817155
0.056497,+0046952,+0638462,0.056555,+0245761,+0629373,0.056917,-8388608,-8388608,0.057035,-0389023,+0630943,0.056975,+0863702,+0300040,18:30:43.817155
0.059741,+0046781,+0638670,0.059860,+0245737,+0629216,0.060154,-8388608,-8388608,0.059920,-0389057,+0630829,0.059801,+0863403,+0300249,18:30:43.817155
0.063010,+0046781,+0638392,0.063101,+0245737,+0629581,0.063391,-8388608,-8388608,0.062732,-0389057,+0630935,0.062593,+0863403,+0300165,18:30:43.817155
0.066255,+0046843,+0638564,0.066337,+0245777,+0629281,0.066643,-8388608,-8388608,0.065538,-0388771,+0630974,0.065384,+0863702,+0300293,18:30:43.817155
0.069501,+0046719,+0638523,0.069574,+0246081,+0629206,0.069879,-8388608,-8388608,0.071184,-0389125,+0630988,0.071028,+0863487,+0300021,18:30:43.817155
0.072748,+0046719,+0638628,0.072862,+0246081,+0629151,0.073117,-8388608,-8388608,0.073994,-0389167,+0631152,0.073839,+0863686,+0300296,18:30:43.817155
0.075994,+0046703,+0638573,0.076099,+0246005,+0629259,0.076354,-8388608,-8388608,0.076800,-0389240,+0630923,0.076630,+0863585,+0300194,18:30:43.850630
0.079249,+0046860,+0638461,0.079338,+0245844,+0629280,0.079589,-8388608,-8388608,0.079647,-0389137,+0631061,0.079423,+0863617,+0300179,18:30:43.850630
0.082645,+0046719,+0638445,0.082581,+0245760,+0629152,0.082827,-8388608,-8388608,0.082484,-0389219,+0630977,0.082299,+0863213,+0300151,18:30:43.850630
0.085894,+0046788,+0638321,0.085823,+0245940,+0629256,0.086078,-8388608,-8388608,0.085298,-0389297,+0631036,0.085197,+0863213,+0300073,18:30:43.850630
0.089138,+0046669,+0638548,0.089060,+0245776,+0629156,0.089313,-8388608,-8388608,0.088105,-0388774,+0631131,0.087983,+0863621,+0300151,18:30:43.850630
0.092426,+0046698,+0638556,0.092307,+0245875,+0629072,0.092588,-8388608,-8388608,0.090911,-0388974,+0631065,0.090820,+0863719,+0300176,18:30:43.850630
0.095671,+0046762,+0638538,0.095545,+0245895,+0629255,0.095822,-8388608,-8388608,0.093771,-0388877,+0630924,0.093612,+0863687,+0300304,18:30:43.850630
0.098916,+0046792,+0638692,0.098782,+0245878,+0629130,0.099057,-8388608,-8388608,0.096578,-0388930,+0631234,0.096398,+0863720,+0300253,18:30:43.850630
0.102162,+0046763,+0638619,0.102059,+0245916,+0628990,0.102292,-8388608,-8388608,0.102222,-0388937,+0631035,0.101995,+0863386,+0300261,18:30:43.850630
0.105409,+0046791,+0638591,0.105303,+0245832,+0629212,0.105527,-8388608,-8388608,0.105029,-0389176,+0630845,0.104787,+0863468,+0300065,18:30:43.850630
0.108656,+0046794,+0638573,0.108540,+0245817,+0629043,0.108762,-8388608,-8388608,0.107835,-0389089,+0631143,0.107575,+0863287,+0300081,18:30:43.850630
0.111906,+0046695,+0638491,0.111819,+0245747,+0629183,0.112039,-8388608,-8388608,0.110642,-0389030,+0630860,0.110363,+0863602,+0300243,18:30:43.850630
0.115180,+0046858,+0638683,0.115058,+0245819,+0629280,0.115273,-8388608,-8388608,0.113500,-0389243,+0630787,0.113154,+0863635,+0300168,18:30:43.850630
0.118425,+0046866,+0638620,0.118298,+0245839,+0629401,0.118508,-8388608,-8388608,0.116305,-0389027,+0631012,0.115942,+0863642,+0300089,18:30:43.850630
0.121670,+0046783,+0638551,0.121581,+0246099,+0629213,0.121801,-8388608,-8388608,0.119111,-0389064,+0630989,0.121518,+0863494,+0300486,18:30:43.850630
0.124914,+0046839,+0638625,0.124817,+0245807,+0629098,0.125036,-8388608,-8388608,0.124754,-0388801,+0631174,0.124309,+0863607,+0300063,18:30:43.850630
0.128159,+0046783,+0638799,0.128056,+0245785,+0629278,0.128271,-8388608,-8388608,0.127561,-0388920,+0631223,0.127097,+0863517,+0300100,18:30:43.850630
0.131412,+0046761,+0638742,0.131348,+0245928,+0629168,0.131561,-8388608,-8388608,0.130369,-0389065,+0630998,0.129884,+0863521,+0300299,18:30:43.917300
0.134712,+0046808,+0638543,0.134593,+0245715,+0629050,0.134806,-8388608,-8388608,0.133247,-0388975,+0631014,0.132687,+0863437,+0300290,18:30:43.917300
0.137956,+0046759,+0638329,0.137830,+0245753,+0629289,0.138041,-8388608,-8388608,0.136057,-0388877,+0631089,0.135507,+0863421,+0300214,18:30:43.917300
0.141203,+0046675,+0638655,0.141073,+0245712,+0629383,0.141278,-8388608,-8388608,0.141674,-0388885,+0630952,0.141140,+0863500,+0300304,18:30:43.917300
