===BEGIN_METADATA===
Test Name: 2026-02-28_191839_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: [60 75 100 115]mm,[10 30 60]N,DAQ: B,SN: 002
Test Type: Demo
Number of ICB-Sensors: 5,"Sensor Label(s): A,B,C,D,E"
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-28T18:14:36.895065,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
ICB-Sensor B's Latest Calibration: 2026-02-28T19:18:25.552308,kB1: 285806.85492483515,dB1: 0.0038186954053924,cB1: 1779.0295562932731,kB2: 278780.10405734595,dB2: 0.0456960408628126,cB2: 910.3072104970925
ICB-Sensor C's Latest Calibration: N/A,kC1: 1.0,dC1: 1.0,cC1: 1.0,kC2: 1.0,dC2: 1.0,cC2: 1.0
ICB-Sensor D's Latest Calibration: 2026-02-26T19:52:46.820957,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-02-25T11:40:41.082814,kE1: 397740.6539569001,dE1: 0.0046169981576173,cE1: 2191.9408407040173,kE2: 411006.8683390209,dE2: 0.0470975004988669,cE2: 1155.1361645444997
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.010917,+0046068,+0638078,0.011088,+0251840,+0628157,0.011495,-8388608,-8388608,0.011999,-0386488,+0634052,0.011911,+0865517,+0301957,19:18:44.279487
0.014183,+0046168,+0638003,0.014326,+0251962,+0627890,0.014778,-8388608,-8388608,0.014837,-0386664,+0633881,0.014719,+0865832,+0301735,19:18:44.378494
0.017466,+0046248,+0638037,0.017584,+0251896,+0628222,0.018013,-8388608,-8388608,0.017643,-0386639,+0633789,0.017526,+0865949,+0302018,19:18:44.378494
0.020728,+0046065,+0638038,0.020822,+0251957,+0628014,0.021248,-8388608,-8388608,0.020450,-0386836,+0633649,0.020312,+0865732,+0301844,19:18:44.378494
0.023979,+0046361,+0637807,0.024068,+0251923,+0628342,0.024491,-8388608,-8388608,0.023256,-0386713,+0633923,0.023098,+0865548,+0301966,19:18:44.378494
0.027226,+0046214,+0638393,0.027305,+0252000,+0628286,0.027742,-8388608,-8388608,0.026066,-0386672,+0633957,0.025943,+0865862,+0301599,19:18:44.378494
0.030472,+0046153,+0638420,0.030584,+0251829,+0627918,0.030977,-8388608,-8388608,0.028908,-0386686,+0633699,0.028756,+0865675,+0301678,19:18:44.378494
0.033718,+0046018,+0638103,0.033822,+0251938,+0627908,0.034221,-8388608,-8388608,0.031712,-0386665,+0633858,0.031544,+0865860,+0302092,19:18:44.378494
0.036965,+0046282,+0638203,0.037059,+0251739,+0627826,0.037456,-8388608,-8388608,0.037327,-0386614,+0633809,0.037123,+0865589,+0301573,19:18:44.378494
0.040210,+0046243,+0638323,0.040296,+0251746,+0627974,0.040691,-8388608,-8388608,0.040139,-0386607,+0633770,0.039911,+0865532,+0301683,19:18:44.378494
0.043454,+0046200,+0638063,0.043532,+0251797,+0628214,0.043926,-8388608,-8388608,0.042947,-0386586,+0633906,0.042701,+0865795,+0301984,19:18:44.378494
