===BEGIN_METADATA===
Test Name: 2026-03-01_131221_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: First data
Test Type: Lab Medium
Number of ICB-Sensors: 5,Sensor Label(s): A B C D E
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-28T18:14:36.895065,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
ICB-Sensor B's Latest Calibration: 2026-02-28T19:18:25.552308,kB1: 285806.85492483515,dB1: 0.0038186954053924,cB1: 1779.0295562932731,kB2: 278780.10405734595,dB2: 0.0456960408628126,cB2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-28T20:33:55.494496,kC1: 400137.07123195945,dC1: 0.0045411310920291,cC1: 1788.4192282378208,kC2: 401512.5673837119,dC2: 0.0455171988670882,cC2: 942.1566234510974
ICB-Sensor D's Latest Calibration: 2026-02-26T19:52:46.820957,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-02-25T11:40:41.082814,kE1: 397740.6539569001,dE1: 0.0046169981576173,cE1: 2191.9408407040173,kE2: 411006.8683390209,dE2: 0.0470975004988669,cE2: 1155.1361645444997
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.000885,+0032925,+0626641,0.001118,+0071893,+0618692,0.001553,+0388675,-0142995,0.000530,-0542471,-8388608,0.000599,-8388608,-8388608,13:12:25.297807
0.004132,+0032956,+0626723,0.004356,+0071704,+0618946,0.004864,+0388664,-0142962,0.003341,-0542345,-8388608,0.003401,-8388608,-8388608,13:12:25.331265
0.007377,+0032828,+0626637,0.007669,+0071442,+0618750,0.008098,+0388934,-0142901,0.006148,-0542678,-8388608,0.006206,-8388608,-8388608,13:12:25.331265
0.010697,+0032646,+0626705,0.010912,+0071481,+0618858,0.011344,+0388748,-0143007,0.011776,-0543116,-8388608,0.011856,-8388608,-8388608,13:12:25.331265
0.013984,+0032646,+0626718,0.014174,+0071481,+0618757,0.014721,+0388652,-0142989,0.014602,-0542395,-8388608,0.014661,-8388608,-8388608,13:12:25.331265
0.017230,+0032722,+0626702,0.017471,+0071667,+0618670,0.017956,+0388734,-0142829,0.017411,-0542279,-8388608,0.017530,-8388608,-8388608,13:12:25.331265
0.020498,+0032978,+0626540,0.020709,+0071654,+0618964,0.021193,+0388602,-0142856,0.020220,-0542999,-8388608,0.020329,-8388608,-8388608,13:12:25.331265
0.023745,+0032734,+0626570,0.023949,+0071702,+0618834,0.024488,+0388758,-0143077,0.023027,-0542576,-8388608,0.023118,-8388608,-8388608,13:12:25.331265
0.026990,+0032766,+0626667,0.027187,+0071545,+0618624,0.027724,+0388863,-0142883,0.025832,-0542945,-8388608,0.025940,-8388608,-8388608,13:12:25.331265
0.030237,+0032830,+0626495,0.030427,+0071584,+0618754,0.030964,+0388680,-0143104,0.031480,-0542719,-8388608,0.031541,-8388608,-8388608,13:12:25.331265
0.033481,+0032858,+0626605,0.033664,+0071493,+0618713,0.034206,+0388575,-0143001,0.034290,-0551681,-8388608,0.034350,-8388608,-8388608,13:12:25.331265
0.036725,+0032996,+0626572,0.036900,+0071719,+0618766,0.037440,+0388623,-0142889,0.037096,-0544534,-8388608,0.037155,-8388608,-8388608,13:12:25.331265
0.040023,+0032906,+0626607,0.040235,+0071554,+0618842,0.040677,+0388831,-0142810,0.039904,-0543299,-8388608,0.039964,-8388608,-8388608,13:12:25.331265
0.043270,+0032906,+0626909,0.043473,+0071602,+0618764,0.043918,+0388808,-0142887,0.042711,-0543299,-8388608,0.042770,-8388608,-8388608,13:12:25.331265
0.046514,+0032591,+0626635,0.046712,+0071840,+0618671,0.047252,+0388857,-0142957,0.045518,-0542965,-8388608,0.045576,-8388608,-8388608,13:12:25.331265
0.049846,+0032903,+0626730,0.050060,+0071760,+0618852,0.050489,+0388623,-0143039,0.051131,-0542931,-8388608,0.051192,-8388608,-8388608,13:12:25.364482
0.053092,+0032903,+0626680,0.053299,+0071582,+0618889,0.053728,+0388708,-0142939,0.053939,-0552769,-8388608,0.053998,-8388608,-8388608,13:12:25.364482
0.056338,+0032730,+0626916,0.056538,+0071523,+0618715,0.057075,+0388684,-0142882,0.056744,-0544740,-8388608,0.056802,-8388608,-8388608,13:12:25.364482
0.059703,+0032649,+0626717,0.059884,+0071503,+0618739,0.060309,+0388843,-0142769,0.059555,-0551809,-8388608,0.059641,-8388608,-8388608,13:12:25.364482
0.062967,+0032649,+0626625,0.063131,+0071503,+0618866,0.063606,+0388843,-0142931,0.062417,-0551809,-8388608,0.062483,-8388608,-8388608,13:12:25.364482
0.066214,+0032762,+0626667,0.066368,+0071711,+0618975,0.066841,+0388886,-0142945,0.065339,-0543371,-8388608,0.065281,-8388608,-8388608,13:12:25.364482
0.069460,+0032950,+0626654,0.069636,+0071779,+0618640,0.070077,+0388605,-0142927,0.070982,-0542638,-8388608,0.070916,-8388608,-8388608,13:12:25.364482
0.072706,+0032950,+0626592,0.072877,+0071779,+0618909,0.073316,+0388672,-0142899,0.073789,-0551678,-8388608,0.073712,-8388608,-8388608,13:12:25.364482
0.075954,+0032698,+0626619,0.076113,+0071723,+0618938,0.076561,+0388755,-0142757,0.076620,-0544323,-8388608,0.076501,-8388608,-8388608,13:12:25.364482
0.079200,+0032779,+0626625,0.079349,+0071642,+0618727,0.079798,+0388770,-0142921,0.079427,-0553247,-8388608,0.079290,-8388608,-8388608,13:12:25.364482
