===BEGIN_METADATA===
Test Name: 2026-03-01_140040_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: First data
Test Type: Lab Medium
Number of ICB-Sensors: 5,Sensor Label(s): A B C D E,Sensor SNs: 001 002 003 004 005
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-28T18:14:36.895065,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
ICB-Sensor B's Latest Calibration: 2026-02-28T19:18:25.552308,kB1: 285806.85492483515,dB1: 0.0038186954053924,cB1: 1779.0295562932731,kB2: 278780.10405734595,dB2: 0.0456960408628126,cB2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-28T20:33:55.494496,kC1: 400137.07123195945,dC1: 0.0045411310920291,cC1: 1788.4192282378208,kC2: 401512.5673837119,dC2: 0.0455171988670882,cC2: 942.1566234510974
ICB-Sensor D's Latest Calibration: 2026-02-26T19:52:46.820957,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-02-25T11:40:41.082814,kE1: 397740.6539569001,dE1: 0.0046169981576173,cE1: 2191.9408407040173,kE2: 411006.8683390209,dE2: 0.0470975004988669,cE2: 1155.1361645444997
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
45.000577,+0042907,+0635060,45.002385,+0087427,+0629246,45.002445,+0395705,-0128534,45.002572,-0387825,+0634314,45.002326,+0862382,-1750824,14:01:28.765687
45.003889,+0043099,+0635146,45.005658,+0087721,+0629499,45.005716,+0398193,-0128503,45.005383,-0386804,+0634458,45.005118,+0861929,-1751024,14:01:28.765687
45.007134,+0042895,+0634956,45.008895,+0087745,+0629317,45.008953,+0398165,-0128643,45.008188,-0386693,+0634233,45.007907,+0862176,-1750799,14:01:28.765687
45.010379,+0043057,+0634936,45.012146,+0087690,+0629214,45.012205,+0398127,-0128610,45.011000,-0386783,+0634068,45.010695,+0862165,-1750990,14:01:28.765687
45.013624,+0043050,+0634981,45.015384,+0087760,+0629284,45.015502,+0398238,-0128679,45.013823,-0386831,+0634249,45.013481,+0862359,-1750968,14:01:28.765687
45.016908,+0043044,+0634964,45.018621,+0087779,+0629441,45.018738,+0397975,-0128625,45.016630,-0386804,+0634173,45.016278,+0862153,-1751070,14:01:28.765687
45.020153,+0043043,+0635078,45.021908,+0087697,+0629204,45.021973,+0398076,-0128712,45.019435,-0386820,+0634258,45.021850,+0862289,-1751115,14:01:28.765687
45.023397,+0043025,+0635108,45.025147,+0087721,+0629161,45.025208,+0397963,-0128617,45.025088,-0387157,+0634274,45.024638,+0862064,-1750892,14:01:28.765687
45.026652,+0043133,+0635019,45.028383,+0087774,+0629314,45.028445,+0397951,-0128715,45.027894,-0387093,+0634363,45.027429,+0862353,-1750967,14:01:28.765687
45.029896,+0043062,+0635192,45.031671,+0087728,+0629619,45.031730,+0398176,-0128750,45.030699,-0387137,+0634249,45.030218,+0862220,-1750933,14:01:28.765687
45.033144,+0043073,+0635232,45.034967,+0087628,+0629396,45.035026,+0398109,-0128748,45.033505,-0386997,+0634273,45.033005,+0862052,-1750764,14:01:28.765687
45.036388,+0042985,+0635231,45.038203,+0087721,+0629344,45.038261,+0398074,-0128725,45.036311,-0386871,+0634176,45.035800,+0862363,-1750909,14:01:28.765687
