===BEGIN_METADATA===
Test Name: 2026-03-01_140806_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: First data
Test Type: Lab Medium. 3mph
Number of ICB-Sensors: 5,Sensor Label(s): A B C D E
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-28T18:14:36.895065,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
ICB-Sensor B's Latest Calibration: 2026-02-28T19:18:25.552308,kB1: 285806.85492483515,dB1: 0.0038186954053924,cB1: 1779.0295562932731,kB2: 278780.10405734595,dB2: 0.0456960408628126,cB2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-28T20:33:55.494496,kC1: 400137.07123195945,dC1: 0.0045411310920291,cC1: 1788.4192282378208,kC2: 401512.5673837119,dC2: 0.0455171988670882,cC2: 942.1566234510974
ICB-Sensor D's Latest Calibration: 2026-02-26T19:52:46.820957,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-02-25T11:40:41.082814,kE1: 397740.6539569001,dE1: 0.0046169981576173,cE1: 2191.9408407040173,kE2: 411006.8683390209,dE2: 0.0470975004988669,cE2: 1155.1361645444997
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.010811,+0040457,+0633625,0.011013,+0085746,+0628098,0.011231,+0390752,-0128564,0.011875,-0391697,+0632721,0.011934,+0858968,-1728438,14:08:08.433963
0.014081,+0040443,+0633708,0.014254,+0085784,+0628018,0.014472,+0391095,-0129216,0.014717,-0391768,+0632319,0.014777,+0858955,-1728141,14:08:08.500461
0.017358,+0040398,+0633565,0.017497,+0085607,+0628190,0.017710,+0391071,-0129319,0.017560,-0391688,+0632440,0.017620,+0858577,-1728078,14:08:08.500461
0.020709,+0040483,+0633592,0.020768,+0085725,+0628014,0.020953,+0392298,-0129702,0.020373,-0390850,+0632133,0.020441,+0859096,-1728352,14:08:08.500461
0.023961,+0040520,+0633623,0.024031,+0085545,+0628270,0.024198,+0391526,-0129312,0.023198,-0391352,+0632626,0.023283,+0858953,-1728298,14:08:08.500461
0.027217,+0040531,+0633823,0.027277,+0085613,+0628047,0.027492,+0393023,-0129307,0.026033,-0391335,+0632586,0.026092,+0858986,-1728163,14:08:08.500461
0.030582,+0040865,+0633672,0.030519,+0085330,+0627923,0.030728,+0392123,-0128758,0.028838,-0391566,+0632753,0.029018,+0858912,-1728396,14:08:08.500461
0.033862,+0041012,+0633862,0.033764,+0085405,+0627879,0.033965,+0391712,-0129792,0.034474,-0391097,+0632374,0.034597,+0859085,-1728161,14:08:08.500461
0.037119,+0040982,+0633886,0.037047,+0085717,+0627616,0.037207,+0395342,-0130782,0.037298,-0389414,+0632452,0.037386,+0859231,-1728259,14:08:08.500461
0.040462,+0041314,+0633823,0.040283,+0085745,+0627674,0.040524,+0395754,-0130969,0.040126,-0389006,+0632381,0.040184,+0859239,-1728209,14:08:08.500461
0.043714,+0041155,+0633918,0.043520,+0085869,+0627589,0.043774,+0395935,-0130777,0.042935,-0389158,+0632610,0.043002,+0859488,-1728035,14:08:08.500461
0.046961,+0041097,+0634044,0.046759,+0085891,+0627635,0.047019,+0396096,-0130685,0.045749,-0389097,+0632502,0.045809,+0859599,-1728002,14:08:08.500461
0.050298,+0041401,+0633918,0.050074,+0085676,+0627579,0.050358,+0396044,-0130718,0.048555,-0389017,+0632379,0.048615,+0859608,-1727912,14:08:08.500461
0.053544,+0041238,+0633885,0.053310,+0085902,+0627785,0.053605,+0396105,-0130844,0.051361,-0389015,+0632596,0.051421,+0859821,-1727887,14:08:08.500461
0.056793,+0041165,+0633752,0.056551,+0085757,+0627773,0.056853,+0395996,-0130783,0.054175,-0389034,+0632513,0.054234,+0859606,-1727812,14:08:08.500461
0.060125,+0041376,+0633819,0.059845,+0086014,+0627800,0.060183,+0395915,-0130840,0.059788,-0389077,+0632339,0.059903,+0859989,-1728066,14:08:08.500461
0.063375,+0041457,+0634033,0.063087,+0085851,+0627726,0.063435,+0395950,-0130864,0.062595,-0389056,+0632534,0.062690,+0859941,-1728091,14:08:08.500461
0.066623,+0041458,+0633929,0.066327,+0085851,+0627673,0.066683,+0395845,-0130773,0.065408,-0389098,+0632285,0.065476,+0859708,-1727901,14:08:08.500461
0.069957,+0041366,+0633860,0.069564,+0085942,+0627647,0.070015,+0395845,-0130835,0.068214,-0389169,+0632391,0.068274,+0859201,-1728075,14:08:08.500461
0.073202,+0041253,+0633911,0.072801,+0085878,+0627924,0.073262,+0395630,-0130862,0.071025,-0389170,+0632416,0.071083,+0859676,-1728020,14:08:08.500461
0.076448,+0041203,+0633814,0.076037,+0085865,+0627617,0.076507,+0395568,-0130844,0.073835,-0389350,+0632197,0.073896,+0859292,-1728112,14:08:08.500461
0.079787,+0041114,+0633746,0.079274,+0085796,+0627771,0.079845,+0395621,-0131221,0.079451,-0389259,+0632217,0.079510,+0859548,-1728254,14:08:08.500461
0.083037,+0040856,+0633876,0.082592,+0085663,+0627682,0.083095,+0395413,-0131191,0.082257,-0389551,+0632093,0.082319,+0859148,-1728205,14:08:08.567189
