===BEGIN_METADATA===
Test Name: 2026-03-01_140952_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: First data
Test Type: Lab Medium. 2mph
Number of ICB-Sensors: 5,Sensor Label(s): A B C D E,Sensor SNs: 001 002 003 004 005
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-28T18:14:36.895065,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
ICB-Sensor B's Latest Calibration: 2026-02-28T19:18:25.552308,kB1: 285806.85492483515,dB1: 0.0038186954053924,cB1: 1779.0295562932731,kB2: 278780.10405734595,dB2: 0.0456960408628126,cB2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-28T20:33:55.494496,kC1: 400137.07123195945,dC1: 0.0045411310920291,cC1: 1788.4192282378208,kC2: 401512.5673837119,dC2: 0.0455171988670882,cC2: 942.1566234510974
ICB-Sensor D's Latest Calibration: 2026-02-26T19:52:46.820957,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-02-25T11:40:41.082814,kE1: 397740.6539569001,dE1: 0.0046169981576173,cE1: 2191.9408407040173,kE2: 411006.8683390209,dE2: 0.0470975004988669,cE2: 1155.1361645444997
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.010710,+0041112,+0633542,0.010922,+0085807,+0627665,0.008115,+0396094,-0131174,0.008972,-0389598,+0631821,0.009030,+0859654,-1721905,14:09:56.443963
0.013977,+0041147,+0633575,0.014189,+0085545,+0627625,0.011351,+0395954,-0131246,0.011778,-0389611,+0631946,0.011844,+0859601,-1721538,14:09:56.477119
0.017228,+0040864,+0633838,0.017529,+0085093,+0627884,0.014722,+0392857,-0130447,0.017411,-0391609,+0632666,0.017471,+0859541,-1721805,14:09:56.477119
0.020554,+0041071,+0633630,0.020766,+0085309,+0627946,0.017958,+0392707,-0129119,0.020218,-0391442,+0632708,0.020276,+0859674,-1721869,14:09:56.477119
0.023827,+0041157,+0633601,0.024005,+0085306,+0627916,0.021197,+0393278,-0129038,0.023039,-0391474,+0632400,0.023098,+0859611,-1721614,14:09:56.477119
0.027075,+0041134,+0633593,0.027242,+0085253,+0627776,0.024566,+0392746,-0129372,0.025851,-0391641,+0632750,0.025909,+0859319,-1721937,14:09:56.477119
0.030389,+0041097,+0633558,0.030511,+0085365,+0627796,0.027804,+0393983,-0129304,0.028826,-0390534,+0632411,0.028696,+0859424,-1721569,14:09:56.477119
0.033644,+0041151,+0633612,0.033757,+0085160,+0627775,0.031052,+0392761,-0129661,0.031641,-0391397,+0632891,0.031494,+0859465,-1721899,14:09:56.477119
0.036889,+0040989,+0633608,0.036996,+0085182,+0627862,0.034300,+0392728,-0129473,0.034448,-0391541,+0632725,0.034364,+0859424,-1721713,14:09:56.477119
0.040155,+0041019,+0633504,0.040251,+0085562,+0627450,0.037540,+0395900,-0130300,0.040096,-0389453,+0631658,0.039968,+0859409,-1721517,14:09:56.477119
0.043410,+0041207,+0633650,0.043491,+0085363,+0627686,0.040777,+0396239,-0130687,0.042910,-0390149,+0631694,0.042792,+0859538,-1721630,14:09:56.477119
0.046656,+0040967,+0633718,0.046730,+0085546,+0627647,0.044024,+0396065,-0131399,0.045719,-0389411,+0631832,0.045580,+0859456,-1721636,14:09:56.477119
