===BEGIN_METADATA===
Test Name: 2026-03-01_141413_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: First data
Test Type: Lab Medium. 0.5mph
Number of ICB-Sensors: 5,Sensor Label(s): A B C D E
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-28T18:14:36.895065,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
ICB-Sensor B's Latest Calibration: 2026-02-28T19:18:25.552308,kB1: 285806.85492483515,dB1: 0.0038186954053924,cB1: 1779.0295562932731,kB2: 278780.10405734595,dB2: 0.0456960408628126,cB2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-28T20:33:55.494496,kC1: 400137.07123195945,dC1: 0.0045411310920291,cC1: 1788.4192282378208,kC2: 401512.5673837119,dC2: 0.0455171988670882,cC2: 942.1566234510974
ICB-Sensor D's Latest Calibration: 2026-02-26T19:52:46.820957,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-02-25T11:40:41.082814,kE1: 397740.6539569001,dE1: 0.0046169981576173,cE1: 2191.9408407040173,kE2: 411006.8683390209,dE2: 0.0470975004988669,cE2: 1155.1361645444997
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.010777,+0041020,+0633512,0.010989,+0084962,+0627064,0.011205,+0396233,-0131298,0.009037,-0389317,+0632082,0.009096,+0859160,-1707379,14:14:22.884167
0.014052,+0040856,+0633347,0.014244,+0084917,+0626779,0.014451,+0396296,-0130966,0.011844,-0389627,+0632330,0.011916,+0859156,-1707226,14:14:22.915405
0.017303,+0040981,+0633256,0.017481,+0084900,+0626921,0.017688,+0396343,-0131113,0.017541,-0389634,+0632162,0.017600,+0859012,-1707198,14:14:22.915405
0.020547,+0040947,+0633362,0.020719,+0084893,+0626941,0.020925,+0396342,-0131293,0.020386,-0389220,+0632414,0.020444,+0859158,-1707275,14:14:22.915405
0.023796,+0040947,+0633490,0.023958,+0084916,+0626998,0.024160,+0396175,-0131036,0.023208,-0389220,+0632231,0.023268,+0859158,-1707229,14:14:22.915405
0.027041,+0041056,+0633396,0.027195,+0085023,+0626771,0.027395,+0396327,-0131229,0.026017,-0389352,+0632444,0.026075,+0859250,-1707045,14:14:22.915405
0.030393,+0041060,+0633433,0.030451,+0084930,+0627073,0.030630,+0396226,-0131266,0.028873,-0389166,+0632212,0.028931,+0859226,-1707306,14:14:22.915405
0.033640,+0040854,+0633364,0.033700,+0084907,+0627109,0.033867,+0396330,-0131120,0.031680,-0389460,+0632144,0.031743,+0859291,-1707463,14:14:22.915405
0.036886,+0040992,+0633349,0.036945,+0085139,+0626936,0.037104,+0396273,-0131358,0.034494,-0389492,+0632474,0.034556,+0859176,-1707334,14:14:22.915405
0.040227,+0040910,+0633331,0.040287,+0085055,+0627035,0.040440,+0396210,-0131158,0.040109,-0389145,+0632225,0.040168,+0859156,-1707459,14:14:22.915405
0.043473,+0040968,+0633545,0.043533,+0084949,+0626821,0.043675,+0396354,-0131036,0.042921,-0389320,+0632351,0.042983,+0859138,-1707360,14:14:22.915405
0.046720,+0040980,+0633561,0.046778,+0084998,+0626918,0.046912,+0396160,-0131271,0.045731,-0389290,+0632408,0.045790,+0859138,-1707225,14:14:22.915405
0.049964,+0040808,+0633483,0.050083,+0085027,+0626902,0.050201,+0396154,-0131304,0.048648,-0389521,+0632181,0.048589,+0859207,-1707565,14:14:22.915405
0.053225,+0040902,+0633557,0.053322,+0085034,+0626787,0.053438,+0396368,-0131205,0.051545,-0389433,+0632508,0.051419,+0859146,-1707264,14:14:22.985796
0.056526,+0040816,+0633317,0.056586,+0084890,+0626860,0.056685,+0396148,-0131015,0.054352,-0389486,+0632244,0.054216,+0859235,-1707256,14:14:22.985796
0.059772,+0041014,+0633340,0.059889,+0085012,+0626889,0.059948,+0396228,-0131145,0.060008,-0389214,+0632027,0.059830,+0859078,-1707085,14:14:22.985796
0.063021,+0040855,+0633546,0.063136,+0085086,+0626965,0.063194,+0396343,-0131229,0.062860,-0389492,+0632245,0.062627,+0859128,-1707479,14:14:22.985796
0.066266,+0041058,+0633455,0.066373,+0085167,+0626794,0.066433,+0396213,-0131265,0.065670,-0389452,+0632213,0.065423,+0859276,-1707425,14:14:22.985796
0.069520,+0041060,+0633537,0.069662,+0084878,+0626917,0.069721,+0396396,-0131201,0.068477,-0389449,+0632222,0.068211,+0859110,-1707430,14:14:22.985796
0.072769,+0040987,+0633283,0.072962,+0084963,+0626868,0.073020,+0396288,-0131169,0.071282,-0389446,+0632326,0.070999,+0859057,-1707342,14:14:22.985796
0.076013,+0041027,+0633559,0.076199,+0084997,+0626924,0.076258,+0396307,-0131277,0.074090,-0389264,+0632489,0.073792,+0859269,-1707536,14:14:22.985796
0.079260,+0040957,+0633361,0.079437,+0084863,+0626713,0.079495,+0396339,-0131245,0.076901,-0389441,+0632455,0.079364,+0859111,-1707366,14:14:22.985796
0.082504,+0040855,+0633455,0.082678,+0084835,+0627011,0.082795,+0396250,-0130947,0.082564,-0389415,+0632217,0.082152,+0859219,-1707201,14:14:22.985796
0.085753,+0041053,+0633457,0.085915,+0085061,+0627110,0.086032,+0396265,-0131309,0.085373,-0389321,+0632292,0.084943,+0859162,-1707375,14:14:22.985796
0.089001,+0041100,+0633330,0.089182,+0084882,+0626763,0.089267,+0396195,-0131146,0.088179,-0389336,+0632236,0.087729,+0859088,-1707418,14:14:22.985796
0.092246,+0040784,+0633167,0.092449,+0084860,+0626924,0.092507,+0396196,-0131127,0.090986,-0389408,+0632294,0.090517,+0859221,-1707420,14:14:22.985796
0.095493,+0040912,+0633513,0.095685,+0085003,+0626980,0.095743,+0396162,-0131144,0.093793,-0389601,+0632408,0.093310,+0859151,-1707348,14:14:22.985796
0.098743,+0040983,+0633451,0.098952,+0084940,+0626909,0.099012,+0396234,-0131236,0.096598,-0389475,+0632251,0.098894,+0859077,-1707339,14:14:22.985796
0.101988,+0040798,+0633453,0.102191,+0084834,+0627149,0.102310,+0396325,-0131409,0.102251,-0389236,+0632299,0.101683,+0859003,-1707292,14:14:23.083058
0.105248,+0041101,+0633426,0.105441,+0084932,+0627118,0.105553,+0396072,-0130548,0.105101,-0389452,+0632639,0.104537,+0859241,-1707361,14:14:23.083058
0.108493,+0040992,+0633356,0.108678,+0084956,+0626908,0.108800,+0396004,-0131146,0.107908,-0389558,+0632162,0.107348,+0859103,-1707221,14:14:23.083058
0.111742,+0040985,+0633314,0.111918,+0085050,+0626899,0.112036,+0396325,-0131064,0.110715,-0389539,+0632378,0.110177,+0859173,-1706966,14:14:23.083058
0.114988,+0040865,+0633398,0.115199,+0085014,+0626843,0.115272,+0396210,-0131246,0.113521,-0389203,+0632386,0.113002,+0859118,-1707145,14:14:23.083058
0.118235,+0040721,+0633605,0.118436,+0084901,+0627102,0.118508,+0396223,-0131113,0.116327,-0389417,+0632290,0.118578,+0859022,-1707153,14:14:23.083058
0.121479,+0041256,+0633608,0.121673,+0084899,+0626932,0.121747,+0396247,-0131272,0.121938,-0389545,+0632427,0.121365,+0858924,-1707133,14:14:23.083058
0.124724,+0041035,+0633501,0.124909,+0084975,+0627009,0.125026,+0396279,-0131222,0.124782,-0389443,+0632355,0.124164,+0858914,-1707197,14:14:23.083058
0.127969,+0040827,+0633344,0.128148,+0084753,+0626911,0.128263,+0396414,-0131160,0.127590,-0389253,+0632263,0.126950,+0859135,-1707104,14:14:23.083058
