
===BEGIN_STALKS===
Stalk,A_Start,A_End,B_Start,B_End,C_Start,C_End,D_Start,D_End,E_Start,E_End
1,50.223,51.259,51.469,52.754,52.846,54.197,54.170,55.403,55.613,56.662
2,51.574,52.452,51.469,53.869,52.846,55.364,55.587,56.544,56.977,57.855
3,52.570,53.528,51.469,55.101,55.456,56.505,56.623,57.646,58.013,58.892
4,,,,,,,,,,
===BEGIN_STALKS===
Stalk,A_Start,A_End,B_Start,B_End,C_Start,C_End,D_Start,D_End,E_Start,E_End
1,50.265,50.875,51.584,52.466,52.913,53.752,54.188,55.104,55.627,56.237
2,51.668,52.142,52.816,53.690,54.164,55.185,55.476,56.424,56.733,57.936
3,,,,,,,,,,
===BEGIN_STALKS===
Stalk,A_Start,A_End,B_Start,B_End,C_Start,C_End,D_Start,D_End,E_Start,E_End
1,50.298,50.919,51.578,52.485,52.945,53.777,54.187,55.082,55.592,56.225
2,51.590,52.137,52.783,53.690,54.336,55.169,55.579,56.374,57.008,57.816
3,52.574,53.108,53.792,54.711,55.394,56.115,56.600,57.420,57.992,58.787
4,,,,,,,,,,
