===BEGIN_METADATA===
Test Name: 2026-03-13_133242_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: [60,75,95]mm [10,35,70]N
Test Type: Calibration
Loads (N): 10 35 70,Positions (mm): 60 75 95
Number of ICB-Sensors: 1,Sensor Label(s): E,Sensor SNs: 005
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-28_181436,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
ICB-Sensor B's Latest Calibration: 2026-02-28_191825,kB1: 285806.85492483515,dB1: 0.0038186954053924,cB1: 1779.0295562932731,kB2: 278780.10405734595,dB2: 0.0456960408628126,cB2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-28_203355,kC1: 400137.07123195945,dC1: 0.0045411310920291,cC1: 1788.4192282378208,kC2: 401512.5673837119,dC2: 0.0455171988670882,cC2: 942.1566234510974
ICB-Sensor D's Latest Calibration: 2026-02-26_195246,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-02-25_114041,kE1: 397740.6539569001,dE1: 0.0046169981576173,cE1: 2191.9408407040173,kE2: 411006.8683390209,dE2: 0.0470975004988669,cE2: 1155.1361645444997
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.00089,31720,593157,0.00113,54741,597669,0.001552,375178,-154125,0.00054,-413700,594789,0.000604,-509,-521,13:32:47.608842
0.004136,31785,592950,0.004368,54537,597575,0.004881,375055,-154371,0.00336,-413919,594952,0.003419,-478,-444,13:32:47.709303
0.00738,31902,593046,0.007689,54566,597568,0.008119,375101,-154094,0.006167,-413905,594694,0.006226,-249,-382,13:32:47.709303
0.010715,31729,593192,0.010932,54610,597614,0.011354,374923,-154248,0.011805,-413916,594829,0.011886,-294,-537,13:32:47.709303
0.013987,31729,592894,0.014184,54610,597595,0.014616,374954,-154176,0.014674,-413887,594763,0.014733,-166,-391,13:32:47.709303
0.017234,31871,593134,0.01742,54594,597559,0.017851,375116,-154376,0.017479,-414021,594842,0.01754,-239,-286,13:32:47.709303
0.020481,31785,593083,0.020659,54640,597779,0.021088,374982,-154208,0.020319,-413802,594775,0.020391,-220,-388,13:32:47.709303
0.023726,31638,593232,0.023895,54629,597726,0.024326,375211,-154185,0.023142,-413816,595040,0.023201,-328,-429,13:32:47.709303
0.026971,31909,593316,0.027132,54626,597663,0.02756,375131,-154240,0.02606,-413941,594926,0.026001,-444,-174,13:32:47.709303
0.030262,31814,593034,0.03038,54611,597409,0.030797,375022,-154311,0.028868,-413893,594801,0.028809,-237,-372,13:32:47.709303
0.033508,31845,593229,0.033617,54494,597722,0.03404,375124,-154164,0.031724,-413745,594798,0.031596,-313,-527,13:32:47.709303
0.036752,31876,593326,0.036856,54523,597602,0.037275,374962,-154223,0.037335,-414000,594832,0.037171,-424,-373,13:32:47.709303
0.04002,31666,593326,0.040095,54616,597597,0.040513,375148,-154094,0.040153,-413930,594834,0.03996,-201,-157,13:32:47.709303
0.043269,31769,593187,0.043333,54677,597693,0.043758,375156,-154164,0.042966,-413945,595078,0.042753,-201,-333,13:32:47.709303
0.046513,31590,593193,0.046572,54757,597672,0.046994,374939,-154151,0.045774,-413962,594862,0.045538,-519,-367,13:32:47.709303
