===BEGIN_METADATA===
Test Name: 2026-03-13_135133_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: [60,75,95]mm [10,35,70]N
Test Type: Calibration Eval
Number of ICB-Sensors: 5,Sensor Label(s): A B C D E,Sensor SNs: 001 002 003 004 005
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-28_181436,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
ICB-Sensor B's Latest Calibration: 2026-02-28_191825,kB1: 285806.85492483515,dB1: 0.0038186954053924,cB1: 1779.0295562932731,kB2: 278780.10405734595,dB2: 0.0456960408628126,cB2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-28_203355,kC1: 400137.07123195945,dC1: 0.0045411310920291,cC1: 1788.4192282378208,kC2: 401512.5673837119,dC2: 0.0455171988670882,cC2: 942.1566234510974
ICB-Sensor D's Latest Calibration: 2026-02-26_195246,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-03-13_134528,kE1: 398510.4590000597,dE1: 0.0051701866415987,cE1: -201.64965113438663,kE2: 410394.7094971476,dE2: 0.0473976078282431,cE2: -366.0193833265803
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.010942,+0037850,+0598449,0.011150,+0054617,+0603366,0.011577,+0379626,-0145977,0.011789,-0407782,+0603520,0.011848,+0834066,+0371838,13:51:38.998513
0.014214,+0037657,+0598395,0.014389,+0054615,+0603569,0.014965,+0379925,-0145894,0.014624,-0407802,+0603759,0.014684,+0834340,+0371773,13:51:39.065120
0.017591,+0037550,+0598737,0.017651,+0054492,+0603696,0.018202,+0379072,-0145607,0.017470,-0408611,+0604638,0.017531,+0834331,+0371543,13:51:39.065120
0.020838,+0036965,+0598673,0.020896,+0054362,+0603546,0.021437,+0378852,-0145544,0.020280,-0409978,+0604607,0.020338,+0834716,+0371598,13:51:39.065120
0.024108,+0037029,+0598717,0.024177,+0054203,+0603588,0.024695,+0378800,-0145589,0.023202,-0409927,+0604480,0.023137,+0834584,+0371602,13:51:39.065120
0.027383,+0037110,+0598573,0.027503,+0054230,+0603699,0.027932,+0378945,-0145580,0.026009,-0409800,+0604568,0.025929,+0834425,+0371645,13:51:39.065120
0.030627,+0037128,+0598493,0.030740,+0054267,+0603241,0.031166,+0379021,-0145807,0.028844,-0409292,+0604352,0.028718,+0834687,+0371660,13:51:39.065120
0.033884,+0037461,+0598682,0.033984,+0054480,+0603444,0.034418,+0379152,-0145702,0.034477,-0409376,+0604356,0.034322,+0834540,+0371744,13:51:39.065120
0.037171,+0037270,+0598449,0.037230,+0054481,+0603357,0.037656,+0379358,-0145767,0.037289,-0408403,+0603744,0.037110,+0834386,+0371669,13:51:39.065120
0.040417,+0037660,+0598404,0.040476,+0054520,+0603497,0.040891,+0379738,-0145791,0.040095,-0407738,+0603585,0.039904,+0834310,+0372056,13:51:39.065120
0.043669,+0037696,+0598437,0.043730,+0054571,+0603349,0.044147,+0379810,-0145786,0.042902,-0407523,+0603730,0.042690,+0834228,+0371691,13:51:39.065120
