===BEGIN_METADATA===
Test Name: 2026-03-15_135048_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: Full new setup. Good calibrations. New stalk base with weights.
Test Type: Lab Medium
"Speed: 25ft/min,Stalk Spacing: 6inNumber of ICB-Sensors: 5",Sensor Label(s): A B C D E,Sensor SNs: 001 002 003 004 005
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-28_181436,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
ICB-Sensor B's Latest Calibration: 2026-02-28_191825,kB1: 285806.85492483515,dB1: 0.0038186954053924,cB1: 1779.0295562932731,kB2: 278780.10405734595,dB2: 0.0456960408628126,cB2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-28_203355,kC1: 400137.07123195945,dC1: 0.0045411310920291,cC1: 1788.4192282378208,kC2: 401512.5673837119,dC2: 0.0455171988670882,cC2: 942.1566234510974
ICB-Sensor D's Latest Calibration: 2026-02-26_195246,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-03-13_134528,kE1: 398510.4590000597,dE1: 0.0051701866415987,cE1: -201.64965113438663,kE2: 410394.7094971476,dE2: 0.0473976078282431,cE2: -366.0193833265803
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.010953,+0040833,+0600435,0.011167,+0092283,+0612986,0.008138,+0377003,-0149150,0.008993,-0409813,+0607317,0.009051,+0853314,+0445893,13:50:52.346466
0.014260,+0040806,+0600496,0.014439,+0092226,+0612895,0.011374,+0376919,-0149104,0.011798,-0409862,+0607123,0.011869,+0853225,+0445810,13:50:52.380835
0.017504,+0040850,+0600629,0.017682,+0092032,+0612963,0.014619,+0377064,-0149076,0.017623,-0409640,+0607295,0.017563,+0853459,+0445827,13:50:52.380835
0.020749,+0040871,+0600554,0.020920,+0092151,+0612977,0.017856,+0377020,-0149105,0.020428,-0409818,+0606977,0.020352,+0853340,+0445974,13:50:52.380835
0.023999,+0040642,+0600599,0.024156,+0092177,+0612882,0.021093,+0377004,-0148989,0.023233,-0409766,+0607217,0.023158,+0853399,+0445821,13:50:52.380835
0.027244,+0040712,+0600654,0.027397,+0092033,+0612944,0.024329,+0377007,-0149091,0.026064,-0409421,+0607129,0.025946,+0853511,+0446032,13:50:52.380835
0.030490,+0040844,+0600958,0.030633,+0092266,+0613064,0.027621,+0377166,-0149035,0.028926,-0409609,+0606952,0.028732,+0853468,+0446085,13:50:52.380835
0.033738,+0040785,+0600607,0.033870,+0092238,+0612865,0.030856,+0377282,-0149209,0.031730,-0409666,+0606854,0.031521,+0853375,+0445821,13:50:52.380835
0.036983,+0040800,+0600658,0.037164,+0092268,+0613033,0.034095,+0377031,-0149136,0.034537,-0409630,+0607129,0.037104,+0853475,+0445993,13:50:52.380835
0.040227,+0040933,+0600709,0.040421,+0092131,+0613088,0.037400,+0377185,-0148971,0.040147,-0409562,+0607156,0.039894,+0853519,+0445994,13:50:52.380835
0.043474,+0040882,+0600595,0.043662,+0092241,+0612961,0.040634,+0377048,-0148984,0.042959,-0409794,+0607040,0.042682,+0853409,+0445876,13:50:52.380835
0.046724,+0040907,+0600672,0.046921,+0092281,+0612924,0.043871,+0377255,-0149038,0.045765,-0409648,+0607093,0.045470,+0853221,+0445997,13:50:52.380835
0.049971,+0040803,+0600669,0.050157,+0092241,+0612903,0.047147,+0377110,-0149257,0.048610,-0409820,+0607222,0.048256,+0853433,+0446050,13:50:52.380835
0.053215,+0040759,+0600588,0.053396,+0092070,+0612960,0.050382,+0377188,-0149111,0.051433,-0409752,+0606974,0.051046,+0853153,+0446044,13:50:52.446498
0.056462,+0040926,+0600648,0.056687,+0092149,+0612990,0.053617,+0377239,-0149110,0.054256,-0409693,+0606915,0.056628,+0853399,+0446097,13:50:52.446498
0.059708,+0040873,+0600610,0.059928,+0092237,+0613143,0.056909,+0377025,-0149123,0.059868,-0409721,+0607210,0.059416,+0853200,+0445879,13:50:52.446498
0.063005,+0040839,+0600762,0.063186,+0092179,+0612972,0.063395,+0377112,-0148902,0.062717,-0409786,+0607217,0.062245,+0853018,+0446156,13:50:52.446498
0.066253,+0040917,+0600715,0.066424,+0092386,+0612929,0.066631,+0376930,-0149226,0.065531,-0409521,+0607143,0.065072,+0853488,+0446136,13:50:52.446498
