===BEGIN_METADATA===
Test Name: 2026-03-15_141626_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: Full new setup. Good calibrations. New stalk base with weights. Top of stalks removed
Test Type: Lab Medium. Halves
"Speed: 25ft/min,Stalk Spacing: 6inNumber of ICB-Sensors: 5",Sensor Label(s): A B C D E,Sensor SNs: 001 002 003 004 005
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-28_181436,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
ICB-Sensor B's Latest Calibration: 2026-02-28_191825,kB1: 285806.85492483515,dB1: 0.0038186954053924,cB1: 1779.0295562932731,kB2: 278780.10405734595,dB2: 0.0456960408628126,cB2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-28_203355,kC1: 400137.07123195945,dC1: 0.0045411310920291,cC1: 1788.4192282378208,kC2: 401512.5673837119,dC2: 0.0455171988670882,cC2: 942.1566234510974
ICB-Sensor D's Latest Calibration: 2026-02-26_195246,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-03-13_134528,kE1: 398510.4590000597,dE1: 0.0051701866415987,cE1: -201.64965113438663,kE2: 410394.7094971476,dE2: 0.0473976078282431,cE2: -366.0193833265803
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.010745,+0040794,+0600483,0.010959,+0076772,+0603430,0.011199,+0377136,-0149113,0.009006,-0409090,+0610147,0.009064,+0849455,+0442429,14:16:33.277041
0.014034,+0040948,+0600699,0.014210,+0076776,+0603568,0.014465,+0377345,-0148936,0.011814,-0409268,+0609846,0.011904,+0848969,+0442344,14:16:33.343594
0.017286,+0040747,+0600505,0.017450,+0076234,+0603820,0.017813,+0376519,-0148605,0.017510,-0411939,+0611079,0.017573,+0842504,+0443260,14:16:33.343594
0.020539,+0040558,+0600463,0.020709,+0076266,+0603645,0.021048,+0376457,-0148499,0.020434,-0411750,+0611149,0.020368,+0842866,+0443200,14:16:33.343594
0.023799,+0040558,+0600706,0.023951,+0076266,+0603742,0.024294,+0376513,-0148549,0.023242,-0411750,+0611070,0.023172,+0842866,+0443188,14:16:33.343594
0.027048,+0040804,+0600593,0.027188,+0076165,+0603841,0.027535,+0376578,-0148333,0.026049,-0411853,+0611501,0.025975,+0842785,+0443443,14:16:33.343594
0.030343,+0040770,+0600508,0.030441,+0076206,+0603558,0.030786,+0376319,-0148871,0.028881,-0410119,+0611299,0.028763,+0846749,+0443331,14:16:33.343594
0.033596,+0040721,+0600482,0.033681,+0076487,+0603789,0.034024,+0376649,-0148529,0.031689,-0412056,+0610254,0.031571,+0842672,+0442483,14:16:33.343594
0.036853,+0040770,+0600716,0.036924,+0076161,+0603846,0.037261,+0376529,-0148564,0.037319,-0412073,+0611271,0.037177,+0842451,+0443266,14:16:33.343594
0.040103,+0040765,+0600638,0.040220,+0076094,+0603941,0.040496,+0376505,-0148381,0.040162,-0412067,+0611255,0.039995,+0842886,+0443344,14:16:33.343594
0.043348,+0040596,+0600600,0.043457,+0076275,+0603832,0.043738,+0376822,-0148718,0.042983,-0411375,+0610390,0.042792,+0843887,+0442845,14:16:33.343594
0.046596,+0040664,+0600545,0.046696,+0076061,+0603481,0.047046,+0376727,-0149183,0.045799,-0411861,+0610456,0.045593,+0849375,+0442927,14:16:33.343594
0.049843,+0040794,+0600471,0.049932,+0076630,+0603628,0.050288,+0377165,-0149037,0.048604,-0409201,+0609980,0.048381,+0849190,+0442555,14:16:33.343594
0.053101,+0040610,+0600401,0.053177,+0077102,+0603632,0.053532,+0377163,-0149427,0.051418,-0409230,+0609579,0.051177,+0849455,+0442487,14:16:33.343594
0.056348,+0040728,+0600530,0.056414,+0076822,+0603609,0.056819,+0377256,-0149216,0.054227,-0409138,+0609754,0.056761,+0849316,+0442460,14:16:33.343594
0.059606,+0040825,+0600526,0.059665,+0076713,+0603531,0.060113,+0377148,-0149157,0.059837,-0409312,+0609885,0.059547,+0849467,+0442330,14:16:33.343594
0.062855,+0040784,+0600568,0.062971,+0076751,+0603469,0.063350,+0377244,-0149359,0.062696,-0409162,+0610049,0.062334,+0849347,+0442614,14:16:33.343594
0.066099,+0040698,+0600560,0.066209,+0077004,+0603320,0.066584,+0377221,-0149276,0.065506,-0409009,+0609797,0.065123,+0849408,+0442446,14:16:33.343594
0.069361,+0040790,+0600654,0.069446,+0076755,+0603470,0.069819,+0377069,-0149239,0.068311,-0408959,+0609950,0.067910,+0849488,+0442336,14:16:33.343594
0.072608,+0040815,+0600614,0.072683,+0076755,+0603392,0.073056,+0377097,-0149110,0.071123,-0409096,+0609904,0.070696,+0849407,+0442398,14:16:33.343594
0.075853,+0040645,+0600551,0.075921,+0076727,+0603564,0.076333,+0377260,-0149372,0.073929,-0408999,+0609821,0.076275,+0849405,+0442284,14:16:33.343594
0.079119,+0040643,+0600452,0.079177,+0076724,+0603415,0.079597,+0377216,-0149295,0.079539,-0409050,+0609883,0.079061,+0849225,+0442397,14:16:33.343594
0.082405,+0040628,+0600632,0.082463,+0076761,+0603394,0.082834,+0377265,-0149360,0.082344,-0409173,+0609814,0.081849,+0849329,+0442418,14:16:33.343594
0.085650,+0040691,+0600616,0.085708,+0076685,+0603545,0.086094,+0377222,-0149349,0.085152,-0409057,+0609845,0.084641,+0849456,+0442312,14:16:33.343594
0.088894,+0040661,+0600630,0.088953,+0077022,+0603318,0.089329,+0377237,-0149289,0.087957,-0408924,+0609877,0.087429,+0849442,+0442435,14:16:33.343594
0.092147,+0040925,+0600554,0.092306,+0076618,+0603624,0.092567,+0377205,-0149419,0.093654,-0409153,+0610181,0.093030,+0849649,+0442752,14:16:33.443670
0.095437,+0040789,+0600668,0.095545,+0076567,+0603759,0.095816,+0376417,-0149093,0.093654,-0410177,+0610181,0.095876,+0846431,+0442803,14:16:33.443670
0.098732,+0040662,+0600427,0.098790,+0076526,+0603580,0.099053,+0376964,-0149035,0.096470,-0410456,+0610464,0.098666,+0846713,+0442722,14:16:33.443670
0.101991,+0040787,+0600616,0.102054,+0076837,+0603626,0.102302,+0376965,-0149157,0.102149,-0409212,+0610234,0.101515,+0849118,+0442535,14:16:33.443670
0.105241,+0040739,+0600586,0.105299,+0076877,+0603364,0.105537,+0377280,-0149277,0.104961,-0409015,+0610025,0.104340,+0849485,+0442583,14:16:33.443670
0.108485,+0040730,+0600546,0.108604,+0076866,+0603523,0.108805,+0377163,-0149342,0.107767,-0409027,+0610120,0.107128,+0849482,+0442686,14:16:33.443670
0.111731,+0040880,+0600560,0.111842,+0076931,+0603482,0.112043,+0377232,-0149295,0.110572,-0409278,+0610022,0.109939,+0849494,+0442313,14:16:33.443670
0.114978,+0040789,+0600595,0.115092,+0076865,+0603732,0.115277,+0377114,-0149425,0.113414,-0408858,+0609899,0.112740,+0849509,+0442525,14:16:33.443670
0.118225,+0040658,+0600551,0.118329,+0077108,+0603458,0.118513,+0377318,-0149128,0.116220,-0409133,+0609904,0.118388,+0849546,+0442355,14:16:33.443670
0.121472,+0040915,+0600536,0.121566,+0076868,+0603372,0.121751,+0377270,-0149346,0.121831,-0409177,+0609759,0.121175,+0849583,+0442548,14:16:33.443670
