===BEGIN_METADATA===
Test Name: 2026-03-26_124321_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: v3.2 tryout
Test Type: Lab Medium. Demo
"Speed: 25ft/min,Stalk Spacing: 6inNumber of ICB-Sensors: 5",Sensor Label(s): A B C D E,Sensor SNs: 001 002 003 004 005
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-28_181436,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
ICB-Sensor B's Latest Calibration: 2026-02-28_191825,kB1: 285806.85492483515,dB1: 0.0038186954053924,cB1: 1779.0295562932731,kB2: 278780.10405734595,dB2: 0.0456960408628126,cB2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-28_203355,kC1: 400137.07123195945,dC1: 0.0045411310920291,cC1: 1788.4192282378208,kC2: 401512.5673837119,dC2: 0.0455171988670882,cC2: 942.1566234510974
ICB-Sensor D's Latest Calibration: 2026-02-26_195246,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-03-13_134528,kE1: 398510.4590000597,dE1: 0.0051701866415987,cE1: -201.64965113438663,kE2: 410394.7094971476,dE2: 0.0473976078282431,cE2: -366.0193833265803
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.010954,+0056064,+0637320,0.011167,-8388608,-8388608,0.011594,+0436603,-0134643,0.011801,-0390733,+0613809,0.011859,+0864864,+0381462,12:43:25.587116
0.014216,+0055926,+0637369,0.014404,-8388608,-8388608,0.015003,+0436590,-0134695,0.014656,-0390833,+0613524,0.014714,+0864962,+0381561,12:43:25.652292
0.017606,+0056117,+0637939,0.017665,-8388608,-8388608,0.018238,+0436646,-0134656,0.017485,-0390546,+0613819,0.017548,+0865052,+0381570,12:43:25.652292
0.020851,+0055858,+0637405,0.020911,-8388608,-8388608,0.021477,+0436544,-0134887,0.020296,-0390654,+0613877,0.020356,+0864825,+0381599,12:43:25.652292
0.024121,+0055368,+0637667,0.024190,-8388608,-8388608,0.024719,+0436458,-0134693,0.023219,-0390989,+0613643,0.023161,+0864740,+0381543,12:43:25.652292
0.027400,+0055433,+0637623,0.027518,-8388608,-8388608,0.027954,+0436431,-0134752,0.026025,-0390820,+0613741,0.025947,+0864635,+0381555,12:43:25.652292
0.030645,+0055483,+0637230,0.030755,-8388608,-8388608,0.031191,+0436389,-0134811,0.028863,-0390543,+0613821,0.028735,+0864562,+0381792,12:43:25.652292
0.033892,+0055461,+0637590,0.033993,-8388608,-8388608,0.034436,+0436521,-0134893,0.034494,-0390521,+0613676,0.034321,+0864924,+0381478,12:43:25.652292
0.037176,+0056128,+0637196,0.037235,-8388608,-8388608,0.037671,+0436499,-0134830,0.037304,-0390557,+0613442,0.037117,+0864716,+0381610,12:43:25.652292
0.040421,+0056003,+0637099,0.040479,-8388608,-8388608,0.040906,+0436550,-0134909,0.040111,-0390524,+0613523,0.039905,+0864918,+0381561,12:43:25.652292
0.043670,+0055846,+0637133,0.043731,-8388608,-8388608,0.044154,+0436635,-0134826,0.042917,-0390562,+0613456,0.042693,+0864977,+0381505,12:43:25.652292
0.046935,+0055866,+0637466,0.046994,-8388608,-8388608,0.047401,+0436782,-0134831,0.045724,-0390551,+0613488,0.045482,+0864793,+0381647,12:43:25.652292
