===BEGIN_METADATA===
Test Name: 2026-03-27_123954_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: v3.2 w/accelerometer
Test Type: Lab Medium. Demo
"Speed: 50ft/min,Stalk Spacing: 6inNumber of ICB-Sensors: 5",Sensor Label(s): A B C D E,Sensor SNs: 001 002 003 004 005
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-28_181436,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
ICB-Sensor B's Latest Calibration: 2026-02-28_191825,kB1: 285806.85492483515,dB1: 0.0038186954053924,cB1: 1779.0295562932731,kB2: 278780.10405734595,dB2: 0.0456960408628126,cB2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-28_203355,kC1: 400137.07123195945,dC1: 0.0045411310920291,cC1: 1788.4192282378208,kC2: 401512.5673837119,dC2: 0.0455171988670882,cC2: 942.1566234510974
ICB-Sensor D's Latest Calibration: 2026-02-26_195246,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-03-13_134528,kE1: 398510.4590000597,dE1: 0.0051701866415987,cE1: -201.64965113438663,kE2: 410394.7094971476,dE2: 0.0473976078282431,cE2: -366.0193833265803
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.010769,+0043608,+0625294,0.010983,-8388608,-8388608,0.011208,+0392462,-0138607,0.011837,-0401198,+0597143,0.011897,+0855423,+0368819,12:39:59.803126
0.014034,+0043485,+0625554,0.014225,-8388608,-8388608,0.014445,+0392507,-0138862,0.014678,-0401079,+0597254,0.014746,+0855608,+0369074,12:39:59.836467
0.017320,+0043436,+0625396,0.017470,-8388608,-8388608,0.017690,+0392580,-0138722,0.017533,-0401163,+0597247,0.017593,+0855443,+0368820,12:39:59.836467
0.020675,+0043693,+0625361,0.020733,-8388608,-8388608,0.020926,+0392490,-0138525,0.020339,-0401214,+0597206,0.020398,+0855634,+0368872,12:39:59.836467
0.023923,+0043244,+0625190,0.023987,-8388608,-8388608,0.024179,+0392414,-0138471,0.023151,-0401012,+0597222,0.023215,+0855694,+0368636,12:39:59.836467
0.027172,+0043581,+0625398,0.027230,-8388608,-8388608,0.027484,+0392546,-0138649,0.025965,-0401199,+0597278,0.026024,+0855551,+0369088,12:39:59.836467
0.030512,+0043550,+0625145,0.030572,-8388608,-8388608,0.030720,+0392620,-0138746,0.028771,-0401322,+0597103,0.028831,+0855591,+0368791,12:39:59.836467
0.033757,+0043727,+0625270,0.033818,-8388608,-8388608,0.033955,+0392534,-0138509,0.031580,-0401206,+0597117,0.031638,+0855248,+0368910,12:39:59.836467
0.037004,+0043432,+0625440,0.037064,-8388608,-8388608,0.037190,+0392806,-0138737,0.037248,-0401187,+0597001,0.037306,+0855348,+0368838,12:39:59.836467
0.040253,+0043588,+0625451,0.040362,-8388608,-8388608,0.040478,+0392348,-0138600,0.040089,-0400940,+0597247,0.040195,+0855366,+0368738,12:39:59.836467
0.043497,+0043585,+0625401,0.043602,-8388608,-8388608,0.043715,+0392407,-0138547,0.042901,-0401177,+0597187,0.042981,+0855632,+0368928,12:39:59.836467
0.046747,+0043654,+0625366,0.046841,-8388608,-8388608,0.046950,+0392655,-0138671,0.045711,-0401197,+0597310,0.045772,+0855527,+0368976,12:39:59.836467
