===BEGIN_METADATA===
Test Name: 2026-03-27_152433_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: v3.2 w/accelerometer,actually
Test Type: Lab Medium. Demo
"Speed: 25ft/min,Stalk Spacing: 6inNumber of ICB-Sensors: 5",Sensor Label(s): A B C D E,Sensor SNs: 001 002 003 004 005
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-28_181436,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
ICB-Sensor B's Latest Calibration: 2026-02-28_191825,kB1: 285806.85492483515,dB1: 0.0038186954053924,cB1: 1779.0295562932731,kB2: 278780.10405734595,dB2: 0.0456960408628126,cB2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-28_203355,kC1: 400137.07123195945,dC1: 0.0045411310920291,cC1: 1788.4192282378208,kC2: 401512.5673837119,dC2: 0.0455171988670882,cC2: 942.1566234510974
ICB-Sensor D's Latest Calibration: 2026-02-26_195246,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-03-13_134528,kE1: 398510.4590000597,dE1: 0.0051701866415987,cE1: -201.64965113438663,kE2: 410394.7094971476,dE2: 0.0473976078282431,cE2: -366.0193833265803
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.000890,+0035599,+0618142,0.001131,-8388608,-8388608,0.001553,+0388490,-0147703,0.000545,-0408783,+0588174,0.000609,+0849456,+0376472,15:24:37.291784
0.004136,+0035696,+0618150,0.004368,-8388608,-8388608,0.004885,+0388405,-0147417,0.003363,-0408754,+0588172,0.003423,+0849604,+0376636,15:24:37.327127
0.007381,+0035523,+0618148,0.007689,-8388608,-8388608,0.008122,+0388510,-0147565,0.006171,-0408628,+0587980,0.006230,+0849324,+0376406,15:24:37.327127
0.010717,+0035434,+0618115,0.010929,-8388608,-8388608,0.011367,+0388255,-0147730,0.011800,-0408664,+0588036,0.011877,+0849426,+0376728,15:24:37.327127
0.014008,+0035434,+0618257,0.014193,-8388608,-8388608,0.014623,+0388255,-0147647,0.014741,-0408622,+0588156,0.014681,+0849425,+0376700,15:24:37.327127
0.017252,+0035782,+0618128,0.017429,-8388608,-8388608,0.017860,+0388371,-0147562,0.017549,-0408707,+0588163,0.017489,+0849320,+0376299,15:24:37.327127
0.020498,+0035608,+0618257,0.020671,-8388608,-8388608,0.021094,+0388237,-0147605,0.020398,-0408601,+0588066,0.020329,+0849245,+0376632,15:24:37.327127
0.023743,+0035805,+0618381,0.023911,-8388608,-8388608,0.024331,+0388339,-0147622,0.023210,-0408612,+0588088,0.023127,+0849479,+0376361,15:24:37.327127
0.026987,+0035744,+0618167,0.027147,-8388608,-8388608,0.027592,+0388413,-0147582,0.026033,-0408751,+0588090,0.025916,+0849608,+0376472,15:24:37.327127
0.030232,+0035546,+0618119,0.030384,-8388608,-8388608,0.030828,+0388204,-0147547,0.028839,-0408581,+0588310,0.031492,+0849696,+0376365,15:24:37.327127
0.033478,+0035770,+0618152,0.033620,-8388608,-8388608,0.034069,+0388165,-0147602,0.031696,-0408737,+0588020,0.034285,+0849416,+0376404,15:24:37.327127
0.036725,+0035592,+0618010,0.036859,-8388608,-8388608,0.037369,+0388350,-0147569,0.037309,-0408692,+0588022,0.037071,+0849566,+0376365,15:24:37.327127
0.039969,+0035664,+0618242,0.040173,-8388608,-8388608,0.040605,+0388305,-0147438,0.040115,-0408497,+0588165,0.039857,+0849616,+0376519,15:24:37.327127
0.043218,+0035664,+0618306,0.043414,-8388608,-8388608,0.043845,+0388490,-0147541,0.042921,-0408497,+0588067,0.042647,+0849616,+0376281,15:24:37.327127
