===BEGIN_METADATA===
Test Name: 2026-04-08_203337_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: For validation against DARLING. Hi-STIFFS v3.2
Test Type: Medium Lab w/o tops
Speed: 25 ft/min,Stalk Spacing: 6in,Probe Height (m): 0.785
Number of ICB-Sensors: 5",Sensor Label(s): A B C D E,Sensor SNs: 001 002 003 004 005
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-28_181436,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
ICB-Sensor B's Latest Calibration: 2026-02-28_191825,kB1: 285806.85492483515,dB1: 0.0038186954053924,cB1: 1779.0295562932731,kB2: 278780.10405734595,dB2: 0.0456960408628126,cB2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-28_203355,kC1: 400137.07123195945,dC1: 0.0045411310920291,cC1: 1788.4192282378208,kC2: 401512.5673837119,dC2: 0.0455171988670882,cC2: 942.1566234510974
ICB-Sensor D's Latest Calibration: 2026-02-26_195246,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-03-13_134528,kE1: 398510.4590000597,dE1: 0.0051701866415987,cE1: -201.64965113438663,kE2: 410394.7094971476,dE2: 0.0473976078282431,cE2: -366.0193833265803
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.010969,+0020022,+0623021,0.011179,-8388608,-8388608,0.011607,+0305254,-0137970,0.011816,-0398549,+0613569,0.011874,+0855752,+0380503,20:33:39.915917
0.014240,+0019969,+0623293,0.014416,-8388608,-8388608,0.014996,+0305292,-0137765,0.014643,-0398781,+0613457,0.014708,+0855659,+0380408,20:33:39.949125
0.017620,+0019990,+0623316,0.017678,-8388608,-8388608,0.018236,+0303606,-0137475,0.017497,-0398967,+0613446,0.017559,+0855348,+0380750,20:33:39.949125
0.020865,+0019884,+0623277,0.020925,-8388608,-8388608,0.021471,+0303563,-0137614,0.020307,-0398858,+0613505,0.020366,+0855452,+0380737,20:33:39.949125
0.024137,+0019955,+0623483,0.024206,-8388608,-8388608,0.024736,+0303378,-0137500,0.023242,-0398989,+0613617,0.023177,+0855394,+0380527,20:33:39.949125
0.027434,+0019987,+0623434,0.027553,-8388608,-8388608,0.027972,+0303518,-0137650,0.026048,-0398642,+0613422,0.025976,+0855479,+0380709,20:33:39.949125
0.030680,+0020027,+0623322,0.030790,-8388608,-8388608,0.031207,+0304330,-0137686,0.028898,-0398933,+0613396,0.028769,+0855659,+0380315,20:33:39.949125
0.033951,+0020037,+0623425,0.034037,-8388608,-8388608,0.034454,+0303747,-0137748,0.034523,-0398918,+0613550,0.034367,+0855392,+0380581,20:33:39.949125
0.037216,+0020087,+0623332,0.037275,-8388608,-8388608,0.037689,+0303267,-0137483,0.037335,-0398917,+0613561,0.037158,+0855380,+0380519,20:33:39.949125
0.040464,+0019925,+0623372,0.040526,-8388608,-8388608,0.040925,+0303629,-0137641,0.040151,-0398685,+0613587,0.039949,+0855351,+0380335,20:33:39.949125
0.043718,+0019899,+0623320,0.043783,-8388608,-8388608,0.044205,+0303715,-0138023,0.042963,-0398908,+0613534,0.042739,+0855501,+0380454,20:33:39.949125
0.047010,+0020204,+0623228,0.047074,-8388608,-8388608,0.047462,+0305118,-0137869,0.045785,-0398616,+0613561,0.045540,+0855472,+0380256,20:33:39.949125
