----------META DATA----------
SOFTWARE VERSION,2.3.0
DEVICE MAC ADDRESS,b8:27:eb:11:33:db
DEVICE OPERATOR,AL+CA
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2022
MONTH,06
DAY,25
TIME,02:03:20,Local Time
PLOT,1001,#
TEST NUMBER,81,#
HEIGHT,76.6,cm
BARCODE,
LATITUDE,0.0000000,angular degrees
LONGITUDE,0.0000000,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,Med Lab Full Length
PRE_TEST_NOTE_2,s07
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
LCA_WEIGTH,0,g
----------SENSOR CALIBRATION DATA (ADC*A + B = stored_value)------
SENSOR,A,B,UNIT,ID
LOAD_X,0.028949269317560866,-1.3346983708123412,Pounds,loadx1
LOAD_Y,1.2799672328388392,-3.2800440308728036,Pounds,loady1
IMU,1,0,Deg,imu1
POT,0.011885895404120442,-64.83755942947695,Deg,pot1
----------TEST DATA-----------
TIME (milliseconds),ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
68.021,92.27,0.444,3.6156,0.0
100.843,92.33,0.444,3.6446,0.0
106.365,92.342,0.886,3.7314,0.0
111.512,92.342,1.179,3.7314,0.0
116.719,92.365,0.518,3.7604,0.0
121.91,92.342,0.739,3.7604,0.0
126.98199999999999,92.377,-0.075,3.8183,0.0
132.12199999999999,92.365,0.297,3.8183,0.0
137.22199999999998,92.377,-0.448,3.8183,0.0
142.393,92.401,0.371,3.8762,0.0
147.46499999999997,92.413,0.148,3.8472,0.0
152.64999999999998,92.413,-0.0,3.8762,0.0
157.803,92.413,0.074,3.9341,0.0
162.922,92.425,0.297,3.9341,0.0
168.076,92.413,0.592,4.0209,0.0
