----------META DATA----------
SOFTWARE VERSION,2.3.0
DEVICE MAC ADDRESS,b8:27:eb:11:33:db
DEVICE OPERATOR,AL+CA
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2022
MONTH,06
DAY,25
TIME,02:15:32,Local Time
PLOT,1001,#
TEST NUMBER,115,#
HEIGHT,76.6,cm
BARCODE,
LATITUDE,0.0000000,angular degrees
LONGITUDE,0.0000000,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,Med lab Half length
PRE_TEST_NOTE_2,s10
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
LCA_WEIGTH,0,g
----------SENSOR CALIBRATION DATA (ADC*A + B = stored_value)------
SENSOR,A,B,UNIT,ID
LOAD_X,0.028949269317560866,-1.3346983708123412,Pounds,loadx1
LOAD_Y,1.2799672328388392,-3.2800440308728036,Pounds,loady1
IMU,1,0,Deg,imu1
POT,0.011885895404120442,-64.83755942947695,Deg,pot1
----------TEST DATA-----------
TIME (milliseconds),ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
77.148,92.936,0.592,3.0945,0.0
116.66,92.948,0.592,3.2682,0.0
122.18699999999998,92.995,-0.298,3.2972,0.0
127.34899999999999,92.983,0.222,3.2682,0.0
132.44699999999997,93.007,0.074,3.2682,0.0
137.648,92.995,-0.0,3.2682,0.0
142.73,93.019,-0.224,3.3261,0.0
147.817,93.019,-0.224,3.3261,0.0
152.914,93.007,-0.0,3.3261,0.0
158.075,93.031,-0.0,3.3551,0.0
163.15699999999998,93.043,0.444,3.3551,0.0
168.24599999999998,93.031,0.592,3.384,0.0
173.32999999999998,93.031,0.518,3.413,0.0
178.54,93.043,0.148,3.4709,0.0
