===BEGIN_STALK_TIMES===
Stalk,A_Start,A_End,B_Start,B_End,C_Start,C_End,D_Start,D_End,E_Start,E_End
0,5.482,6.391,,,8.498,9.494,9.848,10.962,11.160,12.173
1,6.725,7.699,,,9.668,10.658,11.147,12.238,12.506,13.486
2,7.812,8.800,,,10.937,11.897,12.401,13.433,13.714,14.646
3,9.276,10.303,,,12.389,13.355,13.739,14.870,15.088,16.045
4,10.446,11.384,,,13.579,14.509,14.871,16.011,16.238,17.176
5,11.690,12.639,,,14.828,15.778,16.364,17.270,17.481,18.444
6,13.101,14.036,,,16.139,17.119,17.496,18.613,18.812,19.766
7,14.177,15.063,,,17.199,18.182,18.603,19.643,19.864,20.886
8,15.738,16.698,,,18.836,19.790,20.087,21.305,21.615,22.616
9,17.190,18.154,,,20.311,21.310,21.682,22.858,23.165,24.159
10,18.278,19.229,,,21.472,22.439,22.865,24.050,24.282,25.253
11,19.431,20.392,,,22.682,23.662,24.023,25.179,25.350,26.251
12,20.855,21.848,,,24.124,25.068,25.393,26.427,26.698,27.663
13,22.226,23.201,,,25.366,26.246,26.593,27.760,28.024,29.012
14,23.534,24.482,,,26.561,27.463,27.894,29.059,29.261,30.229
15,24.720,25.674,,,27.707,28.671,29.345,30.191,30.397,31.337
