===BEGIN_METADATA===
Test Name: 2026-05-05_150500_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: For validation against DARLING. Hi-STIFFS v3.2
Test Type: Medium Lab w/o tops
"Speed: 50 ft/min,Stalk Spacing: 6in,Probe Height (m): 0.785"
Number of ICB-Sensors: 5,Sensor Label(s): A B C D E,Sensor SNs: 001 002 003 004 005
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-28_181436,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
ICB-Sensor B's Latest Calibration: 2026-02-28_191825,kB1: 285806.85492483515,dB1: 0.0038186954053924,cB1: 1779.0295562932731,kB2: 278780.10405734595,dB2: 0.0456960408628126,cB2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-28_203355,kC1: 400137.07123195945,dC1: 0.0045411310920291,cC1: 1788.4192282378208,kC2: 401512.5673837119,dC2: 0.0455171988670882,cC2: 942.1566234510974
ICB-Sensor D's Latest Calibration: 2026-02-26_195246,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-03-13_134528,kE1: 398510.4590000597,dE1: 0.0051701866415987,cE1: -201.64965113438663,kE2: 410394.7094971476,dE2: 0.0473976078282431,cE2: -366.0193833265803
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.001121,+0041194,+0623713,0.001331,-8388608,-8388608,0.001766,+0334186,-0132950,0.000565,-0394120,+0618791,0.000628,+0842846,+0335055,15:05:05.583996
0.004371,+0041162,+0623858,0.004578,-8388608,-8388608,0.005115,+0333601,-0132886,0.003382,-0395376,+0618751,0.003440,+0840351,+0335052,15:05:05.617638
0.007705,+0040634,+0623580,0.007927,-8388608,-8388608,0.008352,+0332865,-0133214,0.006188,-0395635,+0618061,0.006247,+0840206,+0334862,15:05:05.617638
0.014241,+0040793,+0624180,0.014415,-8388608,-8388608,0.011588,+0333304,-0133218,0.014629,-0395006,+0618374,0.014693,+0841687,+0335087,15:05:05.617638
0.017622,+0040177,+0624781,0.017680,-8388608,-8388608,0.014960,+0333009,-0132643,0.017563,-0394413,+0618983,0.017493,+0842627,+0335047,15:05:05.617638
0.020873,+0039374,+0624478,0.020933,-8388608,-8388608,0.018208,+0331093,-0132140,0.020382,-0394710,+0618575,0.020310,+0841969,+0335074,15:05:05.617638
0.024130,+0038921,+0624806,0.024222,-8388608,-8388608,0.024715,+0330514,-0132291,0.023221,-0396351,+0618213,0.023159,+0839530,+0334890,15:05:05.617638
0.027498,+0038496,+0624909,0.027557,-8388608,-8388608,0.027958,+0330596,-0132361,0.026028,-0395827,+0618364,0.025953,+0840497,+0334521,15:05:05.617638
0.030752,+0039495,+0624580,0.030819,-8388608,-8388608,0.031209,+0330851,-0132526,0.028843,-0395402,+0618652,0.028769,+0841449,+0334727,15:05:05.617638
0.037357,+0039527,+0625302,0.037415,-8388608,-8388608,0.034545,+0330807,-0132668,0.037296,-0394973,+0618558,0.037194,+0841962,+0334868,15:05:05.617638
0.040609,+0038951,+0624641,0.040677,-8388608,-8388608,0.041073,+0330135,-0132824,0.040105,-0395862,+0618326,0.040012,+0840176,+0334935,15:05:05.617638
0.043873,+0039046,+0624981,0.043944,-8388608,-8388608,0.044390,+0330796,-0132546,0.042917,-0395761,+0618308,0.042832,+0840740,+0334676,15:05:05.617638
