===BEGIN_METADATA===
Test Name: 2026-05-06_195440_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: Dummy code tests
Test Type: Medium Lab w/o tops
"Speed: 50 ft/min,Stalk Spacing: 6in,Probe Height (m): 0.785"
Number of ICB-Sensors: 5,Sensor Label(s): A B C D E,Sensor SNs: 001 002 003 004 005
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-28_181436,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
ICB-Sensor B's Latest Calibration: 2026-02-28_191825,kB1: 285806.85492483515,dB1: 0.0038186954053924,cB1: 1779.0295562932731,kB2: 278780.10405734595,dB2: 0.0456960408628126,cB2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-28_203355,kC1: 400137.07123195945,dC1: 0.0045411310920291,cC1: 1788.4192282378208,kC2: 401512.5673837119,dC2: 0.0455171988670882,cC2: 942.1566234510974
ICB-Sensor D's Latest Calibration: 2026-02-26_195246,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-03-13_134528,kE1: 398510.4590000597,dE1: 0.0051701866415987,cE1: -201.64965113438663,kE2: 410394.7094971476,dE2: 0.0473976078282431,cE2: -366.0193833265803
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.010890,-0143181,+0601056,0.011102,-8388608,-8388608,0.008287,+0343041,-0128459,0.008989,-0404127,+0606838,0.009097,+0786420,+0342700,19:54:41.450651
0.014179,-0143077,+0601188,0.014358,-8388608,-8388608,0.011524,+0342856,-0128599,0.011795,-0404098,+0606878,0.011888,+0785764,+0342777,19:54:41.450709
0.017434,-0143136,+0601060,0.017651,-8388608,-8388608,0.014791,+0342599,-0128405,0.017588,-0403656,+0607041,0.017519,+0786591,+0342882,19:54:41.483938
0.020704,-0143066,+0601147,0.020900,-8388608,-8388608,0.021268,+0342806,-0128387,0.023217,-0403841,+0607005,0.023149,+0786525,+0342634,19:54:41.483970
0.023973,-0142999,+0601196,0.024142,-8388608,-8388608,0.024517,+0342813,-0128416,0.026073,-0404238,+0607146,0.025996,+0785617,+0342690,19:54:41.483985
0.027315,-0143081,+0601353,0.027383,-8388608,-8388608,0.027777,+0342813,-0128329,0.028909,-0403800,+0606800,0.028837,+0786281,+0342623,19:54:41.483999
0.033871,-0142952,+0601106,0.033993,-8388608,-8388608,0.034256,+0342870,-0128319,0.034545,-0403819,+0607026,0.034473,+0786006,+0342879,19:54:41.484012
0.037258,-0143180,+0601256,0.037439,-8388608,-8388608,0.037567,+0342744,-0128540,0.037506,-0404002,+0607059,0.037379,+0785832,+0342885,19:54:41.484025
0.040591,-0143008,+0601186,0.040682,-8388608,-8388608,0.040802,+0342904,-0128382,0.040315,-0403941,+0607279,0.040167,+0786287,+0342823,19:54:41.484038
0.043873,-0143171,+0601196,0.043996,-8388608,-8388608,0.044061,+0342822,-0128270,0.043128,-0403964,+0607288,0.043005,+0786167,+0342774,19:54:41.484049
0.047387,-0143082,+0601071,0.047506,-8388608,-8388608,0.047328,+0342866,-0128437,0.045957,-0403955,+0606903,0.045838,+0785907,+0342606,19:54:41.484061
0.050634,-0143182,+0601178,0.050745,-8388608,-8388608,0.050564,+0342793,-0128551,0.048850,-0403886,+0606817,0.048662,+0786124,+0342765,19:54:41.484073
