===BEGIN_METADATA===
Test Name: 2026-05-08_183824_01,yyyy-mm-dd_hhmmss_{probe_num}
Note:
Test Type: Demo
Number of ICB-Sensors: 5,Sensor Label(s): A B C D E,Sensor Serial#(s): 001 002 003 004 005
ICB-Sensor A's Serial#: 001,Length (mm): 100,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
ICB-Sensor B's Serial#: 002,Length (mm): 120,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
ICB-Sensor C's Serial#: 003,Length (mm): 100,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
ICB-Sensor D's Serial#: 004,Length (mm): 120,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
ICB-Sensor E's Serial#: 005,Length (mm): 100,Spacing (mm): 40,Saturation Load (N): 80,Microstrain at Saturation: 2500
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano_01,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-28_181436,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
ICB-Sensor B's Latest Calibration: 2026-02-28_191825,kB1: 285806.85492483515,dB1: 0.0038186954053924,cB1: 1779.0295562932731,kB2: 278780.10405734595,dB2: 0.0456960408628126,cB2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-28_203355,kC1: 400137.07123195945,dC1: 0.0045411310920291,cC1: 1788.4192282378208,kC2: 401512.5673837119,dC2: 0.0455171988670882,cC2: 942.1566234510974
ICB-Sensor D's Latest Calibration: 2026-02-26_195246,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-03-13_134528,kE1: 398510.4590000597,dE1: 0.0051701866415987,cE1: -201.64965113438663,kE2: 410394.7094971476,dE2: 0.0473976078282431,cE2: -366.0193833265803
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,Processed_Time
0.010767,-0143680,+0600803,0.010978,-8388608,-8388608,0.011225,+0345159,-0127153,0.009027,-0404623,+0604912,0.009086,+0854927,+0366662,18:38:27.290562
0.014034,-0143873,+0600819,0.014234,-8388608,-8388608,0.014484,+0345076,-0126953,0.011832,-0404600,+0605235,0.011901,+0854936,+0366610,18:38:27.357411
0.017279,-0143929,+0600925,0.017585,-8388608,-8388608,0.017796,+0345086,-0127133,0.017466,-0404436,+0605204,0.017527,+0854884,+0366861,18:38:27.357411
0.020611,-0143851,+0600772,0.020824,-8388608,-8388608,0.021033,+0344883,-0127155,0.020275,-0404490,+0605453,0.020335,+0854970,+0366636,18:38:27.357411
0.023875,-0143851,+0600751,0.024064,-8388608,-8388608,0.024276,+0344926,-0127226,0.023098,-0404490,+0605466,0.023157,+0854970,+0366700,18:38:27.357411
0.027126,-0143789,+0600858,0.027301,-8388608,-8388608,0.027512,+0344818,-0127140,0.026012,-0404988,+0605315,0.025953,+0854030,+0366779,18:38:27.357411
0.030372,-0143757,+0600889,0.030547,-8388608,-8388608,0.030747,+0344870,-0127215,0.028868,-0404609,+0605234,0.028809,+0855087,+0367140,18:38:27.357411
0.033624,-0143976,+0600838,0.033786,-8388608,-8388608,0.033982,+0344872,-0127081,0.031673,-0404656,+0605315,0.031597,+0854936,+0366749,18:38:27.357411
0.036877,-0143944,+0600680,0.037024,-8388608,-8388608,0.037244,+0344932,-0127264,0.037303,-0405473,+0605108,0.037186,+0853960,+0366636,18:38:27.357411
0.040168,-0144060,+0600921,0.040263,-8388608,-8388608,0.040479,+0344728,-0127342,0.040108,-0405137,+0605499,0.039972,+0853462,+0366819,18:38:27.357411
0.043416,-0143755,+0600738,0.043503,-8388608,-8388608,0.043716,+0345199,-0127226,0.042917,-0404537,+0604958,0.042824,+0854872,+0366628,18:38:27.357411
0.046661,-0143789,+0600754,0.046740,-8388608,-8388608,0.046951,+0345082,-0127072,0.045722,-0404418,+0605344,0.045612,+0854776,+0366421,18:38:27.357411
0.049907,-0143830,+0600809,0.050024,-8388608,-8388608,0.050205,+0345104,-0127292,0.048528,-0404691,+0605023,0.048418,+0855115,+0366553,18:38:27.357411
0.053155,-0143608,+0600915,0.053261,-8388608,-8388608,0.053440,+0345050,-0127005,0.051369,-0404662,+0605076,0.051208,+0855101,+0366761,18:38:27.357411
0.056400,-0143886,+0600633,0.056497,-8388608,-8388608,0.056675,+0345367,-0127165,0.054178,-0404424,+0604955,0.053995,+0855030,+0366789,18:38:27.357411
