===BEGIN_METADATA===
Test Name: 2026-05-19_151215_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: 
Test Type: Demo
Stalk Type: PVC-Hi
Probe Height (m): 0.785
Speed: 25 ft/min
Number of ICB-Sensors: 5,Sensor Label(s): A B C D E,Sensor Serial#(s):     
ICB-Sensor A's Serial#: ,Length (mm): ,Spacing (mm): ,Saturation Load (N): ,Microstrain at Saturation: 
ICB-Sensor B's Serial#: ,Length (mm): ,Spacing (mm): ,Saturation Load (N): ,Microstrain at Saturation: 
ICB-Sensor C's Serial#: ,Length (mm): ,Spacing (mm): ,Saturation Load (N): ,Microstrain at Saturation: 
ICB-Sensor D's Serial#: ,Length (mm): ,Spacing (mm): ,Saturation Load (N): ,Microstrain at Saturation: 
ICB-Sensor E's Serial#: ,Length (mm): ,Spacing (mm): ,Saturation Load (N): ,Microstrain at Saturation: 
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_90SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano_01,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
Packet Schema: Extended NavX2 payload v1 (sensor block + NavX2 telemetry)
ICB-Sensor A's Latest Calibration: N/A,kA1: 1.0,dA1: 1.0,cA1: 0.0,kA2: 1.0,dA2: 1.0,cA2: 0.0
ICB-Sensor B's Latest Calibration: N/A,kB1: 1.0,dB1: 1.0,cB1: 0.0,kB2: 1.0,dB2: 1.0,cB2: 0.0
ICB-Sensor C's Latest Calibration: N/A,kC1: 1.0,dC1: 1.0,cC1: 0.0,kC2: 1.0,dC2: 1.0,cC2: 0.0
ICB-Sensor D's Latest Calibration: N/A,kD1: 1.0,dD1: 1.0,cD1: 0.0,kD2: 1.0,dD2: 1.0,cD2: 0.0
ICB-Sensor E's Latest Calibration: N/A,kE1: 1.0,dE1: 1.0,cE1: 0.0,kE2: 1.0,dE2: 1.0,cE2: 0.0
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,NavX2_Flags_raw,NavX2_Valid,NavX2_Fresh,NavX2_Timestamp_us,NavX2_NavX_Timestamp_ms,NavX2_Yaw_deg,NavX2_Pitch_deg,NavX2_Roll_deg,NavX2_Heading_deg,NavX2_Fused_Heading_deg,NavX2_Accel_X_g,NavX2_Accel_Y_g,NavX2_Accel_Z_g,NavX2_Quat_W,NavX2_Quat_X,NavX2_Quat_Y,NavX2_Quat_Z,NavX2_Disp_X_m,NavX2_Disp_Y_m,NavX2_Disp_Z_m,NavX2_Sensor_Status,NavX2_Capability_Flags,NavX2_Cal_Status,NavX2_Selftest_Status,Processed_Time
0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,3,1,1,10239,506895,-1.41,0.97,-0.75,180.0,1.99,0.0,-0.014,0.008,1.9996337890625,-0.018310546875,0.0113525390625,0.0244140625,0.1074676513671875,1.7800750732421875,0.5498809814453125,1540,4076,6,135,15:12:21.414907
0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,1,1,0,30288,506913,-1.39,0.98,-0.76,180.0,2.01,0.01,-0.032,0.005,1.9996337890625,-0.0184326171875,0.0113525390625,0.0240478515625,0.10748291015625,1.7799530029296875,0.549896240234375,1540,4076,6,135,15:12:21.448429
0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,1,1,0,50295,506931,-1.36,0.99,-0.75,180.0,2.03,-0.024,0.005,0.015,1.9996337890625,-0.0185546875,0.0113525390625,0.023681640625,0.1074981689453125,1.77972412109375,0.5499114990234375,1540,4076,6,135,15:12:21.448490
0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,1,1,0,70305,506949,-1.35,0.98,-0.76,180.0,2.04,0.0,0.051,0.005,1.9996337890625,-0.0185546875,0.0113525390625,0.0234375,0.1074981689453125,1.779541015625,0.5499267578125,1540,4076,6,135,15:12:21.448524
0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,1,1,0,90311,506968,-1.35,0.98,-0.76,180.0,2.05,0.009,-0.028,0.0,1.9996337890625,-0.0185546875,0.011474609375,0.0233154296875,0.1074981689453125,1.779388427734375,0.5499267578125,1540,4076,6,135,15:12:21.514866
0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,1,1,0,110325,506986,-1.32,0.99,-0.76,180.0,2.07,0.016,0.0,0.0,1.9996337890625,-0.0185546875,0.011474609375,0.02294921875,0.107513427734375,1.7791900634765625,0.5499420166015625,1540,4076,6,135,15:12:21.514915
0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,3,1,1,130331,507022,-1.26,0.99,-0.77,180.0,2.13,-0.026,-0.062,0.025,1.999755859375,-0.0186767578125,0.0115966796875,0.0218505859375,0.1075286865234375,1.77850341796875,0.5499725341796875,1541,4076,6,135,15:12:21.514940
0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,3,1,1,150341,507040,-1.24,1.0,-0.78,180.0,2.15,0.006,-0.161,0.013,1.999755859375,-0.018798828125,0.01171875,0.021484375,0.1074981689453125,1.7776947021484375,0.5500030517578125,1541,4076,6,135,15:12:21.547969
0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,1,1,0,170349,507059,-1.2,1.01,-0.78,180.0,2.19,-0.04,-0.091,0.01,1.999755859375,-0.01904296875,0.01171875,0.020751953125,0.10748291015625,1.7763824462890625,0.5500640869140625,1541,4076,6,135,15:12:21.548018
0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,0.000000,+0000000,+0000000,1,1,0,190357,507077,-1.11,1.03,-0.78,180.0,2.28,0.012,-0.106,0.025,1.999755859375,-0.019287109375,0.01171875,0.0191650390625,0.10748291015625,1.774871826171875,0.5501251220703125,1541,4076,6,135,15:12:21.648169
