===BEGIN_METADATA===
Test Name: 2026-05-19_182939_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: 
Test Type: Demo
Stalk Type: PVC-Hi
Probe Height (m): 0.785
Speed: 25 ft/min
Number of ICB-Sensors: 5,Sensor Label(s): A B C D E,Sensor Serial#(s):     
ICB-Sensor A's Serial#: ,Length (mm): ,Spacing (mm): ,Saturation Load (N): ,Microstrain at Saturation: 
ICB-Sensor B's Serial#: ,Length (mm): ,Spacing (mm): ,Saturation Load (N): ,Microstrain at Saturation: 
ICB-Sensor C's Serial#: ,Length (mm): ,Spacing (mm): ,Saturation Load (N): ,Microstrain at Saturation: 
ICB-Sensor D's Serial#: ,Length (mm): ,Spacing (mm): ,Saturation Load (N): ,Microstrain at Saturation: 
ICB-Sensor E's Serial#: ,Length (mm): ,Spacing (mm): ,Saturation Load (N): ,Microstrain at Saturation: 
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_90SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano_01,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
Packet Schema: Extended NavX2 payload v1 (sensor block + NavX2 telemetry)
ICB-Sensor A's Latest Calibration: N/A,kA1: 1.0,dA1: 1.0,cA1: 0.0,kA2: 1.0,dA2: 1.0,cA2: 0.0
ICB-Sensor B's Latest Calibration: N/A,kB1: 1.0,dB1: 1.0,cB1: 0.0,kB2: 1.0,dB2: 1.0,cB2: 0.0
ICB-Sensor C's Latest Calibration: N/A,kC1: 1.0,dC1: 1.0,cC1: 0.0,kC2: 1.0,dC2: 1.0,cC2: 0.0
ICB-Sensor D's Latest Calibration: N/A,kD1: 1.0,dD1: 1.0,cD1: 0.0,kD2: 1.0,dD2: 1.0,cD2: 0.0
ICB-Sensor E's Latest Calibration: N/A,kE1: 1.0,dE1: 1.0,cE1: 0.0,kE2: 1.0,dE2: 1.0,cE2: 0.0
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,NavX2_Flags_raw,NavX2_Valid,NavX2_Fresh,NavX2_Timestamp_us,NavX2_NavX_Timestamp_ms,NavX2_Yaw_deg,NavX2_Pitch_deg,NavX2_Roll_deg,NavX2_Heading_deg,NavX2_Fused_Heading_deg,NavX2_Accel_X_g,NavX2_Accel_Y_g,NavX2_Accel_Z_g,NavX2_Quat_W,NavX2_Quat_X,NavX2_Quat_Y,NavX2_Quat_Z,NavX2_Disp_X_m,NavX2_Disp_Y_m,NavX2_Disp_Z_m,NavX2_Sensor_Status,NavX2_Capability_Flags,NavX2_Cal_Status,NavX2_Selftest_Status,Processed_Time
0.371753,-0000001,-0000001,4.724008,-0000001,-0000001,0.000000,+0000000,+0000000,0.004601,+0000000,+0000000,0.000000,+0000000,+0000000,3,1,1,10248,38511,0.03,0.66,-0.15,180.0,3.46,0.245,0.304,-0.118,1.9998779296875,-0.0115966796875,0.0025634765625,-0.0006103515625,-0.0238494873046875,-0.656707763671875,0.4906768798828125,1541,4076,6,135,18:29:44.085825
0.371753,-0000001,-0000001,4.724008,-0000001,-0000001,0.000000,+0000000,+0000000,0.004601,+0000000,+0000000,0.000000,+0000000,+0000000,1,1,0,30536,38530,-0.47,0.64,-0.13,180.0,2.95,0.164,0.371,-0.196,1.9998779296875,-0.01123046875,0.002197265625,0.0081787109375,-0.0245208740234375,-0.667449951171875,0.491912841796875,1541,4076,6,135,18:29:44.153671
0.371753,-0000001,-0000001,4.724008,-0000001,-0000001,0.000000,+0000000,+0000000,0.004601,+0000000,+0000000,0.000000,+0000000,+0000000,1,1,0,50546,38548,-0.17,0.7,-0.08,180.0,3.25,0.291,0.388,0.075,1.9998779296875,-0.0123291015625,0.0013427734375,0.0029296875,-0.025054931640625,-0.6781005859375,0.4931182861328125,1541,4076,6,135,18:29:44.153751
0.371753,-0000001,-0000001,4.724008,-0000001,-0000001,0.000000,+0000000,+0000000,0.004601,+0000000,+0000000,0.000000,+0000000,+0000000,1,1,0,70556,38566,0.4,0.69,-0.03,180.0,3.83,-0.149,-0.704,-0.08,1.9998779296875,-0.0120849609375,0.00048828125,-0.007080078125,-0.0256805419921875,-0.6885986328125,0.494384765625,1541,4076,6,135,18:29:44.153795
0.371753,-0000001,-0000001,4.724008,-0000001,-0000001,0.000000,+0000000,+0000000,0.004601,+0000000,+0000000,0.000000,+0000000,+0000000,1,1,0,90564,38584,-0.03,0.71,-0.05,180.0,3.4,-0.168,-0.053,0.3,1.9998779296875,-0.012451171875,0.000732421875,0.00048828125,-0.026336669921875,-0.6992950439453125,0.495574951171875,1541,4076,6,135,18:29:44.185835
0.371753,-0000001,-0000001,4.724008,-0000001,-0000001,0.000000,+0000000,+0000000,0.004601,+0000000,+0000000,0.000000,+0000000,+0000000,1,1,0,110568,38602,-1.25,0.71,-0.26,180.0,2.17,-4.004,-0.038,-0.08,1.999755859375,-0.0125732421875,0.0042724609375,0.021728515625,-0.0283050537109375,-0.7103118896484375,0.4968414306640625,1541,4076,6,135,18:29:44.185950
0.371753,-0000001,-0000001,4.724008,-0000001,-0000001,0.000000,+0000000,+0000000,0.004601,+0000000,+0000000,0.000000,+0000000,+0000000,3,1,1,130581,38639,-1.19,0.64,-0.05,180.0,2.23,-0.055,0.053,0.029,1.999755859375,-0.01123046875,0.0006103515625,0.020751953125,-0.038604736328125,-0.7323455810546875,0.4995269775390625,1541,4076,6,135,18:29:44.186018
0.371753,-0000001,-0000001,4.724008,-0000001,-0000001,0.000000,+0000000,+0000000,0.004601,+0000000,+0000000,0.000000,+0000000,+0000000,3,1,1,150590,38657,-1.29,0.69,-0.04,180.0,2.13,0.04,-0.021,0.022,1.999755859375,-0.0120849609375,0.0003662109375,0.0224609375,-0.043701171875,-0.743408203125,0.50091552734375,1541,4076,6,135,18:29:44.252994
0.371753,-0000001,-0000001,4.724008,-0000001,-0000001,0.000000,+0000000,+0000000,0.004601,+0000000,+0000000,0.000000,+0000000,+0000000,3,1,1,170600,38675,-1.39,0.7,-0.06,180.0,2.03,-0.118,0.107,-0.087,1.999755859375,-0.0123291015625,0.000732421875,0.024169921875,-0.0488128662109375,-0.7545013427734375,0.5021514892578125,1541,4076,6,135,18:29:44.253073
0.371753,-0000001,-0000001,4.724008,-0000001,-0000001,0.000000,+0000000,+0000000,0.004601,+0000000,+0000000,0.000000,+0000000,+0000000,1,1,0,190607,38693,-1.53,0.72,-0.08,180.0,1.9,0.195,-0.231,-0.099,1.999755859375,-0.0126953125,0.001220703125,0.026611328125,-0.053985595703125,-0.7654876708984375,0.5035247802734375,1541,4076,6,135,18:29:44.253114
