===BEGIN_METADATA===
Test Name: 2026-06-01_111913_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: Calibration sequence for old filter characteristics
Test Type: Calibration
Loads (N): 10 35 70,Positions (mm): 60 75 95
"Speed: 50 ft/min,Stalk Spacing: 6in,Probe Height (m): 0.785"
Number of ICB-Sensors: 1,Sensor Label(s): E,Sensor SNs: 005
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-28_181436,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
ICB-Sensor B's Latest Calibration: 2026-02-28_191825,kB1: 285806.85492483515,dB1: 0.0038186954053924,cB1: 1779.0295562932731,kB2: 278780.10405734595,dB2: 0.0456960408628126,cB2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-28_203355,kC1: 400137.07123195945,dC1: 0.0045411310920291,cC1: 1788.4192282378208,kC2: 401512.5673837119,dC2: 0.0455171988670882,cC2: 942.1566234510974
ICB-Sensor D's Latest Calibration: 2026-02-26_195246,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-03-13_134528,kE1: 398510.4590000597,dE1: 0.0051701866415987,cE1: -201.64965113438663,kE2: 410394.7094971476,dE2: 0.0473976078282431,cE2: -366.0193833265803
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,NavX2_Flags_raw,NavX2_Valid,NavX2_Fresh,NavX2_Timestamp_us,NavX2_NavX_Timestamp_ms,NavX2_Yaw_deg,NavX2_Pitch_deg,NavX2_Roll_deg,NavX2_Heading_deg,NavX2_Fused_Heading_deg,NavX2_Accel_X_g,NavX2_Accel_Y_g,NavX2_Accel_Z_g,NavX2_Quat_W,NavX2_Quat_X,NavX2_Quat_Y,NavX2_Quat_Z,NavX2_Disp_X_m,NavX2_Disp_Y_m,NavX2_Disp_Z_m,NavX2_Sensor_Status,NavX2_Capability_Flags,NavX2_Cal_Status,NavX2_Selftest_Status,Processed_Time
0.010743,-8388608,-8388608,0.010977,-8388608,-8388608,0.008146,-8388608,-8388608,0.009002,-8388608,-8388608,0.009062,877095,-196769,,,,,,,,,,,,,,,,,,,,,,,,,11:19:16.249918
0.014022,-8388608,-8388608,0.014234,-8388608,-8388608,0.011382,-8388608,-8388608,0.01181,-8388608,-8388608,0.011872,877285,-196740,,,,,,,,,,,,,,,,,,,,,,,,,11:19:16.316555
0.017276,-8388608,-8388608,0.017563,-8388608,-8388608,0.014754,-8388608,-8388608,0.017442,-8388608,-8388608,0.017503,878632,-196842,,,,,,,,,,,,,,,,,,,,,,,,,11:19:16.316660
0.020583,-8388608,-8388608,0.020801,-8388608,-8388608,0.01799,-8388608,-8388608,0.020247,-8388608,-8388608,0.020305,877215,-196972,,,,,,,,,,,,,,,,,,,,,,,,,11:19:16.316707
0.023855,-8388608,-8388608,0.02404,-8388608,-8388608,0.021225,-8388608,-8388608,0.023077,-8388608,-8388608,0.023137,877888,-196849,,,,,,,,,,,,,,,,,,,,,,,,,11:19:16.316750
0.027106,-8388608,-8388608,0.027276,-8388608,-8388608,0.024467,-8388608,-8388608,0.025993,-8388608,-8388608,0.025924,878222,-196852,,,,,,,,,,,,,,,,,,,,,,,,,11:19:16.316792
0.030412,-8388608,-8388608,0.030527,-8388608,-8388608,0.027708,-8388608,-8388608,0.028848,-8388608,-8388608,0.028728,878296,-196930,,,,,,,,,,,,,,,,,,,,,,,,,11:19:16.316830
0.033671,-8388608,-8388608,0.033771,-8388608,-8388608,0.030943,-8388608,-8388608,0.031655,-8388608,-8388608,0.031518,877491,-196987,,,,,,,,,,,,,,,,,,,,,,,,,11:19:16.316870
0.036927,-8388608,-8388608,0.03701,-8388608,-8388608,0.034194,-8388608,-8388608,0.034484,-8388608,-8388608,0.034338,878539,-196858,,,,,,,,,,,,,,,,,,,,,,,,,11:19:16.316912
0.040214,-8388608,-8388608,0.040272,-8388608,-8388608,0.037446,-8388608,-8388608,0.040113,-8388608,-8388608,0.039927,877749,-196781,,,,,,,,,,,,,,,,,,,,,,,,,11:19:16.316952
0.04346,-8388608,-8388608,0.04352,-8388608,-8388608,0.040681,-8388608,-8388608,0.04293,-8388608,-8388608,0.04272,877275,-196918,,,,,,,,,,,,,,,,,,,,,,,,,11:19:16.316992
0.046709,-8388608,-8388608,0.046767,-8388608,-8388608,0.043918,-8388608,-8388608,0.045737,-8388608,-8388608,0.045506,877018,-197025,,,,,,,,,,,,,,,,,,,,,,,,,11:19:16.317036
