===BEGIN_METADATA===
Test Name: 2026-06-02_135754_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: Calibration sequence for the new filter characteristics
Test Type: Calibration
Loads (N): 10 35 70,Positions (mm): 60 75 95
"Speed: 50 ft/min,Stalk Spacing: 6in,Probe Height (m): 0.785"
Number of ICB-Sensors: 1,Sensor Label(s): E,Sensor SNs: 005
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-28_181436,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
ICB-Sensor B's Latest Calibration: 2026-02-28_191825,kB1: 285806.85492483515,dB1: 0.0038186954053924,cB1: 1779.0295562932731,kB2: 278780.10405734595,dB2: 0.0456960408628126,cB2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-28_203355,kC1: 400137.07123195945,dC1: 0.0045411310920291,cC1: 1788.4192282378208,kC2: 401512.5673837119,dC2: 0.0455171988670882,cC2: 942.1566234510974
ICB-Sensor D's Latest Calibration: 2026-02-26_195246,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-06-01_114440,kE1: 400760.0480001549,dE1: 0.0051895819381482,cE1: 1628.088568478357,kE2: 414429.2917922791,dE2: 0.0473708582349138,cE2: 901.1825807712156
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,NavX2_Flags_raw,NavX2_Valid,NavX2_Fresh,NavX2_Timestamp_us,NavX2_NavX_Timestamp_ms,NavX2_Yaw_deg,NavX2_Pitch_deg,NavX2_Roll_deg,NavX2_Heading_deg,NavX2_Fused_Heading_deg,NavX2_Accel_X_g,NavX2_Accel_Y_g,NavX2_Accel_Z_g,NavX2_Quat_W,NavX2_Quat_X,NavX2_Quat_Y,NavX2_Quat_Z,NavX2_Disp_X_m,NavX2_Disp_Y_m,NavX2_Disp_Z_m,NavX2_Sensor_Status,NavX2_Capability_Flags,NavX2_Cal_Status,NavX2_Selftest_Status,Processed_Time
0.01089,-8388608,-8388608,0.011097,-8388608,-8388608,0.01153,-8388608,-8388608,0.011795,-8388608,-8388608,0.011887,1135091,1033630,,,,,,,,,,,,,,,,,,,,,,,,,13:57:57.249626
0.014151,-8388608,-8388608,0.014336,-8388608,-8388608,0.014787,-8388608,-8388608,0.014642,-8388608,-8388608,0.014701,1134630,1033692,,,,,,,,,,,,,,,,,,,,,,,,,13:57:57.282611
0.01743,-8388608,-8388608,0.017611,-8388608,-8388608,0.018022,-8388608,-8388608,0.017491,-8388608,-8388608,0.017552,1134789,1033882,,,,,,,,,,,,,,,,,,,,,,,,,13:57:57.282671
0.02068,-8388608,-8388608,0.020852,-8388608,-8388608,0.021257,-8388608,-8388608,0.020299,-8388608,-8388608,0.020368,1134892,1033940,,,,,,,,,,,,,,,,,,,,,,,,,13:57:57.282710
0.023938,-8388608,-8388608,0.024093,-8388608,-8388608,0.024505,-8388608,-8388608,0.02312,-8388608,-8388608,0.023188,1134505,1033429,,,,,,,,,,,,,,,,,,,,,,,,,13:57:57.282747
0.027197,-8388608,-8388608,0.02733,-8388608,-8388608,0.02774,-8388608,-8388608,0.025968,-8388608,-8388608,0.02603,1133937,1033833,,,,,,,,,,,,,,,,,,,,,,,,,13:57:57.282778
0.030536,-8388608,-8388608,0.030594,-8388608,-8388608,0.030979,-8388608,-8388608,0.028793,-8388608,-8388608,0.028853,1134545,1033716,,,,,,,,,,,,,,,,,,,,,,,,,13:57:57.282800
0.03379,-8388608,-8388608,0.033854,-8388608,-8388608,0.034225,-8388608,-8388608,0.031602,-8388608,-8388608,0.03166,1134746,1033693,,,,,,,,,,,,,,,,,,,,,,,,,13:57:57.282821
0.037062,-8388608,-8388608,0.037122,-8388608,-8388608,0.037558,-8388608,-8388608,0.03722,-8388608,-8388608,0.03728,1138367,1033807,,,,,,,,,,,,,,,,,,,,,,,,,13:57:57.282844
0.040367,-8388608,-8388608,0.040425,-8388608,-8388608,0.040793,-8388608,-8388608,0.040031,-8388608,-8388608,0.04009,1138116,1033818,,,,,,,,,,,,,,,,,,,,,,,,,13:57:57.282877
0.043618,-8388608,-8388608,0.043688,-8388608,-8388608,0.044031,-8388608,-8388608,0.042845,-8388608,-8388608,0.042908,1135297,1033718,,,,,,,,,,,,,,,,,,,,,,,,,13:57:57.282910
0.046874,-8388608,-8388608,0.046932,-8388608,-8388608,0.047274,-8388608,-8388608,0.045716,-8388608,-8388608,0.045775,1140124,1034052,,,,,,,,,,,,,,,,,,,,,,,,,13:57:57.282933
