===BEGIN_METADATA===
Test Name: 2026-06-02_142320_01,yyyy-mm-dd_hhmmss_{probe_num}
Note: Transient test, new filter characteristics, at 95mm
Test Type: Medium Lab w/o tops
"Speed: 50 ft/min,Stalk Spacing: 6in,Probe Height (m): 0.785"
Number of ICB-Sensors: 5,Sensor Label(s): A B C D E,Sensor SNs: 001 002 003 004 005
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,ID: Hi-STIFFS_Nano,CPU Clock: 240MHz,Cores: 2,Data-stream Connection: Wi-Fi
ICB-Sensor A's Latest Calibration: 2026-02-28_181436,kA1: 349273.60227475094,dA1: 0.0045245532907721,cA1: 1102.3374494942836,kA2: 346675.0994387471,dA2: 0.0451524381538289,cA2: 681.8182371353614
ICB-Sensor B's Latest Calibration: 2026-02-28_191825,kB1: 285806.85492483515,dB1: 0.0038186954053924,cB1: 1779.0295562932731,kB2: 278780.10405734595,dB2: 0.0456960408628126,cB2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-28_203355,kC1: 400137.07123195945,dC1: 0.0045411310920291,cC1: 1788.4192282378208,kC2: 401512.5673837119,dC2: 0.0455171988670882,cC2: 942.1566234510974
ICB-Sensor D's Latest Calibration: 2026-02-26_195246,kD1: 327901.7793019196,dD1: 0.0055431319529345,cD1: 1092.3920580442064,kD2: 331651.3310431668,dD2: 0.0445085069339955,cD2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2026-06-02_141512,kE1: 399957.2154399161,dE1: 0.0049884628004022,cE1: 3321.271967449924,kE2: 414819.21561406605,dE2: 0.0472948365972602,cE2: 1998.9488005689343
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_D_sec,Strain_D1_raw,Strain_D2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,NavX2_Flags_raw,NavX2_Valid,NavX2_Fresh,NavX2_Timestamp_us,NavX2_NavX_Timestamp_ms,NavX2_Yaw_deg,NavX2_Pitch_deg,NavX2_Roll_deg,NavX2_Heading_deg,NavX2_Fused_Heading_deg,NavX2_Accel_X_g,NavX2_Accel_Y_g,NavX2_Accel_Z_g,NavX2_Quat_W,NavX2_Quat_X,NavX2_Quat_Y,NavX2_Quat_Z,NavX2_Disp_X_m,NavX2_Disp_Y_m,NavX2_Disp_Z_m,NavX2_Sensor_Status,NavX2_Capability_Flags,NavX2_Cal_Status,NavX2_Selftest_Status,Processed_Time
0.010971,-8388608,-8388608,0.011178,-8388608,-8388608,0.008371,-8388608,-8388608,0.009012,-8388608,-8388608,0.009072,+1142151,+1035211,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.508439
0.014280,-8388608,-8388608,0.014428,-8388608,-8388608,0.011607,-8388608,-8388608,0.011820,-8388608,-8388608,0.011878,+1141586,+1035436,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.610913
0.017559,-8388608,-8388608,0.017678,-8388608,-8388608,0.014985,-8388608,-8388608,0.017619,-8388608,-8388608,0.017499,+1142371,+1035137,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.611012
0.020805,-8388608,-8388608,0.020916,-8388608,-8388608,0.021456,-8388608,-8388608,0.020424,-8388608,-8388608,0.020291,+1134386,+1035036,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.611072
0.024066,-8388608,-8388608,0.024156,-8388608,-8388608,0.024767,-8388608,-8388608,0.023230,-8388608,-8388608,0.023090,+1135682,+1035091,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.611130
0.027344,-8388608,-8388608,0.027402,-8388608,-8388608,0.028033,-8388608,-8388608,0.026037,-8388608,-8388608,0.025883,+1141900,+1035191,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.611181
0.030589,-8388608,-8388608,0.030649,-8388608,-8388608,0.031269,-8388608,-8388608,0.031668,-8388608,-8388608,0.031468,+1142295,+1034938,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.611243
0.033837,-8388608,-8388608,0.033896,-8388608,-8388608,0.034545,-8388608,-8388608,0.034473,-8388608,-8388608,0.034263,+1142091,+1035205,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.611314
0.037111,-8388608,-8388608,0.037169,-8388608,-8388608,0.037781,-8388608,-8388608,0.037280,-8388608,-8388608,0.037053,+1141931,+1035217,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.611358
0.040366,-8388608,-8388608,0.040424,-8388608,-8388608,0.041020,-8388608,-8388608,0.040088,-8388608,-8388608,0.039839,+1142163,+1035413,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.611401
0.043613,-8388608,-8388608,0.043673,-8388608,-8388608,0.044359,-8388608,-8388608,0.042896,-8388608,-8388608,0.042627,+1142109,+1035214,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.611456
0.046864,-8388608,-8388608,0.046922,-8388608,-8388608,0.047593,-8388608,-8388608,0.045703,-8388608,-8388608,0.045413,+1142184,+1035171,,,,,,,,,,,,,,,,,,,,,,,,,14:23:22.611505
