===BEGIN_METADATA===
Test Name: 2026-06-10_131859_01,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_01,Probe Height (m): 0.7900
Note: new DAQ PCB
Test Type: Lab Trials
Stalks: Medium B-IN no tops,Probe: v3.3
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 3,Sensor Label(s): A C E,Sensor SNs: 001 003 005
ICB-Sensor A's Latest Calibration: 2026-06-10_120245,kA1: 351744.8279932664,dA1: 0.0047992474300278,cA1: 574.4369624970714,kA2: 347604.75378667994,dA2: 0.0452453444842415,cA2: 26.023574759543408
ICB-Sensor C's Latest Calibration: 2026-06-10_123441,kC1: 404490.3474918268,dC1: 0.0058500260575673,cC1: -424.13011759193614,kC2: 405133.76531753375,dC2: 0.0464478645606266,cC2: -666.3897116323351
ICB-Sensor E's Latest Calibration: 2026-06-10_125420,kE1: 400701.3726474917,dE1: 0.0048205226419293,cE1: 882.2936293203384,kE2: 414755.3371693164,dE2: 0.0469718114713248,cE2: 464.95427689049393
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,NavX2_Flags_raw,NavX2_Valid,NavX2_Fresh,NavX2_Timestamp_us,NavX2_NavX_Timestamp_ms,NavX2_Yaw_deg,NavX2_Pitch_deg,NavX2_Roll_deg,NavX2_Heading_deg,NavX2_Fused_Heading_deg,NavX2_Accel_X_g,NavX2_Accel_Y_g,NavX2_Accel_Z_g,NavX2_Quat_W,NavX2_Quat_X,NavX2_Quat_Y,NavX2_Quat_Z,NavX2_Disp_X_m,NavX2_Disp_Y_m,NavX2_Disp_Z_m,NavX2_Sensor_Status,NavX2_Capability_Flags,NavX2_Cal_Status,NavX2_Selftest_Status,Processed_Time
0.010311,+0740629,+1061181,0.010700,+0530088,+1011762,0.011001,+1087672,+1152150,,,,,,,,,,,,,,,,,,,,,,,,,13:19:01.826279
0.013592,+0740633,+1061239,0.013952,+0529956,+1011806,0.014243,+1087825,+1152113,,,,,,,,,,,,,,,,,,,,,,,,,13:19:01.857788
0.016847,+0740750,+1061142,0.017184,+0529784,+1011672,0.017477,+1087584,+1151839,,,,,,,,,,,,,,,,,,,,,,,,,13:19:01.857788
0.020084,+0740438,+1061139,0.020420,+0529831,+1011848,0.020705,+1087738,+1152105,,,,,,,,,,,,,,,,,,,,,,,,,13:19:01.857788
0.023375,+0740496,+1061139,0.023651,+0529982,+1011724,0.023940,+1087760,+1151980,,,,,,,,,,,,,,,,,,,,,,,,,13:19:01.857788
0.026610,+0740399,+1061083,0.026883,+0529894,+1011726,0.027168,+1087600,+1152049,,,,,,,,,,,,,,,,,,,,,,,,,13:19:01.857788
0.029843,+0740474,+1061076,0.030124,+0529899,+1011628,0.030406,+1087644,+1152103,,,,,,,,,,,,,,,,,,,,,,,,,13:19:01.857788
0.033103,+0740346,+1061108,0.033362,+0530032,+1011783,0.033641,+1087774,+1152083,,,,,,,,,,,,,,,,,,,,,,,,,13:19:01.857788
0.036340,+0740699,+1061233,0.036591,+0529835,+1011579,0.036869,+1087773,+1152178,,,,,,,,,,,,,,,,,,,,,,,,,13:19:01.857788
0.039569,+0740518,+1061023,0.039823,+0529937,+1011655,0.040101,+1087720,+1151930,,,,,,,,,,,,,,,,,,,,,,,,,13:19:01.857788
0.042799,+0740408,+1061132,0.043074,+0529961,+1011708,0.043331,+1087884,+1152173,,,,,,,,,,,,,,,,,,,,,,,,,13:19:01.857788
0.046089,+0740672,+1061286,0.046312,+0529929,+1011700,0.046563,+1087625,+1152158,,,,,,,,,,,,,,,,,,,,,,,,,13:19:01.857788
0.049326,+0740597,+1061121,0.049541,+0529856,+1011620,0.049792,+1087683,+1152088,,,,,,,,,,,,,,,,,,,,,,,,,13:19:01.857788
