===BEGIN_METADATA===
Test Name: 2026-06-10_190300_02,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_02,Probe Height (m): 0.7900
Note: new DAQ PCB
Test Type: Lab Trials
Stalks: Medium B-IN no tops,Probe: v3.3
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 3,Sensor Label(s): A C E,Sensor SNs: 002 004 011
ICB-Sensor A's Latest Calibration: 2026-02-28_191825,kA1: 285806.85492483515,dA1: 0.0038186954053924,cA1: 1779.0295562932731,kA2: 278780.10405734595,dA2: 0.0456960408628126,cA2: 910.3072104970925
ICB-Sensor C's Latest Calibration: 2026-02-26_195246,kC1: 327901.7793019196,dC1: 0.0055431319529345,cC1: 1092.3920580442064,kC2: 331651.3310431668,dC2: 0.0445085069339955,cC2: 837.0076372631593
ICB-Sensor E's Latest Calibration: 2027-02-28_181436,kE1: 349273.60227475094,dE1: 0.0045245532907721,cE1: 1102.3374494942836,kE2: 346675.0994387471,dE2: 0.0451524381538289,cE2: 681.8182371353614
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Time_E_sec,Strain_E1_raw,Strain_E2_raw,NavX2_Flags_raw,NavX2_Valid,NavX2_Fresh,NavX2_Timestamp_us,NavX2_NavX_Timestamp_ms,NavX2_Yaw_deg,NavX2_Pitch_deg,NavX2_Roll_deg,NavX2_Heading_deg,NavX2_Fused_Heading_deg,NavX2_Accel_X_g,NavX2_Accel_Y_g,NavX2_Accel_Z_g,NavX2_Quat_W,NavX2_Quat_X,NavX2_Quat_Y,NavX2_Quat_Z,NavX2_Disp_X_m,NavX2_Disp_Y_m,NavX2_Disp_Z_m,NavX2_Sensor_Status,NavX2_Capability_Flags,NavX2_Cal_Status,NavX2_Selftest_Status,Processed_Time
0.000678,+1469996,+0826409,0.001130,+0809891,+0537603,0.001409,+0686761,+0584518,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.680879
0.003914,+1470117,+0826520,0.004369,+0809904,+0537514,0.004644,+0686524,+0584567,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.747400
0.007145,+1469955,+0826610,0.007607,+0809773,+0537511,0.007879,+0686659,+0584546,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.747400
0.010380,+1469949,+0826436,0.010847,+0810049,+0537372,0.011121,+0686503,+0584513,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.747400
0.013757,+1469949,+0826294,0.014103,+0809736,+0537324,0.014371,+0686490,+0584360,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.747400
0.016988,+1470190,+0826218,0.017342,+0809728,+0537424,0.017608,+0686681,+0584518,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.747400
0.020221,+1470149,+0826318,0.020582,+0809899,+0537401,0.020845,+0686531,+0584618,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.747400
0.023465,+1470265,+0826327,0.023821,+0809797,+0537462,0.024082,+0686684,+0584518,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.747400
0.026698,+1470221,+0826261,0.027060,+0810008,+0537455,0.027317,+0686689,+0584439,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.747400
0.029930,+1470135,+0826350,0.030299,+0809839,+0537588,0.030554,+0686757,+0584576,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.747400
0.033165,+1469984,+0826514,0.033537,+0809773,+0537654,0.033789,+0686685,+0584346,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.747400
0.036397,+1470063,+0826590,0.036776,+0809806,+0537436,0.037024,+0686700,+0584474,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.747400
0.039630,+1470112,+0826326,0.040015,+0809772,+0537443,0.040259,+0686759,+0584464,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.747400
0.042862,+1470110,+0826414,0.043257,+0809848,+0537422,0.043496,+0686660,+0584472,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.747400
0.046095,+1469975,+0826353,0.046496,+0809830,+0537326,0.046733,+0686739,+0584462,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.747400
0.049325,+1470118,+0826395,0.049739,+0809918,+0537275,0.049969,+0686610,+0584537,,,,,,,,,,,,,,,,,,,,,,,,,19:03:05.780673
