===BEGIN_METADATA===
Test Name: 2026-06-16_195024_02,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_02,Probe Height (m): 0.7850
Note: new DAQ PCB
Test Type: Calibration
Loads (N): 5 35 70,Positions (mm): 60 100 120 154
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 1,Sensor Label(s): A,Sensor SNs: 101
ICB-Sensor A's Latest Calibration: N/A,kA1: 1.0,dA1: 1.0,cA1: 0.0,kA2: 1.0,dA2: 1.0,cA2: 0.0
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,NavX2_Flags_raw,NavX2_Valid,NavX2_Fresh,NavX2_Timestamp_us,NavX2_NavX_Timestamp_ms,NavX2_Yaw_deg,NavX2_Pitch_deg,NavX2_Roll_deg,NavX2_Heading_deg,NavX2_Fused_Heading_deg,NavX2_Accel_X_g,NavX2_Accel_Y_g,NavX2_Accel_Z_g,NavX2_Quat_W,NavX2_Quat_X,NavX2_Quat_Y,NavX2_Quat_Z,NavX2_Disp_X_m,NavX2_Disp_Y_m,NavX2_Disp_Z_m,NavX2_Sensor_Status,NavX2_Capability_Flags,NavX2_Cal_Status,NavX2_Selftest_Status,Processed_Time
0.008185,-407,-72,,,,,,,,,,,,,,,,,,,,,,,,,19:50:25.942243
0.011416,-193,-344,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.158387
0.014758,-193,-143,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.158387
0.017992,-341,-167,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.158387
0.021225,-547,-48,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.158387
0.024501,-354,-288,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.158387
0.027734,-286,-110,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.158387
0.030971,-383,-215,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.158387
0.034256,-284,-163,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.158387
0.037491,-474,11,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.158387
0.040744,-336,-250,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.158387
0.043988,-122,-54,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.158387
0.047218,-253,-40,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.158387
0.050449,-359,-73,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.158387
0.053685,-192,-319,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.158387
0.05692,-352,-248,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.158387
0.060151,-280,-205,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.158387
0.063387,-340,-194,,,,,,,,,,,,,,,,,,,,,,,,,19:50:26.158387
