===BEGIN_METADATA===
Test Name: 2026-06-16_200224_02,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_02,Probe Height (m): 0.7850
Note: new DAQ PCB
Test Type: Calibration Verify
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 1,Sensor Label(s): A,Sensor SNs: 101
ICB-Sensor A's Latest Calibration: 2026-06-16_200149,kA1: 243751.8399144537,dA1: 0.0057726742083075,cA1: 411.7689793854952,kA2: 241958.92725444224,dA2: 0.0476688060397716,cA2: 988.4088682709262
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,NavX2_Flags_raw,NavX2_Valid,NavX2_Fresh,NavX2_Timestamp_us,NavX2_NavX_Timestamp_ms,NavX2_Yaw_deg,NavX2_Pitch_deg,NavX2_Roll_deg,NavX2_Heading_deg,NavX2_Fused_Heading_deg,NavX2_Accel_X_g,NavX2_Accel_Y_g,NavX2_Accel_Z_g,NavX2_Quat_W,NavX2_Quat_X,NavX2_Quat_Y,NavX2_Quat_Z,NavX2_Disp_X_m,NavX2_Disp_Y_m,NavX2_Disp_Z_m,NavX2_Sensor_Status,NavX2_Capability_Flags,NavX2_Cal_Status,NavX2_Selftest_Status,Processed_Time
0.008180,+0675859,+0908476,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.247993
0.011411,+0675979,+0908344,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.281333
0.014712,+0675979,+0908209,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.281333
0.017946,+0675892,+0908423,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.281333
0.021179,+0675932,+0908370,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.281333
0.024447,+0675977,+0908307,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.281333
0.027678,+0675921,+0908406,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.281333
0.030915,+0675771,+0908343,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.281333
0.034170,+0676029,+0908358,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.281333
0.037453,+0675899,+0908295,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.281333
0.040692,+0676052,+0908356,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.281333
0.043944,+0676088,+0908382,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.281333
0.047174,+0675860,+0908242,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.281333
0.050405,+0676088,+0908471,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.281333
0.053640,+0675979,+0908290,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.281333
0.056878,+0675975,+0908345,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.281333
0.060113,+0675830,+0908254,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.281333
0.063350,+0675814,+0908476,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.281333
0.066584,+0675969,+0908185,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.281333
0.069815,+0675794,+0908294,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.281333
0.073061,+0675919,+0908389,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.281333
0.076295,+0675937,+0908058,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.281333
0.079526,+0675884,+0908351,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.281333
0.082762,+0675968,+0908237,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.347897
0.086004,+0675972,+0908356,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.347897
0.089282,+0675921,+0908418,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.347897
0.092522,+0675882,+0908392,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.347897
0.095766,+0675943,+0908418,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.347897
0.098997,+0676008,+0908506,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.347897
0.102228,+0676060,+0908424,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.347897
0.105466,+0676049,+0908538,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.347897
0.108703,+0675909,+0908529,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.347897
0.111935,+0675852,+0908446,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.347897
0.115174,+0675763,+0908629,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.347897
0.118405,+0676027,+0908522,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.347897
0.121638,+0676033,+0908280,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.347897
0.124876,+0676205,+0908346,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.347897
0.128106,+0675779,+0908309,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.347897
0.131339,+0676090,+0908376,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.381568
0.134578,+0675917,+0908642,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.381568
0.137814,+0675937,+0908336,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.381568
0.141117,+0676014,+0908598,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.381568
0.144371,+0676117,+0908472,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.381568
0.147601,+0676167,+0908279,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.381568
0.150836,+0675960,+0908244,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.381568
0.154077,+0675990,+0908216,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.381568
0.157309,+0675916,+0908276,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.381568
0.160540,+0675892,+0908264,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.381568
0.163778,+0675972,+0908367,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.381568
0.167013,+0675985,+0908432,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.381568
0.170245,+0675993,+0908476,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.381568
0.173486,+0675894,+0908414,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.381568
0.176720,+0675980,+0908546,,,,,,,,,,,,,,,,,,,,,,,,,20:02:26.381568
