Load (N),Position (mm),Strain_A1_avg,Strain_A2_avg
5.0,60.0,66820.91792622134,15280.268793619143
35.0,60.0,465167.2625348508,105980.09136615018
70.0,60.0,929755.3666559521,210985.7491696132
5.0,100.0,114779.29822502566,63563.56696494059
35.0,100.0,802439.8604950177,443913.97642772953
70.0,100.0,1602423.8147270419,886089.4392297927
5.0,120.0,140020.4287780188,88283.00616732593
35.0,120.0,974718.9173497558,613799.4208536844
70.0,120.0,1945879.6350580363,1224381.7258508755
5.0,154.0,181496.34852461112,129557.75894514497
35.0,154.0,1263672.4161573718,903920.7165775403
70.0,154.0,2535355.81665601,1802311.3771312875
