===BEGIN_METADATA===
Test Name: 2026-07-13_144751_01,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_01,Probe Height (m): 0.7850
Note: Raw Calib
Test Type: Calibration
Loads (N): 5 35 70,Positions (mm): 60 100 120 154
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 3,Sensor Label(s): A B C,Sensor SNs: 101 102 103
ICB-Sensor A's Latest Calibration: 2026-06-16_200149,kA1: 243751.8399144537,dA1: 0.0057726742083075,cA1: 411.7689793854952,kA2: 241958.92725444224,dA2: 0.0476688060397716,cA2: 988.4088682709262
ICB-Sensor B's Latest Calibration: 2026-07-13_144015,kB1: 237232.519645604,dB1: 0.0061295649381598,cB1: 1495.9423580087025,kB2: 244158.5349845135,dB2: 0.0470356649067218,cB2: 907.2925858930683
ICB-Sensor C's Latest Calibration: N/A,kC1: 1.0,dC1: 1.0,cC1: 0.0,kC2: 1.0,dC2: 1.0,cC2: 0.0
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Processed_Time
0.001584,-8388608,-8388608,0.001161,-8388608,-8388608,0.001398,263520,622086,14:47:53.321250
0.00344,-8388608,-8388608,0.003024,-8388608,-8388608,0.003259,263209,622159,14:47:53.409423
0.005298,-8388608,-8388608,0.004885,-8388608,-8388608,0.005118,263290,622474,14:47:53.409443
0.007155,-8388608,-8388608,0.006745,-8388608,-8388608,0.006981,263354,622215,14:47:53.409465
0.009015,-8388608,-8388608,0.008609,-8388608,-8388608,0.008842,262987,621995,14:47:53.430357
0.010875,-8388608,-8388608,0.01047,-8388608,-8388608,0.010701,263211,622371,14:47:53.582373
0.012738,-8388608,-8388608,0.012337,-8388608,-8388608,0.012564,263533,622356,14:47:53.582747
0.014597,-8388608,-8388608,0.014202,-8388608,-8388608,0.014426,263384,622449,14:47:53.583007
0.016471,-8388608,-8388608,0.016096,-8388608,-8388608,0.016296,263040,622311,14:47:53.583154
0.01833,-8388608,-8388608,0.017959,-8388608,-8388608,0.018155,263524,622345,14:47:53.583297
0.020186,-8388608,-8388608,0.01982,-8388608,-8388608,0.020013,263298,622265,14:47:53.583410
0.022043,-8388608,-8388608,0.021681,-8388608,-8388608,0.021874,263427,622449,14:47:53.583521
0.023902,-8388608,-8388608,0.023542,-8388608,-8388608,0.023737,263626,622377,14:47:53.583634
0.025758,-8388608,-8388608,0.025403,-8388608,-8388608,0.025596,263281,622434,14:47:53.583747
0.027617,-8388608,-8388608,0.027264,-8388608,-8388608,0.027455,263167,622072,14:47:53.583859
0.029473,-8388608,-8388608,0.029125,-8388608,-8388608,0.02932,263475,622191,14:47:53.583970
0.031329,-8388608,-8388608,0.030986,-8388608,-8388608,0.031179,263250,622011,14:47:53.584092
0.033187,-8388608,-8388608,0.032847,-8388608,-8388608,0.033039,263393,622243,14:47:53.584204
0.03505,-8388608,-8388608,0.034717,-8388608,-8388608,0.034903,263242,622096,14:47:53.584312
0.036909,-8388608,-8388608,0.036579,-8388608,-8388608,0.036762,263193,622380,14:47:53.584425
0.038766,-8388608,-8388608,0.03844,-8388608,-8388608,0.038623,263224,621946,14:47:53.584535
0.040624,-8388608,-8388608,0.040309,-8388608,-8388608,0.040482,263254,622208,14:47:53.584644
0.04248,-8388608,-8388608,0.04217,-8388608,-8388608,0.042341,263417,622326,14:47:53.584753
0.044336,-8388608,-8388608,0.044041,-8388608,-8388608,0.044202,263054,622225,14:47:53.584864
0.046194,-8388608,-8388608,0.045902,-8388608,-8388608,0.04606,263178,622142,14:47:53.585007
0.048051,-8388608,-8388608,0.047763,-8388608,-8388608,0.047919,263385,622276,14:47:53.585113
0.049915,-8388608,-8388608,0.049636,-8388608,-8388608,0.049782,263539,622240,14:47:53.585265
0.051775,-8388608,-8388608,0.051501,-8388608,-8388608,0.051643,262972,622169,14:47:53.585277
0.053649,-8388608,-8388608,0.053412,-8388608,-8388608,0.053516,263229,622391,14:47:53.585387
0.055509,-8388608,-8388608,0.055279,-8388608,-8388608,0.055375,263171,622332,14:47:53.585481
0.05737,-8388608,-8388608,0.05714,-8388608,-8388608,0.057234,263424,621994,14:47:53.585602
0.059226,-8388608,-8388608,0.059001,-8388608,-8388608,0.059093,263300,622033,14:47:53.585613
0.061084,-8388608,-8388608,0.060864,-8388608,-8388608,0.060956,263474,622357,14:47:53.585738
0.062946,-8388608,-8388608,0.062725,-8388608,-8388608,0.062815,263365,622046,14:47:53.585749
0.064802,-8388608,-8388608,0.06459,-8388608,-8388608,0.064676,263068,622363,14:47:53.585863
0.066658,-8388608,-8388608,0.066451,-8388608,-8388608,0.066541,263283,622425,14:47:53.585874
0.068517,-8388608,-8388608,0.068312,-8388608,-8388608,0.068399,263446,622244,14:47:53.586011
0.070373,-8388608,-8388608,0.070175,-8388608,-8388608,0.07026,263368,622399,14:47:53.586022
0.072231,-8388608,-8388608,0.072036,-8388608,-8388608,0.072119,263371,622450,14:47:53.586033
0.074087,-8388608,-8388608,0.073897,-8388608,-8388608,0.073987,263455,622405,14:47:53.586152
0.075947,-8388608,-8388608,0.075757,-8388608,-8388608,0.075849,263113,622184,14:47:53.586281
0.077807,-8388608,-8388608,0.077618,-8388608,-8388608,0.077708,263383,622156,14:47:53.586293
0.079672,-8388608,-8388608,0.079481,-8388608,-8388608,0.079569,263327,622540,14:47:53.586420
0.08153,-8388608,-8388608,0.081346,-8388608,-8388608,0.081429,263424,622315,14:47:53.586431
0.083386,-8388608,-8388608,0.083207,-8388608,-8388608,0.083297,263248,622345,14:47:53.586548
