----------META DATA----------
SOFTWARE VERSION,2.3.0
DEVICE MAC ADDRESS,b8:27:eb:11:33:db
DEVICE OPERATOR,ALEX
----------TEST ATTRIBUTES----------
FIELD,VALUE,UNIT
YEAR,2022
MONTH,06
DAY,25
TIME,03:04:30,Local Time
PLOT,2,#
TEST NUMBER,121,#
HEIGHT,74.8,cm
BARCODE,
LATITUDE,0.0000000,angular degrees
LONGITUDE,0.0000000,angular degrees
----------OPTIONAL DATA----------
PRE_TEST_NOTE_1,S11
PRE_TEST_NOTE_2,
PRE_TEST_NOTE_3,
PRE_TEST_NOTE_4,
PRE_TEST_NOTE_5,
POST_TEST_NOTE_1,
POST_TEST_NOTE_2,
POST_TEST_NOTE_3,
POST_TEST_NOTE_4,
POST_TEST_NOTE_5,
BREAK_HEIGHT,N/A,cm
LCA_WEIGTH,0,g
----------SENSOR CALIBRATION DATA (ADC*A + B = stored_value)------
SENSOR,A,B,UNIT,ID
LOAD_X,0.029285919413946978,-1.6785281367782972,Pounds,loadx1
LOAD_Y,1.2799672328388392,-3.2800440308728036,Pounds,loady1
IMU,1,0,Deg,imu1
POT,0.01173555874299126,-62.50358586517143,Deg,pot1
----------TEST DATA-----------
TIME (milliseconds),ANGLE_POT,ANGLE_IMU,LOAD_X,LOAD_Y
78.13199999999999,91.96,0.371,2.4215,0.0
124.41499999999999,92.136,-0.0,2.6558,0.0
129.934,92.124,0.297,2.6265,0.0
135.066,92.124,0.074,2.5972,0.0
140.206,92.171,-0.448,2.6558,0.0
145.30599999999998,92.183,-1.201,2.7144,0.0
150.46699999999998,92.148,-0.673,2.7144,0.0
155.559,92.136,0.518,2.7729,0.0
160.629,92.159,0.222,2.7436,0.0
165.684,92.183,-0.0,2.8022,0.0
170.772,92.159,0.074,2.8315,0.0
175.833,92.136,0.148,2.8608,0.0
180.95899999999997,92.171,0.444,2.8608,0.0
186.064,92.195,0.222,2.8901,0.0
191.146,92.265,0.739,2.9194,0.0
196.19899999999998,92.253,0.518,2.9486,0.0
201.29999999999998,92.265,0.739,2.9779,0.0
206.363,92.359,0.518,3.0365,0.0
211.49099999999999,92.288,0.371,3.0658,0.0
216.57,92.3,0.592,3.0658,0.0
221.73999999999998,92.347,0.444,3.0951,0.0
226.797,92.324,-0.075,3.0951,0.0
231.86599999999999,92.335,0.222,3.1536,0.0
236.93399999999997,92.382,0.739,3.1536,0.0
241.998,92.453,0.444,3.2415,0.0
247.06,92.406,0.518,3.2415,0.0
252.24699999999999,92.429,0.222,3.2122,0.0
257.327,92.558,0.222,3.2708,0.0
