Load (N),Position (mm),Strain_B1_avg,Strain_B2_avg
5.0,60.0,64497.25985956819,16019.7614075558
35.0,60.0,450177.5374937511,113041.3029703383
70.0,60.0,898440.5756656121,225305.32534814146
5.0,100.0,111872.14613222283,64661.08295679335
35.0,100.0,779305.0970448741,451552.70375775266
70.0,100.0,1554972.9598865062,900390.0914324486
5.0,120.0,136447.7205989617,89990.54916977733
35.0,120.0,948764.1857364472,625716.6403505094
70.0,120.0,1893220.1728591542,1248548.5635265552
5.0,154.0,176344.2335930445,131244.8264065355
35.0,154.0,1232427.0443611047,917747.158672275
70.0,154.0,2457144.7237171466,1829767.989507718
