===BEGIN_METADATA===
Test Name: 2026-07-14_135058_01,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_01,Probe Height (m): 0.7850
Note: Amiga Probe Test @ 25 ft/min
Test Type: Not Calibration
Stalks: Medium B-IN no tops,Probe: v4.0
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 3,Sensor Label(s): A B C,Sensor SNs: 101 102 103
ICB-Sensor A's Latest Calibration: 2026-06-16_200149,kA1: 243751.8399144537,dA1: 0.0057726742083075,cA1: 411.7689793854952,kA2: 241958.92725444224,dA2: 0.0476688060397716,cA2: 988.4088682709262
ICB-Sensor B's Latest Calibration: 2026-07-13_144015,kB1: 237232.519645604,dB1: 0.0061295649381598,cB1: 1495.9423580087025,kB2: 244158.5349845135,dB2: 0.0470356649067218,cB2: 907.2925858930683
ICB-Sensor C's Latest Calibration: 2026-07-13_150133,kC1: 240872.98825154183,dC1: 0.0057161409988756,cC1: 1695.839576008264,kC2: 239878.37884814176,dC2: 0.0477211851108758,cC2: 1002.2369412705302
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Processed_Time
0.001557,+0693294,+0905039,0.001144,+0419480,+0722318,0.001404,+0277703,+0636271,13:51:01.090889
0.003415,+0693349,+0904768,0.003005,+0419174,+0722142,0.003263,+0277519,+0636620,13:51:01.090935
0.005272,+0693105,+0904970,0.004875,+0419281,+0722103,0.005130,+0277401,+0636507,13:51:01.090963
0.007136,+0693564,+0905054,0.006737,+0419135,+0722380,0.006989,+0277448,+0636808,13:51:01.091827
0.008992,+0693413,+0904970,0.008598,+0418619,+0722321,0.008848,+0277738,+0636939,13:51:01.091855
0.010850,+0693646,+0905121,0.010469,+0418652,+0722209,0.010709,+0277616,+0636886,13:51:01.130938
0.012711,+0693437,+0905119,0.012350,+0418525,+0722324,0.012572,+0277723,+0636800,13:51:01.130968
0.014571,+0693485,+0905068,0.014211,+0418787,+0722287,0.014437,+0277795,+0636707,13:51:01.130987
0.016431,+0693267,+0904817,0.016110,+0419066,+0721993,0.016316,+0277450,+0636414,13:51:01.131008
0.018288,+0693449,+0904932,0.017971,+0419272,+0722208,0.018175,+0277390,+0636446,13:51:01.131026
0.020144,+0693139,+0904931,0.019832,+0419328,+0722226,0.020035,+0277496,+0636565,13:51:01.131044
0.022002,+0693394,+0905136,0.021697,+0419287,+0722304,0.021894,+0277613,+0636546,13:51:01.131065
0.023865,+0693486,+0905055,0.023558,+0419093,+0722328,0.023757,+0277706,+0636820,13:51:01.131083
