===BEGIN_STALK_TIMES===
Stalk,A_Start,A_End,B_Start,B_End,C_Start,C_End
0,5.289,6.140,,,,
1,6.060,6.833,,,9.369,10.153
2,6.625,7.432,,,9.369,10.153
3,7.304,8.064,7.512,8.209,10.011,10.805
4,7.898,8.654,7.512,8.209,10.595,11.383
5,8.588,9.318,8.180,8.866,11.313,12.105
6,9.258,10.014,9.473,10.166,11.912,12.701
7,9.724,10.496,9.473,10.166,12.560,13.335
8,10.689,11.459,10.744,11.437,13.215,13.999
9,11.320,12.087,11.418,12.124,14.622,15.414
10,11.971,12.728,11.901,12.648,14.622,15.414
11,12.533,13.284,12.829,13.522,15.294,16.071
12,13.212,13.969,12.829,13.522,15.936,16.688
13,13.837,14.603,13.443,14.147,16.421,17.237
14,14.489,15.253,14.079,14.772,17.175,17.957
15,15.088,15.857,14.656,15.362,17.785,18.575
