===BEGIN_METADATA===
Test Name: 2026-07-17_105442_01,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_01,Probe Height (m): 0.7850
Note: Amiga Probe Test @ 100 ft/min WITH GASKETS
Test Type: Not Calibration
Stalks: Medium B-IN no tops,Probe: v4.0
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 3,Sensor Label(s): A B C,Sensor SNs: 101 102 103
ICB-Sensor A's Latest Calibration: 2026-06-16_200149,kA1: 243751.8399144537,dA1: 0.0057726742083075,cA1: 411.7689793854952,kA2: 241958.92725444224,dA2: 0.0476688060397716,cA2: 988.4088682709262
ICB-Sensor B's Latest Calibration: 2026-07-13_144015,kB1: 237232.519645604,dB1: 0.0061295649381598,cB1: 1495.9423580087025,kB2: 244158.5349845135,dB2: 0.0470356649067218,cB2: 907.2925858930683
ICB-Sensor C's Latest Calibration: 2026-07-13_150133,kC1: 240872.98825154183,dC1: 0.0057161409988756,cC1: 1695.839576008264,kC2: 239878.37884814176,dC2: 0.0477211851108758,cC2: 1002.2369412705302
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Processed_Time
0.001559,+0713608,+0914245,0.001132,+0387659,+0694910,0.001367,+0255271,+0620670,10:54:43.319818
0.003419,+0713839,+0914472,0.002995,+0387477,+0694650,0.003228,+0254953,+0620623,10:54:43.319881
0.005276,+0713778,+0914295,0.004856,+0387659,+0694669,0.005093,+0255235,+0620759,10:54:43.319909
0.007132,+0713620,+0914221,0.006718,+0387725,+0694710,0.006952,+0255216,+0620727,10:54:43.320798
0.008991,+0713887,+0914295,0.008583,+0387665,+0694909,0.008811,+0255110,+0620704,10:54:43.320847
0.010849,+0713541,+0914058,0.010443,+0387725,+0694757,0.010676,+0255387,+0620812,10:54:43.345309
0.012709,+0713786,+0914442,0.012321,+0387563,+0694796,0.012539,+0255343,+0620821,10:54:43.345338
0.014571,+0713928,+0914211,0.014186,+0387612,+0694903,0.014401,+0255311,+0620532,10:54:43.345357
0.016434,+0713652,+0914158,0.016083,+0387347,+0694671,0.016294,+0255185,+0620650,10:54:43.345377
0.018292,+0713644,+0913932,0.017944,+0387739,+0694814,0.018153,+0255216,+0620666,10:54:43.345394
0.020149,+0713664,+0914131,0.019807,+0388014,+0694794,0.020012,+0255259,+0620764,10:54:43.345411
0.022005,+0713821,+0914006,0.021668,+0387853,+0694622,0.021873,+0255174,+0620739,10:54:43.345430
0.023865,+0713749,+0914078,0.023531,+0387466,+0694819,0.023733,+0255344,+0620804,10:54:43.345447
0.025730,+0713734,+0914039,0.025397,+0387670,+0694825,0.025593,+0255122,+0620639,10:54:43.346041
0.027588,+0713953,+0914250,0.027259,+0387570,+0694633,0.027452,+0255533,+0620469,10:54:43.408887
0.029453,+0713706,+0914361,0.029124,+0387674,+0694895,0.029315,+0255325,+0621010,10:54:43.408920
0.031321,+0713711,+0914295,0.030989,+0387922,+0694750,0.031178,+0255339,+0620861,10:54:43.408941
0.033187,+0713813,+0914177,0.032868,+0387691,+0694581,0.033057,+0255182,+0620759,10:54:43.408961
0.035044,+0713771,+0914134,0.034755,+0387760,+0694792,0.034920,+0255027,+0620711,10:54:43.408979
0.036905,+0713590,+0914221,0.036618,+0387644,+0694420,0.036779,+0255157,+0620820,10:54:43.408999
0.038762,+0713695,+0914309,0.038479,+0387602,+0694779,0.038648,+0255178,+0620503,10:54:43.409018
0.040622,+0713789,+0914208,0.040341,+0387546,+0694828,0.040507,+0255290,+0620512,10:54:43.409758
0.042482,+0713437,+0913709,0.042204,+0387718,+0694825,0.042368,+0255317,+0620791,10:54:43.409788
