===BEGIN_METADATA===
Test Name: 2026-07-21_150203_01,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_01,Probe Height (m): 0.7850
Note: Trials,50 ft/min
Test Type: None
Stalks: Medium A-IN no tops,Probe: v3.3
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 3,Sensor Label(s): A B C,Sensor SNs: 101 102 103
ICB-Sensor A's Latest Calibration: 2026-06-16_200149,kA1: 243751.8399144537,dA1: 0.0057726742083075,cA1: 411.7689793854952,kA2: 241958.92725444224,dA2: 0.0476688060397716,cA2: 988.4088682709262
ICB-Sensor B's Latest Calibration: 2026-07-13_144015,kB1: 237232.519645604,dB1: 0.0061295649381598,cB1: 1495.9423580087025,kB2: 244158.5349845135,dB2: 0.0470356649067218,cB2: 907.2925858930683
ICB-Sensor C's Latest Calibration: 2026-07-13_150133,kC1: 240872.98825154183,dC1: 0.0057161409988756,cC1: 1695.839576008264,kC2: 239878.37884814176,dC2: 0.0477211851108758,cC2: 1002.2369412705302
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Processed_Time
0.001598,+0745520,+0878361,0.001197,+0438859,+0699446,0.001433,+0273295,+0625378,15:02:08.173472
0.003459,+0745421,+0878003,0.003058,+0438488,+0699398,0.003292,+0273092,+0625357,15:02:08.173472
0.005316,+0745441,+0877963,0.004921,+0438704,+0699426,0.005151,+0272809,+0625323,15:02:08.173472
0.007174,+0745545,+0878365,0.006782,+0438544,+0699634,0.007010,+0273121,+0625412,15:02:08.173472
0.009030,+0745258,+0878060,0.008643,+0438619,+0699428,0.008871,+0272895,+0625104,15:02:08.173472
0.010891,+0745432,+0878608,0.010506,+0438596,+0699487,0.010730,+0272893,+0625169,15:02:08.182465
0.012751,+0745319,+0878101,0.012375,+0438599,+0699857,0.012598,+0273016,+0625267,15:02:08.182465
0.014613,+0745659,+0878358,0.014240,+0438429,+0699560,0.014460,+0273254,+0624990,15:02:08.182465
0.016488,+0745420,+0878200,0.016131,+0438560,+0699380,0.016333,+0272759,+0625296,15:02:08.182465
0.018344,+0745218,+0878165,0.017994,+0438730,+0699778,0.018194,+0273161,+0625048,15:02:08.182465
0.020200,+0745569,+0878128,0.019864,+0438587,+0699614,0.020055,+0272918,+0625161,15:02:08.182465
0.022057,+0745284,+0878130,0.021727,+0438683,+0699574,0.021917,+0273147,+0625245,15:02:08.182465
0.023915,+0745335,+0878324,0.023589,+0438457,+0699585,0.023783,+0273002,+0625191,15:02:08.182465
