===BEGIN_METADATA===
Test Name: 2026-07-21_153636_01,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_01,Probe Height (m): 0.7850
Note: Trials,25 ft/min
Test Type: None
Stalks: Medium A-IN with tops,Probe: v3.3
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 3,Sensor Label(s): A B C,Sensor SNs: 101 102 103
ICB-Sensor A's Latest Calibration: 2026-06-16_200149,kA1: 243751.8399144537,dA1: 0.0057726742083075,cA1: 411.7689793854952,kA2: 241958.92725444224,dA2: 0.0476688060397716,cA2: 988.4088682709262
ICB-Sensor B's Latest Calibration: 2026-07-13_144015,kB1: 237232.519645604,dB1: 0.0061295649381598,cB1: 1495.9423580087025,kB2: 244158.5349845135,dB2: 0.0470356649067218,cB2: 907.2925858930683
ICB-Sensor C's Latest Calibration: 2026-07-13_150133,kC1: 240872.98825154183,dC1: 0.0057161409988756,cC1: 1695.839576008264,kC2: 239878.37884814176,dC2: 0.0477211851108758,cC2: 1002.2369412705302
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Processed_Time
0.001599,+0753983,+0873071,0.001196,+0460571,+0696828,0.001424,+0274980,+0620729,15:36:39.133659
0.003456,+0754027,+0873404,0.003057,+0460124,+0696474,0.003283,+0274999,+0620879,15:36:39.133659
0.005313,+0754106,+0873184,0.004918,+0460241,+0696776,0.005142,+0274760,+0620639,15:36:39.133659
0.007171,+0754229,+0873031,0.006785,+0460077,+0696903,0.007001,+0274627,+0620795,15:36:39.133659
0.009027,+0753946,+0873046,0.008646,+0460234,+0696851,0.008864,+0274792,+0620877,15:36:39.133659
0.010886,+0754015,+0873059,0.010513,+0460082,+0696733,0.010723,+0274734,+0620856,15:36:39.133659
0.012746,+0754209,+0873157,0.012384,+0460385,+0696807,0.012586,+0274726,+0620743,15:36:39.133659
0.014606,+0753765,+0873128,0.014251,+0460436,+0696765,0.014451,+0274779,+0620709,15:36:39.133659
0.016473,+0754266,+0873202,0.016140,+0460580,+0696801,0.016332,+0274729,+0621041,15:36:39.133659
0.018329,+0753979,+0872874,0.018001,+0460325,+0696865,0.018191,+0274893,+0620792,15:36:39.193310
0.020190,+0754149,+0873081,0.019872,+0460513,+0696812,0.020058,+0274823,+0620795,15:36:39.193310
0.022050,+0754176,+0873231,0.021736,+0460615,+0696777,0.021921,+0274917,+0620705,15:36:39.193310
0.023919,+0753999,+0873258,0.023639,+0460697,+0696835,0.023782,+0274834,+0620896,15:36:39.193310
