===BEGIN_METADATA===
Test Name: 2026-07-23_165846_01,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_01,Probe Height (m): 0.7850
Note: Trials for fitmet
Test Type: None
Stalks: None,Probe: v3.3
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 3,Sensor Label(s): A B C,Sensor SNs: 101 102 103
ICB-Sensor A's Latest Calibration: 2026-06-16_200149,kA1: 243751.8399144537,dA1: 0.0057726742083075,cA1: 411.7689793854952,kA2: 241958.92725444224,dA2: 0.0476688060397716,cA2: 988.4088682709262
ICB-Sensor B's Latest Calibration: 2026-07-13_144015,kB1: 237232.519645604,dB1: 0.0061295649381598,cB1: 1495.9423580087025,kB2: 244158.5349845135,dB2: 0.0470356649067218,cB2: 907.2925858930683
ICB-Sensor C's Latest Calibration: 2026-07-13_150133,kC1: 240872.98825154183,dC1: 0.0057161409988756,cC1: 1695.839576008264,kC2: 239878.37884814176,dC2: 0.0477211851108758,cC2: 1002.2369412705302
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Processed_Time
0.001508,+0669173,+0886844,0.001113,+0202575,+0704366,0.001314,+0303051,+0627039,16:58:47.861475
0.003364,+0668821,+0887091,0.002974,+0202337,+0704552,0.003173,+0302608,+0627087,16:58:47.861475
0.005225,+0668964,+0887028,0.004835,+0202345,+0704603,0.005032,+0302870,+0627245,16:58:47.861475
0.007081,+0668737,+0886880,0.006696,+0202644,+0704183,0.006891,+0302814,+0627209,16:58:47.861475
0.008938,+0668762,+0886704,0.008557,+0202789,+0704605,0.008752,+0302807,+0627277,16:58:47.861475
0.010798,+0668898,+0887180,0.010418,+0202420,+0704614,0.010611,+0302876,+0626811,16:58:47.861475
0.012658,+0668934,+0886701,0.012287,+0202453,+0704679,0.012476,+0302845,+0627131,16:58:47.861475
0.014522,+0668902,+0886936,0.014152,+0202703,+0704403,0.014339,+0302814,+0627163,16:58:47.861475
0.016391,+0668734,+0887152,0.016057,+0202274,+0704284,0.016212,+0302894,+0627113,16:58:47.861475
0.018247,+0668842,+0886891,0.017919,+0202614,+0704649,0.018071,+0302845,+0627124,16:58:47.861475
0.020106,+0668838,+0886726,0.019784,+0202573,+0704843,0.019930,+0302656,+0627107,16:58:47.861475
0.021962,+0668904,+0886707,0.021645,+0202690,+0704513,0.021791,+0302752,+0626985,16:58:47.861475
0.023824,+0668821,+0886925,0.023506,+0202620,+0704502,0.023650,+0302526,+0627212,16:58:47.889955
0.025685,+0668859,+0886754,0.025375,+0202456,+0704344,0.025513,+0302630,+0627197,16:58:47.889955
0.027545,+0668852,+0886878,0.027238,+0202532,+0704576,0.027372,+0302812,+0627083,16:58:47.889955
0.029411,+0668868,+0886904,0.029136,+0202289,+0704667,0.029241,+0302610,+0627157,16:58:47.889955
0.031276,+0668971,+0886901,0.031000,+0202519,+0704585,0.031108,+0302644,+0627028,16:58:47.889955
0.033136,+0668578,+0886745,0.032867,+0202421,+0704453,0.032967,+0302651,+0627038,16:58:47.889955
0.034996,+0668749,+0886695,0.034728,+0202470,+0704524,0.034828,+0302543,+0627075,16:58:47.889955
0.036861,+0669031,+0886757,0.036596,+0202742,+0704525,0.036687,+0302667,+0626947,16:58:47.889955
0.038719,+0668825,+0886811,0.038474,+0202533,+0704537,0.038548,+0302630,+0627280,16:58:47.889955
0.040576,+0668902,+0886582,0.040336,+0202498,+0704524,0.040407,+0302604,+0627157,16:58:47.889955
0.042434,+0668941,+0886940,0.042201,+0202699,+0704495,0.042271,+0302699,+0626792,16:58:47.889955
0.044290,+0668961,+0886853,0.044062,+0202627,+0704375,0.044131,+0302594,+0627005,16:58:47.889955
0.046148,+0668940,+0886777,0.045926,+0202455,+0704472,0.045990,+0302926,+0627196,16:58:47.889955
0.048005,+0668773,+0887084,0.047788,+0202441,+0704502,0.047855,+0302766,+0627358,16:58:47.889955
0.049863,+0668827,+0886924,0.049649,+0202264,+0704229,0.049713,+0302746,+0627145,16:58:47.890954
0.051719,+0668732,+0886707,0.051514,+0202507,+0704501,0.051582,+0302894,+0627433,16:58:47.890954
0.053581,+0668855,+0886844,0.053375,+0202588,+0704534,0.053442,+0302581,+0627059,16:58:47.890954
0.055438,+0668959,+0886839,0.055246,+0202369,+0704553,0.055310,+0302629,+0626809,16:58:47.890954
0.057294,+0668985,+0886926,0.057107,+0202447,+0704341,0.057175,+0302719,+0627142,16:58:47.890954
0.059153,+0668785,+0886799,0.058968,+0202353,+0704424,0.059034,+0302665,+0627143,16:58:47.890954
0.061009,+0668725,+0886629,0.060842,+0202369,+0704473,0.060906,+0302796,+0626968,16:58:47.890954
0.062866,+0668826,+0886787,0.062703,+0202513,+0704498,0.062770,+0302846,+0626939,16:58:47.890954
0.064724,+0669106,+0886823,0.064570,+0202466,+0704678,0.064634,+0302723,+0627090,16:58:47.890954
0.066590,+0668850,+0887021,0.066431,+0202341,+0704519,0.066498,+0302595,+0626990,16:58:47.890954
0.068449,+0668718,+0886782,0.068292,+0202550,+0704374,0.068359,+0302592,+0627057,16:58:47.890954
0.070309,+0668906,+0886975,0.070163,+0202710,+0704456,0.070231,+0302848,+0627177,16:58:47.890954
0.072168,+0669097,+0887000,0.072024,+0202355,+0704278,0.072104,+0302840,+0627076,16:58:47.890954
0.074033,+0668904,+0886917,0.073895,+0202778,+0704697,0.073968,+0302790,+0627020,16:58:47.939839
0.075892,+0668889,+0886821,0.075762,+0202470,+0704333,0.075827,+0302778,+0627226,16:58:47.939839
0.077755,+0668717,+0886907,0.077623,+0202599,+0704434,0.077690,+0302605,+0627269,16:58:47.939839
0.079679,+0668824,+0886943,0.079544,+0202554,+0704660,0.079614,+0302692,+0627113,16:58:47.939839
0.081543,+0668792,+0886896,0.081411,+0202518,+0704525,0.081478,+0302811,+0627139,16:58:47.939839
0.083403,+0668777,+0886709,0.083274,+0202444,+0704459,0.083339,+0302779,+0627265,16:58:47.939839
0.085273,+0669112,+0886883,0.085142,+0202567,+0704444,0.085207,+0302750,+0627316,16:58:47.939839
0.087137,+0668983,+0886995,0.087003,+0202497,+0704395,0.087069,+0302563,+0626993,16:58:47.939839
0.088999,+0668861,+0886904,0.088866,+0202353,+0704588,0.088935,+0302568,+0626982,16:58:47.939839
0.090866,+0668942,+0886662,0.090733,+0202439,+0704376,0.090801,+0302629,+0627160,16:58:47.939839
0.092726,+0668781,+0886799,0.092594,+0202408,+0704548,0.092660,+0302727,+0627045,16:58:47.939839
0.094598,+0668938,+0886782,0.094465,+0202345,+0704450,0.094530,+0302904,+0626998,16:58:47.939839
0.096464,+0669006,+0886985,0.096326,+0202348,+0704587,0.096395,+0302559,+0626971,16:58:47.939839
0.098323,+0668674,+0886874,0.098190,+0202515,+0704616,0.098259,+0302862,+0627107,16:58:47.939839
0.100190,+0668871,+0886892,0.100056,+0202250,+0704404,0.100126,+0302635,+0627095,16:58:47.939839
0.102050,+0668928,+0886904,0.101917,+0202346,+0704661,0.101985,+0302764,+0627067,16:58:47.939839
0.103920,+0668787,+0886937,0.103779,+0202557,+0704624,0.103852,+0302803,+0627118,16:58:47.939839
0.105785,+0668854,+0886971,0.105640,+0202623,+0704410,0.105716,+0302426,+0627039,16:58:47.939839
0.107643,+0669032,+0886741,0.107501,+0202763,+0704483,0.107579,+0302648,+0626751,16:58:47.939839
0.109503,+0668781,+0886827,0.109362,+0202225,+0704806,0.109438,+0302683,+0627459,16:58:47.939839
0.111364,+0668718,+0886857,0.111223,+0202431,+0704679,0.111297,+0302603,+0626923,16:58:47.939839
0.113224,+0668856,+0886809,0.113086,+0202338,+0704292,0.113158,+0302924,+0627072,16:58:47.939839
0.115086,+0668873,+0886818,0.114947,+0202384,+0704426,0.115019,+0302570,+0627026,16:58:47.939839
0.116943,+0668850,+0886986,0.116808,+0202678,+0704528,0.116879,+0302846,+0626989,16:58:47.939839
0.118806,+0668963,+0886853,0.118669,+0202547,+0704469,0.118741,+0302658,+0627059,16:58:47.939839
