===BEGIN_METADATA===
Test Name: 2026-07-24_101147_01,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_01,Probe Height (m): 0.8400
Note: Field Shakedown
Test Type: Field - Short Stalks,Manual Steer
Stalks: X-tra Early,Probe: v4.0
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 3,Sensor Label(s): A B C,Sensor SNs: 101 102 103
ICB-Sensor A's Latest Calibration: 2026-06-16_200149,kA1: 243751.8399144537,dA1: 0.0057726742083075,cA1: 411.7689793854952,kA2: 241958.92725444224,dA2: 0.0476688060397716,cA2: 988.4088682709262
ICB-Sensor B's Latest Calibration: 2026-07-13_144015,kB1: 237232.519645604,dB1: 0.0061295649381598,cB1: 1495.9423580087025,kB2: 244158.5349845135,dB2: 0.0470356649067218,cB2: 907.2925858930683
ICB-Sensor C's Latest Calibration: 2026-07-13_150133,kC1: 240872.98825154183,dC1: 0.0057161409988756,cC1: 1695.839576008264,kC2: 239878.37884814176,dC2: 0.0477211851108758,cC2: 1002.2369412705302
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Processed_Time
0.001614,+0509227,+0740155,0.001213,+0083280,+0512478,0.001441,+0169706,+0490074,10:11:49.280629
0.003473,+0508639,+0740150,0.003075,+0082743,+0512427,0.003300,+0169427,+0490362,10:11:49.303595
0.005330,+0508819,+0740104,0.004937,+0082709,+0512391,0.005164,+0169266,+0489882,10:11:49.303595
0.007187,+0508567,+0740026,0.006799,+0082513,+0512644,0.007024,+0169334,+0490080,10:11:49.303595
0.009045,+0508449,+0739867,0.008661,+0082930,+0512799,0.008883,+0169384,+0490212,10:11:49.303595
0.010903,+0508719,+0739996,0.010522,+0082746,+0512238,0.010745,+0169214,+0489939,10:11:49.303595
0.012763,+0508988,+0739919,0.012396,+0082633,+0512522,0.012608,+0169444,+0490292,10:11:49.303595
0.014624,+0509024,+0740178,0.014262,+0082905,+0512279,0.014472,+0169220,+0490204,10:11:49.303595
0.016489,+0508775,+0740173,0.016162,+0082699,+0512571,0.016351,+0169251,+0490021,10:11:49.303595
0.018346,+0508661,+0740205,0.018030,+0082678,+0512692,0.018211,+0169320,+0490206,10:11:49.303595
0.020203,+0508712,+0740303,0.019894,+0082569,+0512653,0.020070,+0169075,+0489927,10:11:49.303595
0.022060,+0508784,+0740105,0.021757,+0082682,+0512520,0.021930,+0169381,+0490253,10:11:49.303595
0.023917,+0508681,+0740035,0.023619,+0082229,+0512472,0.023790,+0169231,+0490274,10:11:49.303595
0.025774,+0508645,+0740068,0.025483,+0082838,+0512494,0.025649,+0169482,+0490095,10:11:49.303595
0.027632,+0508887,+0739979,0.027345,+0082704,+0512267,0.027511,+0169255,+0490277,10:11:49.303595
0.029499,+0508760,+0740035,0.029207,+0082737,+0512545,0.029370,+0169099,+0490154,10:11:49.310621
0.031356,+0508553,+0740140,0.031070,+0082756,+0512459,0.031236,+0169154,+0490312,10:11:49.322607
0.033220,+0509012,+0740045,0.032940,+0082815,+0512356,0.033099,+0169478,+0489929,10:11:49.322607
0.035082,+0508713,+0739908,0.034808,+0082620,+0512341,0.034961,+0169326,+0490010,10:11:49.322607
0.036945,+0508757,+0739949,0.036714,+0082755,+0512753,0.036839,+0169128,+0490117,10:11:49.322607
0.038806,+0508741,+0740374,0.038598,+0083024,+0512649,0.038700,+0169540,+0489935,10:11:49.322607
0.040663,+0508856,+0739964,0.040461,+0082841,+0512643,0.040560,+0169337,+0490546,10:11:49.322607
0.042520,+0508688,+0739810,0.042323,+0082488,+0512542,0.042419,+0169435,+0490127,10:11:49.322607
0.044383,+0508862,+0740107,0.044185,+0082678,+0512365,0.044279,+0169401,+0490157,10:11:49.322607
0.046240,+0508775,+0740323,0.046047,+0082935,+0512678,0.046144,+0169316,+0490454,10:11:49.322607
0.048100,+0508777,+0740241,0.047909,+0082666,+0512776,0.048004,+0169369,+0489921,10:11:49.322607
0.049957,+0508753,+0740113,0.049774,+0082807,+0512222,0.049864,+0169325,+0490022,10:11:49.322607
0.051820,+0508945,+0740156,0.051636,+0082753,+0512671,0.051725,+0169408,+0490165,10:11:49.322607
0.053677,+0508914,+0739656,0.053498,+0082634,+0512423,0.053585,+0169591,+0490264,10:11:49.322607
0.055535,+0508705,+0739949,0.055360,+0083016,+0512602,0.055450,+0169369,+0490203,10:11:49.322607
0.057397,+0508641,+0740258,0.057222,+0082478,+0512585,0.057310,+0169277,+0490182,10:11:49.338626
0.059259,+0508590,+0740232,0.059086,+0082565,+0512420,0.059171,+0169569,+0490419,10:11:49.338626
0.061125,+0508600,+0739928,0.060947,+0082636,+0512430,0.061033,+0169287,+0489880,10:11:49.338626
0.062982,+0508831,+0739858,0.062813,+0082715,+0512495,0.062892,+0169129,+0490196,10:11:49.416616
0.064841,+0508854,+0739889,0.064677,+0082619,+0512393,0.064754,+0169443,+0490119,10:11:49.417591
0.066701,+0508627,+0739986,0.066541,+0082665,+0512512,0.066614,+0169283,+0489840,10:11:49.418537
0.068562,+0508853,+0740034,0.068403,+0082787,+0512512,0.068474,+0169200,+0490169,10:11:49.418537
0.070419,+0508553,+0740296,0.070264,+0082801,+0512428,0.070335,+0169171,+0490121,10:11:49.418537
0.072281,+0508775,+0740388,0.072126,+0082783,+0512540,0.072199,+0169151,+0490421,10:11:49.418537
0.074145,+0508742,+0740032,0.073988,+0082741,+0512565,0.074058,+0169245,+0490357,10:11:49.418537
0.076004,+0508738,+0740076,0.075856,+0082678,+0512439,0.075920,+0169310,+0490007,10:11:49.418537
0.077867,+0508616,+0740122,0.077718,+0082606,+0512635,0.077785,+0169338,+0490075,10:11:49.418537
0.079724,+0508660,+0739927,0.079580,+0082778,+0512487,0.079644,+0169415,+0490231,10:11:49.419527
0.081591,+0508780,+0740239,0.081450,+0082573,+0512350,0.081520,+0169334,+0490226,10:11:49.419527
0.083451,+0508714,+0740196,0.083319,+0082745,+0512611,0.083384,+0169302,+0490249,10:11:49.419527
0.085349,+0508918,+0740132,0.085186,+0082465,+0512356,0.085273,+0169311,+0490251,10:11:49.419527
0.087222,+0508884,+0739930,0.087093,+0082750,+0512395,0.087157,+0169261,+0489967,10:11:49.419527
0.089085,+0508905,+0740084,0.088955,+0082500,+0512475,0.089019,+0169169,+0490324,10:11:49.419527
0.090946,+0508864,+0740133,0.090817,+0082522,+0512353,0.090882,+0169482,+0490146,10:11:49.419527
0.092812,+0508600,+0739964,0.092680,+0082801,+0512600,0.092747,+0169305,+0490127,10:11:49.419527
0.094671,+0508770,+0739992,0.094542,+0082569,+0512325,0.094606,+0169348,+0490103,10:11:49.419527
0.096538,+0508645,+0740252,0.096406,+0082435,+0512529,0.096470,+0169330,+0490215,10:11:49.419527
0.098401,+0508832,+0740037,0.098268,+0082708,+0512262,0.098334,+0169272,+0490171,10:11:49.419527
0.100259,+0508671,+0740245,0.100129,+0082922,+0512460,0.100195,+0169321,+0490160,10:11:49.419527
0.102122,+0508790,+0739994,0.101993,+0082882,+0512307,0.102058,+0169218,+0490284,10:11:49.419527
0.103984,+0508686,+0740204,0.103855,+0082958,+0512616,0.103919,+0169399,+0490390,10:11:49.419527
0.105848,+0508926,+0740044,0.105719,+0082844,+0512297,0.105783,+0169378,+0489912,10:11:49.419527
0.107709,+0508784,+0739877,0.107581,+0082939,+0512396,0.107645,+0169502,+0490293,10:11:49.419527
0.109572,+0508558,+0739980,0.109443,+0082732,+0512447,0.109507,+0169376,+0490255,10:11:49.419527
0.111433,+0508716,+0740028,0.111304,+0082873,+0512465,0.111369,+0169351,+0490266,10:11:49.419527
0.113295,+0508719,+0740188,0.113166,+0082908,+0512669,0.113231,+0169498,+0490363,10:11:49.420526
0.115157,+0508896,+0739999,0.115028,+0082765,+0512489,0.115092,+0169385,+0490094,10:11:49.420526
0.117021,+0508730,+0740031,0.116890,+0082366,+0512526,0.116956,+0169303,+0490187,10:11:49.420526
0.118883,+0508378,+0740055,0.118754,+0082679,+0512465,0.118818,+0169308,+0490225,10:11:49.420526
0.120745,+0508677,+0740105,0.120616,+0082766,+0512351,0.120681,+0169368,+0490410,10:11:49.421612
0.122609,+0508671,+0740057,0.122481,+0082703,+0512349,0.122545,+0169449,+0490487,10:11:49.421612
0.124473,+0508169,+0739904,0.124343,+0082888,+0512355,0.124407,+0169397,+0490131,10:11:49.421612
0.126334,+0508675,+0740237,0.126205,+0082695,+0512368,0.126269,+0169408,+0490170,10:11:49.421612
0.128201,+0508836,+0740061,0.128069,+0082527,+0512459,0.128137,+0169226,+0490310,10:11:49.421612
0.130065,+0508820,+0740183,0.129931,+0082759,+0512400,0.129997,+0169301,+0490364,10:11:49.421612
0.131929,+0508852,+0740105,0.131799,+0082393,+0512727,0.131864,+0169694,+0490455,10:11:49.421612
0.133794,+0508670,+0739967,0.133662,+0082528,+0512431,0.133727,+0169496,+0490025,10:11:49.421612
0.135705,+0508690,+0740041,0.135528,+0082745,+0512531,0.135639,+0169090,+0490220,10:11:49.421612
0.137614,+0508634,+0739935,0.137486,+0082809,+0512348,0.137550,+0169335,+0489814,10:11:49.421612
0.139476,+0508522,+0740023,0.139348,+0082708,+0512430,0.139412,+0169489,+0490134,10:11:49.421612
0.141338,+0508696,+0740096,0.141209,+0082831,+0512298,0.141274,+0169409,+0490172,10:11:49.421612
0.143200,+0508826,+0740014,0.143071,+0082542,+0512359,0.143136,+0169310,+0490123,10:11:49.421612
0.145062,+0508795,+0739849,0.144933,+0082700,+0512499,0.144998,+0169247,+0490068,10:11:49.421612
0.146923,+0508658,+0740081,0.146795,+0082941,+0512647,0.146859,+0169459,+0490322,10:11:49.421612
0.148786,+0508463,+0740344,0.148657,+0082477,+0512516,0.148721,+0169293,+0490092,10:11:49.421612
0.150647,+0508647,+0740073,0.150519,+0082596,+0512394,0.150583,+0169185,+0490082,10:11:49.421612
0.152511,+0508714,+0740234,0.152382,+0082716,+0512342,0.152447,+0169416,+0490359,10:11:49.421612
0.154373,+0508685,+0740001,0.154244,+0082662,+0512440,0.154309,+0169608,+0490197,10:11:49.421612
0.156237,+0508497,+0739757,0.156109,+0082376,+0512548,0.156173,+0169306,+0490088,10:11:49.421612
0.158107,+0508524,+0740057,0.157972,+0082849,+0512296,0.158038,+0169474,+0490205,10:11:49.421612
0.159964,+0508924,+0739836,0.159834,+0082750,+0512716,0.159898,+0169219,+0490173,10:11:49.421612
0.161834,+0508721,+0739841,0.161701,+0082706,+0512547,0.161770,+0169295,+0490006,10:11:49.421612
0.163698,+0508595,+0739786,0.163563,+0082905,+0512154,0.163631,+0169327,+0489909,10:11:49.421612
0.165561,+0508632,+0739973,0.165433,+0082472,+0512394,0.165497,+0169369,+0490235,10:11:49.423552
0.167430,+0508665,+0740094,0.167295,+0082636,+0512185,0.167362,+0169134,+0490125,10:11:49.423552
0.169288,+0508444,+0740175,0.169157,+0082553,+0512359,0.169221,+0169251,+0490216,10:11:49.423552
0.171158,+0508674,+0740207,0.171027,+0082714,+0512363,0.171094,+0169400,+0490296,10:11:49.423552
0.173022,+0508511,+0740034,0.172888,+0082632,+0512274,0.172954,+0169023,+0490464,10:11:49.423552
0.174885,+0508754,+0740182,0.174757,+0082420,+0512402,0.174821,+0169512,+0490311,10:11:49.423552
0.176754,+0508721,+0740287,0.176620,+0082542,+0512657,0.176686,+0169377,+0490356,10:11:49.423552
0.178613,+0508453,+0739861,0.178482,+0082667,+0512405,0.178546,+0169282,+0490306,10:11:49.423552
0.180482,+0508756,+0740009,0.180350,+0082526,+0512467,0.180418,+0169419,+0490111,10:11:49.423552
0.182353,+0508881,+0739946,0.182222,+0082699,+0512625,0.182287,+0169693,+0490162,10:11:49.423552
0.184220,+0508652,+0740270,0.184090,+0082961,+0512201,0.184155,+0169727,+0490027,10:11:49.423552
0.186141,+0508681,+0740024,0.185959,+0082578,+0512388,0.186076,+0169256,+0490223,10:11:49.423552
0.188004,+0508594,+0740045,0.187875,+0082756,+0512532,0.187939,+0169246,+0490384,10:11:49.423552
0.189879,+0508877,+0739954,0.189751,+0082498,+0512419,0.189815,+0169233,+0489809,10:11:49.423552
0.191741,+0508531,+0740115,0.191613,+0082849,+0512536,0.191677,+0169128,+0490121,10:11:49.424545
0.193603,+0508579,+0740009,0.193474,+0082800,+0512252,0.193539,+0169393,+0490249,10:11:49.424545
0.195467,+0508967,+0740014,0.195336,+0082768,+0512375,0.195402,+0169455,+0490076,10:11:49.424545
0.197332,+0508733,+0739900,0.197198,+0082755,+0512235,0.197262,+0169150,+0490280,10:11:49.424545
0.199194,+0508463,+0740108,0.199066,+0082797,+0512561,0.199130,+0169156,+0489892,10:11:49.424545
0.201064,+0508730,+0740140,0.200928,+0082921,+0512706,0.200996,+0169290,+0490193,10:11:49.424545
0.202921,+0508653,+0740054,0.202789,+0082694,+0512127,0.202855,+0169436,+0490051,10:11:49.424545
0.204791,+0508683,+0739762,0.204659,+0082788,+0512327,0.204726,+0169264,+0490103,10:11:49.424545
0.206655,+0508716,+0740103,0.206521,+0082570,+0512539,0.206587,+0169308,+0490190,10:11:49.424545
0.208518,+0508711,+0740051,0.208390,+0082626,+0512402,0.208454,+0169082,+0490172,10:11:49.424545
0.210387,+0508564,+0739991,0.210253,+0082460,+0512417,0.210320,+0169287,+0490164,10:11:49.424545
0.212246,+0508463,+0740250,0.212115,+0082694,+0512457,0.212179,+0169313,+0490297,10:11:49.424545
0.214115,+0508604,+0740254,0.213984,+0082731,+0512486,0.214051,+0169284,+0490225,10:11:49.424545
0.215978,+0508657,+0739976,0.215846,+0082694,+0512445,0.215912,+0169395,+0489982,10:11:49.425531
0.217842,+0508686,+0740168,0.217714,+0082690,+0512374,0.217778,+0169329,+0490310,10:11:49.425531
0.219712,+0508655,+0739798,0.219576,+0082684,+0512329,0.219643,+0169361,+0490068,10:11:49.425531
0.221569,+0508418,+0739715,0.221438,+0082676,+0512273,0.221505,+0169322,+0490179,10:11:49.427524
0.223432,+0508584,+0740015,0.223301,+0082854,+0512575,0.223367,+0169277,+0490275,10:11:49.427524
0.225296,+0508822,+0740110,0.225163,+0082366,+0512192,0.225228,+0169443,+0490212,10:11:49.427524
0.227158,+0508522,+0739968,0.227025,+0083016,+0512506,0.227094,+0169287,+0490090,10:11:49.427524
0.229027,+0508679,+0739972,0.228893,+0082904,+0512189,0.228961,+0169248,+0489932,10:11:49.427524
0.230890,+0508732,+0740177,0.230755,+0082681,+0512540,0.230825,+0169286,+0490162,10:11:49.427524
0.232766,+0508749,+0740113,0.232637,+0082801,+0512558,0.232702,+0169346,+0490182,10:11:49.427524
0.234628,+0508622,+0739782,0.234498,+0082777,+0512338,0.234563,+0169182,+0490143,10:11:49.427524
0.236532,+0508664,+0739885,0.236395,+0082767,+0512467,0.236468,+0169034,+0490217,10:11:49.427524
0.238424,+0508941,+0739901,0.238294,+0082764,+0512585,0.238359,+0169226,+0490337,10:11:49.427524
0.240288,+0508642,+0739984,0.240156,+0082581,+0512573,0.240220,+0169199,+0490040,10:11:49.427524
0.242151,+0508668,+0739947,0.242023,+0082502,+0512343,0.242087,+0169072,+0490309,10:11:49.427524
0.244021,+0508744,+0740063,0.243885,+0082570,+0512388,0.243952,+0169414,+0490043,10:11:49.427524
0.245881,+0508770,+0739954,0.245747,+0082897,+0512225,0.245813,+0169459,+0489924,10:11:49.427524
0.247748,+0508656,+0740043,0.247617,+0082692,+0512412,0.247684,+0169518,+0490191,10:11:49.427524
0.249612,+0508332,+0740125,0.249479,+0082691,+0512541,0.249544,+0169329,+0490293,10:11:49.428675
0.251475,+0508653,+0740105,0.251347,+0082568,+0512278,0.251411,+0169166,+0490310,10:11:49.428675
0.253344,+0508600,+0740173,0.253209,+0082817,+0512297,0.253275,+0169370,+0490366,10:11:49.428675
0.255203,+0508921,+0739997,0.255070,+0082603,+0512155,0.255135,+0169161,+0490142,10:11:49.428675
