===BEGIN_METADATA===
Test Name: 2026-07-24_103017_01,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_01,Probe Height (m): 0.8400
Note: Field Shakedown,video
Test Type: Field - Short Stalks,Manual Steer,50ft/s
Stalks: X-tra Early,Probe: v4.0
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 3,Sensor Label(s): A B C,Sensor SNs: 101 102 103
ICB-Sensor A's Latest Calibration: 2026-06-16_200149,kA1: 243751.8399144537,dA1: 0.0057726742083075,cA1: 411.7689793854952,kA2: 241958.92725444224,dA2: 0.0476688060397716,cA2: 988.4088682709262
ICB-Sensor B's Latest Calibration: 2026-07-13_144015,kB1: 237232.519645604,dB1: 0.0061295649381598,cB1: 1495.9423580087025,kB2: 244158.5349845135,dB2: 0.0470356649067218,cB2: 907.2925858930683
ICB-Sensor C's Latest Calibration: 2026-07-13_150133,kC1: 240872.98825154183,dC1: 0.0057161409988756,cC1: 1695.839576008264,kC2: 239878.37884814176,dC2: 0.0477211851108758,cC2: 1002.2369412705302
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Processed_Time
0.001591,+0469151,+0698607,0.001165,+0025620,+0436682,0.001391,+0145186,+0462160,10:30:20.048474
0.003449,+0468442,+0698844,0.003027,+0024617,+0436883,0.003255,+0144788,+0462221,10:30:20.048474
0.005309,+0468283,+0698740,0.004889,+0024823,+0436938,0.005114,+0144732,+0462221,10:30:20.048474
0.007167,+0468490,+0698878,0.006754,+0024533,+0436895,0.006976,+0144785,+0462148,10:30:20.048474
0.009024,+0468380,+0698791,0.008617,+0024564,+0436722,0.008836,+0144775,+0462092,10:30:20.049472
0.010885,+0468353,+0698824,0.010479,+0024640,+0436917,0.010696,+0144621,+0462178,10:30:20.069465
0.012747,+0468401,+0698740,0.012359,+0024656,+0436774,0.012559,+0145018,+0462244,10:30:20.069465
0.014608,+0468609,+0698901,0.014225,+0024819,+0436757,0.014421,+0144427,+0462058,10:30:20.069465
0.016475,+0468267,+0698851,0.016139,+0024610,+0436816,0.016289,+0144973,+0462229,10:30:20.069465
0.018338,+0468442,+0698962,0.018001,+0024566,+0436607,0.018148,+0144679,+0461905,10:30:20.069465
0.020198,+0468452,+0698888,0.019867,+0025073,+0436948,0.020008,+0144877,+0462226,10:30:20.069465
0.022063,+0468554,+0698701,0.021730,+0024733,+0437036,0.021870,+0144738,+0461966,10:30:20.069465
0.023920,+0468576,+0698530,0.023593,+0024631,+0436773,0.023730,+0145020,+0461996,10:30:20.069465
