===BEGIN_METADATA===
Test Name: 2026-08-14_150636_01,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_01,Probe Height (m): 0.8400
Note: field hardware test, yaw at end
Test Type: Shakedown
Stalks: Plot 150 (X-tra) SN,Probe: v4.1,Speed: 50ft/s
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 3,Sensor Label(s): A B C,Sensor SNs: 101 102 103
ICB-Sensor A's Latest Calibration: 2026-06-16_200149,kA1: 243751.8399144537,dA1: 0.0057726742083075,cA1: 411.7689793854952,kA2: 241958.92725444224,dA2: 0.0476688060397716,cA2: 988.4088682709262
ICB-Sensor B's Latest Calibration: 2026-07-13_144015,kB1: 237232.519645604,dB1: 0.0061295649381598,cB1: 1495.9423580087025,kB2: 244158.5349845135,dB2: 0.0470356649067218,cB2: 907.2925858930683
ICB-Sensor C's Latest Calibration: 2026-07-13_150133,kC1: 240872.98825154183,dC1: 0.0057161409988756,cC1: 1695.839576008264,kC2: 239878.37884814176,dC2: 0.0477211851108758,cC2: 1002.2369412705302
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Processed_Time
0.001602,+0727821,+0951990,0.001200,+0232258,+0735890,0.001427,+0301499,+0666829,15:06:37.273573
0.003458,+0727962,+0952028,0.003061,+0231990,+0735775,0.003286,+0301504,+0666953,15:06:37.273573
0.005314,+0727649,+0951958,0.004932,+0232170,+0736119,0.005147,+0301194,+0667050,15:06:37.273573
0.007173,+0728022,+0951929,0.006793,+0232223,+0735918,0.007005,+0301426,+0667100,15:06:37.273573
0.009029,+0727817,+0951921,0.008654,+0232228,+0736073,0.008868,+0301557,+0666982,15:06:37.290602
0.010887,+0727587,+0951729,0.010526,+0232210,+0735894,0.010727,+0301410,+0666909,15:06:37.291601
0.012748,+0727717,+0951950,0.012403,+0232189,+0735726,0.012589,+0301364,+0666978,15:06:37.291601
0.014608,+0727802,+0951878,0.014268,+0232169,+0735748,0.014456,+0301315,+0666889,15:06:37.291601
0.016476,+0727756,+0952100,0.016171,+0232101,+0735829,0.016326,+0301336,+0667070,15:06:37.291601
0.018336,+0727602,+0951843,0.018048,+0232205,+0735727,0.018193,+0301170,+0667064,15:06:37.291601
0.020198,+0727925,+0951714,0.019913,+0232206,+0735634,0.020056,+0301016,+0667048,15:06:37.291601
0.022077,+0727645,+0952041,0.021794,+0232089,+0735761,0.021930,+0301231,+0666950,15:06:37.291601
0.023939,+0728219,+0952164,0.023691,+0232471,+0736163,0.023802,+0301111,+0667028,15:06:37.291601
0.025799,+0727882,+0952118,0.025552,+0232200,+0735982,0.025661,+0301287,+0666836,15:06:37.291601
0.027656,+0727921,+0952105,0.027416,+0232235,+0735853,0.027520,+0301233,+0666640,15:06:37.291601
0.029512,+0727793,+0952022,0.029278,+0232107,+0735939,0.029383,+0301264,+0666946,15:06:37.291601
0.031370,+0727677,+0951954,0.031143,+0232269,+0736026,0.031241,+0301132,+0666824,15:06:37.291601
0.033227,+0727996,+0952204,0.033010,+0232395,+0735981,0.033101,+0301549,+0666937,15:06:37.291601
0.035089,+0728094,+0951985,0.034874,+0232181,+0735867,0.034960,+0301200,+0666796,15:06:37.291601
0.036945,+0727600,+0951877,0.036735,+0232493,+0736105,0.036825,+0301248,+0667161,15:06:37.291601
0.038806,+0727887,+0951947,0.038596,+0232165,+0735839,0.038683,+0301368,+0666669,15:06:37.291601
0.040662,+0727988,+0952121,0.040457,+0232305,+0735793,0.040545,+0301386,+0667090,15:06:37.291601
0.042518,+0727952,+0952010,0.042318,+0232086,+0735918,0.042405,+0301396,+0666869,15:06:37.291601
0.044375,+0727994,+0952025,0.044179,+0232231,+0735697,0.044266,+0301346,+0666836,15:06:37.291601
0.046233,+0727807,+0951960,0.046040,+0232100,+0735789,0.046127,+0301108,+0666922,15:06:37.291601
0.048091,+0727857,+0952106,0.047901,+0232100,+0735530,0.047986,+0301320,+0666792,15:06:37.291601
0.049948,+0727849,+0952148,0.049762,+0232295,+0735853,0.049849,+0301337,+0666729,15:06:37.291601
0.051814,+0727817,+0952052,0.051623,+0232448,+0735859,0.051708,+0301141,+0666943,15:06:37.292601
0.053670,+0727804,+0952229,0.053491,+0232126,+0735913,0.053569,+0301453,+0667090,15:06:37.337621
0.055526,+0727525,+0951879,0.055352,+0232257,+0735963,0.055430,+0301340,+0666881,15:06:37.337621
0.057385,+0727672,+0952092,0.057213,+0232459,+0735823,0.057289,+0301299,+0666993,15:06:37.337621
0.059241,+0727715,+0952164,0.059074,+0232302,+0735751,0.059148,+0301431,+0666937,15:06:37.337621
0.061099,+0727676,+0951868,0.060935,+0232324,+0735856,0.061007,+0301307,+0666935,15:06:37.337621
0.062962,+0727999,+0951637,0.062802,+0232113,+0735911,0.062873,+0301278,+0666880,15:06:37.337621
0.064824,+0727769,+0952013,0.064669,+0232109,+0735909,0.064734,+0301453,+0666879,15:06:37.337621
0.066710,+0727695,+0951894,0.066538,+0232102,+0736064,0.066644,+0301329,+0666964,15:06:37.337621
0.068585,+0727673,+0951951,0.068453,+0232223,+0735762,0.068520,+0301317,+0666935,15:06:37.337621
0.070448,+0727681,+0952011,0.070314,+0232154,+0735897,0.070381,+0301353,+0666995,15:06:37.337621
0.072305,+0727824,+0952299,0.072176,+0232248,+0735891,0.072241,+0301363,+0666710,15:06:37.337621
0.074172,+0727812,+0951580,0.074039,+0232007,+0736009,0.074105,+0301230,+0666861,15:06:37.337621
0.076030,+0727877,+0952057,0.075900,+0232146,+0735999,0.075964,+0301546,+0666893,15:06:37.337621
0.077895,+0727787,+0951895,0.077763,+0232021,+0735900,0.077827,+0301307,+0667128,15:06:37.337621
0.079756,+0727807,+0951877,0.079624,+0232146,+0735826,0.079690,+0301054,+0666648,15:06:37.337621
0.081615,+0727763,+0951956,0.081485,+0232272,+0735883,0.081551,+0301500,+0667007,15:06:37.337621
0.083475,+0727811,+0951920,0.083346,+0232052,+0735844,0.083410,+0301282,+0667018,15:06:37.337621
0.085336,+0727998,+0951984,0.085207,+0232094,+0736015,0.085272,+0301194,+0667025,15:06:37.337621
0.087197,+0727621,+0952102,0.087068,+0232280,+0735465,0.087133,+0301600,+0666689,15:06:37.337621
0.089058,+0727743,+0951686,0.088929,+0232119,+0736029,0.088994,+0301503,+0666932,15:06:37.337621
0.090919,+0727752,+0952020,0.090791,+0232295,+0735855,0.090855,+0301361,+0667146,15:06:37.337621
0.092780,+0727859,+0951855,0.092652,+0232217,+0735809,0.092716,+0301356,+0667112,15:06:37.337621
0.094646,+0728063,+0951960,0.094518,+0232400,+0735945,0.094582,+0301469,+0667029,15:06:37.337621
0.096509,+0727899,+0952037,0.096380,+0232090,+0736049,0.096444,+0301499,+0666728,15:06:37.337621
0.098370,+0727832,+0952223,0.098241,+0232252,+0735710,0.098305,+0301260,+0666829,15:06:37.337621
0.100234,+0727965,+0952305,0.100102,+0232342,+0735885,0.100169,+0301549,+0666867,15:06:37.338618
0.102098,+0727759,+0952085,0.101963,+0232415,+0735776,0.102030,+0301666,+0666839,15:06:37.338618
0.103962,+0727709,+0951924,0.103833,+0232345,+0735889,0.103897,+0301586,+0666954,15:06:37.338618
0.105830,+0727869,+0952084,0.105695,+0232320,+0735679,0.105761,+0301397,+0666750,15:06:37.338618
0.107687,+0728079,+0951820,0.107556,+0232353,+0735868,0.107621,+0301113,+0666889,15:06:37.338618
0.109558,+0727759,+0952235,0.109425,+0232234,+0735831,0.109493,+0301481,+0666853,15:06:37.338618
0.111421,+0727653,+0951992,0.111287,+0232317,+0735870,0.111352,+0301587,+0666981,15:06:37.338618
0.113285,+0727795,+0952051,0.113155,+0232347,+0735819,0.113220,+0301195,+0666717,15:06:37.338618
0.115153,+0727709,+0951879,0.115019,+0232253,+0735840,0.115085,+0301459,+0666967,15:06:37.338618
0.117042,+0727779,+0951806,0.116898,+0232094,+0735708,0.116978,+0301404,+0666884,15:06:37.338618
0.118939,+0727717,+0951909,0.118790,+0232128,+0736043,0.118875,+0301152,+0667051,15:06:37.338618
0.120805,+0727856,+0952047,0.120672,+0232252,+0735736,0.120741,+0301355,+0667086,15:06:37.338618
0.122667,+0727869,+0952095,0.122533,+0232527,+0736032,0.122600,+0301397,+0666851,15:06:37.338618
0.124526,+0727955,+0952096,0.124394,+0232266,+0735788,0.124459,+0301177,+0667044,15:06:37.338618
0.126385,+0727799,+0952059,0.126255,+0232260,+0735799,0.126320,+0301486,+0666895,15:06:37.338618
0.128247,+0727705,+0952019,0.128117,+0232269,+0735855,0.128183,+0301503,+0666764,15:06:37.338618
