===BEGIN_METADATA===
Test Name: 2026-08-14_151326_01,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_01,Probe Height (m): 0.8400
Note: field hardware test
Test Type: Shakedown
Stalks: Plot 200 (X-tra) SN,Probe: v4.1,Speed: 50ft/s
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 3,Sensor Label(s): A B C,Sensor SNs: 101 102 103
ICB-Sensor A's Latest Calibration: 2026-06-16_200149,kA1: 243751.8399144537,dA1: 0.0057726742083075,cA1: 411.7689793854952,kA2: 241958.92725444224,dA2: 0.0476688060397716,cA2: 988.4088682709262
ICB-Sensor B's Latest Calibration: 2026-07-13_144015,kB1: 237232.519645604,dB1: 0.0061295649381598,cB1: 1495.9423580087025,kB2: 244158.5349845135,dB2: 0.0470356649067218,cB2: 907.2925858930683
ICB-Sensor C's Latest Calibration: 2026-07-13_150133,kC1: 240872.98825154183,dC1: 0.0057161409988756,cC1: 1695.839576008264,kC2: 239878.37884814176,dC2: 0.0477211851108758,cC2: 1002.2369412705302
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Processed_Time
0.001565,+0715228,+0937817,0.001141,+0224100,+0724938,0.001373,+0290513,+0656583,15:13:27.431508
0.003426,+0714989,+0937788,0.003005,+0223902,+0725128,0.003232,+0290101,+0656527,15:13:27.431508
0.005284,+0714922,+0938079,0.004866,+0224057,+0725085,0.005092,+0290339,+0656368,15:13:27.431508
0.007140,+0715012,+0937902,0.006727,+0223757,+0725336,0.006952,+0290138,+0656760,15:13:27.431508
0.008998,+0714919,+0937812,0.008590,+0224050,+0725290,0.008813,+0290357,+0656352,15:13:27.431508
0.010857,+0714899,+0937561,0.010451,+0223918,+0725054,0.010676,+0290528,+0656288,15:13:27.450151
0.012717,+0715169,+0937857,0.012342,+0223887,+0725052,0.012537,+0290342,+0656528,15:13:27.450151
0.014578,+0715017,+0937690,0.014207,+0223901,+0725195,0.014397,+0290218,+0656222,15:13:27.450151
0.016451,+0714995,+0937942,0.016117,+0223896,+0724850,0.016271,+0290389,+0656323,15:13:27.450151
0.018310,+0714886,+0937825,0.017980,+0223950,+0724866,0.018130,+0290193,+0656605,15:13:27.450151
0.020166,+0715282,+0937823,0.019843,+0223734,+0725164,0.019991,+0290313,+0656658,15:13:27.450151
0.022023,+0714812,+0937961,0.021708,+0224085,+0724955,0.021852,+0290267,+0656631,15:13:27.450151
0.023883,+0714785,+0937849,0.023573,+0223744,+0724893,0.023711,+0290496,+0656629,15:13:27.451205
