===BEGIN_METADATA===
Test Name: 2026-08-18_143921_01,yyyy-mm-dd_hhmmss_{probe#/nano_id}
Probe ID: Nano_01,Probe Height (m): 0.8400
Note: A: Temp compensated  101,B: disconnected,C: Not temp compensated 103. Strains gauges are placed in a box at room temp. The first minute is at room temp,then a heat gun is shot into the middle of the box for the next 4 minutes. Near minute marks 2, 3, 4, and 5, the heat gun was removed to get a view of the steady state without wind noise. The starting temp was about 70 F, and the final temp was at least 85F.
Test Type: ICB Comparison
Stalks: Plot 200-end (X-tra) SN,Probe: v4.1,Speed: 50ft/s
Analog-to-Digital Converter: ADS1220,Mode: Turbo,Data Rate: DR_330SPS,Analog Excitation/Reference Voltage: 5.1V +/-2mV
DAQ Microcontroller: Arduino Nano ESP32,Data-stream Connection: Wi-Fi
Number of ICB-Sensors: 3,Sensor Label(s): A B C,Sensor SNs: 101 102 103
ICB-Sensor A's Latest Calibration: 2026-06-16_200149,kA1: 243751.8399144537,dA1: 0.0057726742083075,cA1: 411.7689793854952,kA2: 241958.92725444224,dA2: 0.0476688060397716,cA2: 988.4088682709262
ICB-Sensor B's Latest Calibration: 2026-07-13_144015,kB1: 237232.519645604,dB1: 0.0061295649381598,cB1: 1495.9423580087025,kB2: 244158.5349845135,dB2: 0.0470356649067218,cB2: 907.2925858930683
ICB-Sensor C's Latest Calibration: 2026-07-13_150133,kC1: 240872.98825154183,dC1: 0.0057161409988756,cC1: 1695.839576008264,kC2: 239878.37884814176,dC2: 0.0477211851108758,cC2: 1002.2369412705302
===END_METADATA===
===BEGIN_DATA===
Time_A_sec,Strain_A1_raw,Strain_A2_raw,Time_B_sec,Strain_B1_raw,Strain_B2_raw,Time_C_sec,Strain_C1_raw,Strain_C2_raw,Processed_Time
0.001490,+6980001,+0284194,0.001141,-8388608,-8388608,0.001398,+2833215,+0644793,14:39:25.284225
0.003346,+6978784,+0284370,0.003002,-8388608,-8388608,0.003257,+2832909,+0644429,14:39:25.284284
0.005201,+6978706,+0284376,0.004864,-8388608,-8388608,0.005126,+2832758,+0644436,14:39:25.284320
0.007059,+6978722,+0284266,0.006728,-8388608,-8388608,0.006985,+2832573,+0644417,14:39:25.285367
0.008915,+6978681,+0284490,0.008589,-8388608,-8388608,0.008846,+2832671,+0644536,14:39:25.285459
0.010776,+6978670,+0284150,0.010456,-8388608,-8388608,0.010710,+2832744,+0644401,14:39:25.286493
0.012638,+6978649,+0284229,0.012337,-8388608,-8388608,0.012573,+2832695,+0644503,14:39:25.286518
0.014509,+6978672,+0284299,0.014198,-8388608,-8388608,0.014434,+2832853,+0644601,14:39:25.286539
0.016373,+6978565,+0284369,0.016095,-8388608,-8388608,0.016307,+2832868,+0644566,14:39:25.306284
0.018237,+6978678,+0284152,0.017962,-8388608,-8388608,0.018170,+2832495,+0644506,14:39:25.306311
0.020118,+6978554,+0284331,0.019827,-8388608,-8388608,0.020037,+2832662,+0644414,14:39:25.306328
0.021976,+6978761,+0284425,0.021710,-8388608,-8388608,0.021906,+2832883,+0644637,14:39:25.306347
0.023843,+6978624,+0284286,0.023571,-8388608,-8388608,0.023775,+2832818,+0644753,14:39:25.306364
0.025701,+6978753,+0284296,0.025442,-8388608,-8388608,0.025634,+2832651,+0644550,14:39:25.306871
0.027563,+6978355,+0284130,0.027303,-8388608,-8388608,0.027495,+2832822,+0644682,14:39:25.306900
0.029420,+6978683,+0284341,0.029172,-8388608,-8388608,0.029356,+2832767,+0644594,14:39:25.306922
0.031279,+6978439,+0284216,0.031033,-8388608,-8388608,0.031215,+2832779,+0644509,14:39:25.306941
0.033140,+6978538,+0284314,0.032894,-8388608,-8388608,0.033076,+2832730,+0644524,14:39:25.306962
0.035000,+6978470,+0284176,0.034765,-8388608,-8388608,0.034935,+2832903,+0644406,14:39:25.306992
0.036859,+6978650,+0284200,0.036630,-8388608,-8388608,0.036794,+2832641,+0644681,14:39:25.307563
0.038717,+6978735,+0284178,0.038496,-8388608,-8388608,0.038653,+2833061,+0644506,14:39:25.307587
0.040577,+6978743,+0284017,0.040358,-8388608,-8388608,0.040512,+2832927,+0644432,14:39:25.307604
0.042438,+6978725,+0284167,0.042219,-8388608,-8388608,0.042373,+2832569,+0644713,14:39:25.307620
0.044297,+6978441,+0284426,0.044090,-8388608,-8388608,0.044232,+2832903,+0644524,14:39:25.307640
0.046172,+6978497,+0284147,0.045953,-8388608,-8388608,0.046107,+2832698,+0644676,14:39:25.307659
0.048031,+6978725,+0284264,0.047821,-8388608,-8388608,0.047966,+2832806,+0644353,14:39:25.307677
